task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	a6/5254e6	4116381	fastcat (4)	COMPLETED	0	2024-10-12 16:51:15.716	1.4s	340ms	128.3%	59.1 MB	189.1 MB	20.7 MB	14.4 MB
14	7a/ce73b0	4116445	fastcat (10)	COMPLETED	0	2024-10-12 16:51:15.792	1.5s	481ms	162.3%	39.8 MB	189.1 MB	37.2 MB	26 MB
15	d1/821eac	4116456	fastcat (11)	COMPLETED	0	2024-10-12 16:51:15.821	1.5s	483ms	180.5%	75.2 MB	382 MB	44 MB	30.6 MB
13	99/a97027	4116353	fastcat (9)	COMPLETED	0	2024-10-12 16:51:15.632	1.7s	529ms	161.1%	58.8 MB	189.1 MB	42 MB	29.3 MB
12	f6/5ebff1	4116475	fastcat (8)	COMPLETED	0	2024-10-12 16:51:15.842	1.7s	741ms	152.0%	55.3 MB	189.1 MB	55.2 MB	38.5 MB
10	50/39032d	4116360	fastcat (6)	COMPLETED	0	2024-10-12 16:51:15.663	1.9s	737ms	148.7%	40.4 MB	189.1 MB	52.6 MB	36.8 MB
17	c7/6f68eb	4116368	fastcat (13)	COMPLETED	0	2024-10-12 16:51:15.694	1.8s	510ms	142.1%	52.1 MB	189.1 MB	36.2 MB	25.3 MB
7	38/ad3c79	4116428	fastcat (3)	COMPLETED	0	2024-10-12 16:51:15.755	1.8s	772ms	103.5%	83 MB	189.1 MB	41.4 MB	28.6 MB
5	60/d7da59	4118137	fastcat (1)	COMPLETED	0	2024-10-12 16:51:17.164	663ms	268ms	164.9%	26.7 MB	162 MB	19.7 MB	13.9 MB
3	bb/8bf1a6	4118292	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-10-12 16:51:17.395	585ms	9ms	31.0%	0	0	74.4 KB	3.4 KB
11	c7/27d7f0	4118267	fastcat (7)	COMPLETED	0	2024-10-12 16:51:17.352	694ms	305ms	207.7%	69.6 MB	382 MB	31 MB	21.6 MB
19	50/213170	4118344	fastcat (15)	COMPLETED	0	2024-10-12 16:51:17.425	698ms	377ms	203.4%	82.1 MB	189.1 MB	39.7 MB	27.4 MB
6	de/02eafe	4118640	fastcat (2)	COMPLETED	0	2024-10-12 16:51:17.544	670ms	314ms	232.7%	82.8 MB	510.9 MB	37 MB	25.7 MB
9	23/8f363b	4118733	fastcat (5)	COMPLETED	0	2024-10-12 16:51:17.584	682ms	298ms	234.2%	79.2 MB	510.9 MB	35.8 MB	24.9 MB
21	f2/8d7c62	4118695	fastcat (17)	COMPLETED	0	2024-10-12 16:51:17.558	696ms	314ms	232.9%	84.9 MB	382 MB	36.2 MB	25.3 MB
38	98/a326a2	4120179	minimap_pipeline:output_results (1)	COMPLETED	0	2024-10-12 16:51:18.066	403ms	20ms	55.0%	0	0	71.2 KB	255 B
16	54/e8a4b8	4118763	fastcat (12)	COMPLETED	0	2024-10-12 16:51:17.606	995ms	638ms	124.1%	58.4 MB	382 MB	40.9 MB	28.3 MB
18	ae/99490b	4119520	fastcat (14)	COMPLETED	0	2024-10-12 16:51:17.836	953ms	590ms	184.7%	68.7 MB	382 MB	55.2 MB	38.5 MB
22	e6/03ef74	4120160	fastcat (18)	COMPLETED	0	2024-10-12 16:51:18.056	849ms	505ms	135.0%	2.7 MB	3.8 MB	39.6 MB	26.8 MB
20	80/705f2e	4120343	fastcat (16)	COMPLETED	0	2024-10-12 16:51:18.132	822ms	481ms	209.3%	2.8 MB	3.8 MB	53.4 MB	37 MB
23	14/52e231	4120583	fastcat (19)	COMPLETED	0	2024-10-12 16:51:18.257	706ms	288ms	175.7%	34.9 MB	189.1 MB	24.7 MB	17.1 MB
25	f2/205c80	4120741	fastcat (21)	COMPLETED	0	2024-10-12 16:51:18.349	716ms	326ms	171.4%	2.7 MB	3.8 MB	26.8 MB	18.7 MB
24	7b/f55c58	4120638	fastcat (20)	COMPLETED	0	2024-10-12 16:51:18.306	789ms	362ms	253.7%	50.2 MB	189.1 MB	48.8 MB	33.8 MB
26	26/880a9c	4121156	fastcat (22)	COMPLETED	0	2024-10-12 16:51:18.622	630ms	291ms	252.9%	71 MB	382 MB	36.2 MB	25.3 MB
27	67/2c7ade	4121534	fastcat (23)	COMPLETED	0	2024-10-12 16:51:18.806	498ms	186ms	179.0%	76.9 MB	511.7 MB	15.3 MB	10.7 MB
28	59/a4b272	4121746	fastcat (24)	COMPLETED	0	2024-10-12 16:51:18.919	466ms	116ms	52.9%	85.3 MB	382 MB	638.5 KB	356.3 KB
4	21/bdd28e	4118388	minimap_pipeline:run_common:getVersions	COMPLETED	0	2024-10-12 16:51:17.450	4.9s	4.4s	102.8%	62.8 MB	4 GB	12.3 MB	3.1 KB
29	08/887536	4122596	minimap_pipeline:minimap (hdz-401-s332)	COMPLETED	0	2024-10-12 16:51:22.373	13.1s	12.7s	1517.0%	755.8 MB	25.2 GB	495.4 MB	49.4 MB
30	4a/e89324	4123935	minimap_pipeline:minimap (hdz-403-s334)	COMPLETED	0	2024-10-12 16:51:35.483	17s	16.5s	2134.1%	934.8 MB	6.9 GB	536.1 MB	86.7 MB
31	95/ff64e5	4125481	minimap_pipeline:minimap (hdz-441-s340)	COMPLETED	0	2024-10-12 16:51:52.507	18.7s	18.1s	2291.8%	935.3 MB	6.9 GB	552.2 MB	101.6 MB
32	6a/9a2a10	4127030	minimap_pipeline:minimap (hdz-408-s338)	COMPLETED	0	2024-10-12 16:52:11.204	17.7s	17.4s	2277.1%	937.2 MB	6.9 GB	548 MB	97.7 MB
33	04/c2886e	4128471	minimap_pipeline:minimap (hdz-330-s323)	COMPLETED	0	2024-10-12 16:52:28.967	22s	21.6s	2350.5%	940.6 MB	6.8 GB	577.7 MB	124.7 MB
34	6e/34e9ad	4130095	minimap_pipeline:minimap (hdz-451-s343)	COMPLETED	0	2024-10-12 16:52:50.945	20.9s	20.6s	2340.5%	946.5 MB	6.9 GB	574 MB	121.5 MB
35	8c/0ccb13	4131826	minimap_pipeline:minimap (hdz-340-s326)	COMPLETED	0	2024-10-12 16:53:11.853	16.8s	16.4s	2141.0%	932.5 MB	6.9 GB	533.9 MB	84.7 MB
36	29/e6461f	4133102	minimap_pipeline:minimap (hdz-331-s324)	COMPLETED	0	2024-10-12 16:53:28.722	17.6s	17.1s	2180.0%	930.4 MB	25.5 GB	544.6 MB	94.7 MB
37	ba/d73c62	4134256	minimap_pipeline:minimap (hdz-407-s337)	COMPLETED	0	2024-10-12 16:53:46.371	13.7s	13.3s	1870.3%	927.2 MB	6.9 GB	493.4 MB	47.6 MB
39	85/f3b3f6	4135479	minimap_pipeline:minimap (hdz-400-s331)	COMPLETED	0	2024-10-12 16:54:00.104	14.8s	14.4s	1968.2%	854.4 MB	6.8 GB	520.4 MB	72.3 MB
40	2c/f72ef3	4136896	minimap_pipeline:minimap (hdz-447-s342)	COMPLETED	0	2024-10-12 16:54:14.885	17.3s	16.8s	2189.2%	921.9 MB	6.8 GB	541.3 MB	91.7 MB
