tax	hdz-002-s93	hdz-036-s94	hdz-096-s95	hdz-102-s96	hdz-105-s97	hdz-179-s98	hdz-180-s99	hdz-200-s100	hdz-205-s101	hdz-207-s102	hdz-208-s103	hdz-209-s104	hdz-210-s105	hdz-211-s106	hdz-213-s107	hdz-215-s108	hdz-222-s109	hdz-301-s110	hdz-302-s111	hdz-303-s112	hdz-304-s113	hdz-305-s114	hdz-306-s115	pl-ntc-005-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	3018	1959	4838	2753	1843	669	1130	2362	3614	2813	3393	752	921	215	1431	1745	2985	1199	1372	4019	4	1842	2404	16	47297
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1123	736	1438	931	420	796	837	1892	1867	3749	1874	444	715	241	876	1704	937	1945	1130	1654	4	697	2586	6	28602
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	814	1101	755	802	508	665	1788	1591	1724	2001	1609	796	934	305	597	664	1071	1109	879	2692	0	1372	1963	3	25743
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	658	931	588	332	135	60	19	585	903	937	791	825	662	127	111	133	89	31	480	377	2	67	743	2	9588
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	1441	133	281	253	132	156	291	259	369	297	297	381	394	239	106	166	465	415	253	335	0	149	652	3	7467
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	203	250	308	430	162	124	375	316	245	218	297	210	78	91	286	280	412	565	590	587	1	872	484	0	7384
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	0	116	61	18	73	249	586	0	0	0	0	0	73	270	259	366	500	1605	1	538	0	354	0	1	5070
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	188	156	137	226	62	134	259	297	376	268	393	352	367	76	107	142	185	338	140	241	0	155	375	0	4974
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	258	26	165	220	54	32	85	302	395	329	438	465	347	47	41	67	92	195	250	63	0	59	382	1	4313
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	77	136	265	152	70	51	73	158	91	129	85	41	5	24	223	407	149	316	362	236	1	236	350	2	3639
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	239	59	211	131	61	80	57	334	310	672	353	82	108	0	10	9	7	38	236	49	0	11	466	1	3524
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	312	67	146	133	92	85	185	138	186	123	116	154	169	95	54	75	241	227	134	186	1	98	334	1	3352
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	139	108	150	109	59	64	88	103	184	188	167	118	100	26	69	66	97	152	83	115	0	56	175	1	2417
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	75	68	97	136	55	40	119	100	89	68	97	62	18	40	71	86	114	206	207	206	0	246	152	0	2352
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	143	85	231	112	89	36	74	129	176	140	172	28	48	9	57	93	121	80	53	181	0	104	133	0	2294
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	66	70	114	59	25	52	36	63	68	120	55	52	74	10	57	163	93	239	237	236	0	217	141	1	2248
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	146	2	21	14	5	16	65	102	94	225	96	100	291	58	34	19	73	214	68	42	0	36	176	1	1898
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	47	53	51	46	20	48	48	67	86	157	69	24	35	16	81	145	71	166	44	133	0	47	116	0	1570
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	27	164	24	26	29	60	89	39	33	66	58	44	119	47	62	54	75	209	34	110	0	110	29	0	1508
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	39	52	48	50	24	33	75	106	123	91	115	58	70	15	22	39	69	86	50	120	0	62	97	1	1445
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	17	27	4	2	106	180	0	0	0	0	0	0	53	57	28	149	358	0	218	0	137	0	0	1336
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	27	14	31	16	22	31	58	24	32	24	26	48	46	36	19	45	128	234	23	147	0	60	74	1	1166
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	6	11	11	25	6	54	76	15	20	18	34	54	31	63	49	61	81	250	14	50	0	52	20	0	1001
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	17	44	28	36	20	33	38	52	55	61	77	83	52	15	27	20	24	62	58	48	0	42	88	0	980
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	15	8	18	10	3	13	88	25	20	32	43	52	62	28	40	24	80	168	25	55	0	38	79	0	926
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	41	8	39	6	27	34	32	15	13	28	8	82	52	77	16	37	104	49	50	82	1	31	45	0	877
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	28	34	15	6	7	36	22	6	2	9	0	18	28	210	8	8	33	53	10	82	0	107	65	2	789
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	56	34	95	40	27	9	16	45	58	39	48	14	10	5	21	23	39	13	19	50	0	24	29	0	714
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	213	7	10	7	6	11	41	18	22	20	17	34	50	25	9	24	49	38	16	29	0	7	54	0	707
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	47	18	67	21	34	9	16	31	54	37	31	8	11	2	13	18	41	20	20	46	0	20	35	0	599
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	46	5	12	14	10	13	18	14	49	46	21	50	48	16	10	12	34	88	2	16	0	7	27	0	558
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	23	0	2	4	4	2	0	19	46	26	35	21	86	16	22	13	34	95	15	20	0	14	46	0	543
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	27	0	18	8	1	3	24	16	15	35	25	86	53	26	17	9	28	35	9	11	0	4	47	0	497
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	2	3	0	0	0	1	0	0	0	0	0	0	0	116	0	0	1	167	0	121	0	22	1	0	434
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	8	0	8	5	1	3	17	11	21	34	22	123	36	5	7	9	18	16	6	1	0	5	58	0	414
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	8	2	25	8	3	6	6	14	33	11	2	67	15	27	6	3	10	53	32	6	0	21	50	0	408
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	2	1	0	0	2	0	0	0	0	0	1	0	102	0	0	5	143	0	92	0	24	0	0	372
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia rettgeri	0	0	26	3	5	5	0	8	0	40	1	84	51	1	1	3	1	88	36	0	0	11	0	0	364
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	9	23	7	9	4	17	24	16	14	17	15	12	18	6	8	8	21	41	8	37	0	26	18	0	358
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	3	3	11	5	9	10	21	8	17	18	22	13	39	14	7	12	17	81	21	12	0	7	1	1	352
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	19	14	16	10	13	12	13	7	6	11	2	13	28	5	15	37	26	29	9	20	0	27	15	0	347
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii	0	0	0	0	0	0	0	1	0	0	0	332	0	0	0	0	1	1	0	0	0	0	0	0	335
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	4	5	10	9	8	12	10	9	9	4	9	3	32	6	4	21	16	58	5	51	0	14	14	0	313
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	13	9	2	2	2	10	16	15	9	9	8	10	19	10	10	7	13	88	3	12	0	22	10	0	299
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	33	2	9	8	6	4	9	10	15	19	14	40	25	4	5	3	19	6	24	3	0	1	32	0	291
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	20	4	11	11	5	2	9	21	17	25	12	30	19	4	8	5	10	8	17	5	0	3	26	1	273
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	20	0	8	3	7	3	2	7	14	25	18	31	21	5	3	4	11	5	22	8	0	1	29	1	248
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	16	0	9	4	0	7	0	15	10	2	14	141	1	0	0	0	1	6	9	2	0	1	9	0	247
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	13	0	0	0	1	0	0	10	0	7	17	178	0	0	0	0	0	0	1	0	0	0	18	0	245
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	2	2	5	10	6	12	9	0	0	0	0	0	29	26	6	14	6	85	0	3	0	21	0	1	237
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	29	5	7	7	9	5	8	7	10	9	10	17	13	11	5	9	13	21	7	10	0	4	21	0	237
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera georgiana	0	2	0	0	0	0	1	0	0	140	13	77	0	1	0	0	0	1	0	1	0	0	0	0	236
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	8	17	4	5	6	7	16	8	9	11	5	15	6	3	11	16	9	30	2	24	0	18	2	0	232
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	15	13	14	1	6	5	21	1	3	5	2	7	21	30	4	12	9	14	4	19	0	14	5	0	225
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	4	9	5	7	7	7	16	15	14	26	8	8	11	1	4	7	8	8	5	24	0	9	13	0	216
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	1	0	0	0	0	1	4	0	0	0	160	0	0	42	1	0	0	0	0	0	0	0	0	0	209
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	23	8	32	4	2	5	4	9	11	6	5	18	11	23	8	0	6	0	4	5	0	9	6	0	199
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	5	0	8	4	8	3	7	0	1	1	0	21	58	0	5	8	21	16	1	12	0	8	0	0	187
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parafannyhessea;Parafannyhessea umbonata	20	0	15	3	1	1	0	23	18	11	13	43	7	3	0	0	2	2	3	1	0	1	9	0	176
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	15	4	3	4	4	4	9	4	6	4	4	4	11	7	5	8	7	18	2	25	0	11	16	0	175
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	0	0	7	0	1	4	3	0	1	1	6	2	1	0	0	0	1	139	0	0	0	0	9	0	175
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	7	9	8	1	0	15	5	1	1	0	2	4	4	40	11	2	8	8	0	21	0	19	4	0	170
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	2	6	1	1	2	7	5	5	0	4	0	3	7	44	3	0	13	8	4	13	0	23	17	0	168
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	19	1	2	3	2	0	8	5	9	7	3	17	6	3	4	2	10	21	28	0	0	6	9	0	165
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	13	0	10	2	3	0	0	0	0	42	44	0	0	3	17	20	2	2	0	3	0	0	161
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	16	3	5	3	3	7	7	5	1	3	2	18	6	1	4	12	5	36	1	8	0	8	2	0	156
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus	1	0	3	6	3	3	9	6	14	40	7	5	17	0	2	8	2	8	4	0	0	0	12	0	150
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	0	0	7	8	3	0	0	38	17	22	19	5	4	2	4	0	12	1	0	4	0	2	0	0	148
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus gilvus	0	2	16	0	2	0	0	12	13	19	10	15	21	4	6	0	7	8	0	4	0	2	0	0	141
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	1	0	5	0	1	0	2	0	7	8	2	79	10	0	0	0	9	12	2	1	0	2	0	0	141
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Feifaniaceae;Feifania;Feifania hominis	0	0	12	4	5	4	8	9	3	4	1	15	11	0	0	0	29	8	14	3	0	5	0	0	135
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	0	0	0	1	0	2	3	4	4	5	14	13	0	64	0	0	1	7	0	7	0	7	0	0	132
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	16	0	10	2	0	0	1	12	2	4	1	70	2	0	0	0	0	0	1	0	0	0	0	0	121
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	6	2	2	3	3	4	3	4	5	3	0	10	9	6	1	5	14	9	0	6	0	5	19	0	119
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus avium	0	0	18	0	2	1	1	2	9	19	3	29	5	5	0	0	5	6	0	7	0	2	0	0	114
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	7	2	0	3	3	6	7	0	5	3	2	7	12	4	3	8	3	6	3	5	0	11	11	0	111
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Brenneria;Brenneria alni	0	11	1	2	0	2	4	0	4	8	2	9	0	15	1	0	2	42	0	1	0	4	0	0	108
Bacteria;Bacteria_none;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Asteroleplasma;Asteroleplasma anaerobium	11	2	12	4	0	5	7	13	7	7	4	2	6	1	3	3	3	2	2	5	0	2	2	0	103
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	0	1	0	0	0	3	0	1	0	13	3	13	0	12	0	0	41	8	0	1	0	3	1	0	100
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter kilianii	0	1	0	0	0	0	0	0	0	0	0	0	0	95	1	0	2	0	0	0	0	0	0	0	99
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;Millionella massiliensis	10	1	1	6	2	1	3	3	12	11	5	6	8	3	0	2	6	13	0	3	0	1	1	0	98
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum faecicola	8	0	5	1	0	0	0	7	13	9	4	9	4	0	0	0	0	0	31	0	0	0	6	0	97
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	17	0	6	2	3	3	3	0	1	0	0	4	21	2	2	6	4	10	6	2	0	2	0	0	94
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	3	2	5	0	0	0	7	1	4	3	0	0	0	35	3	4	2	4	1	7	0	9	2	0	92
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	0	0	0	0	18	1	0	0	48	1	7	3	7	1	2	0	0	0	0	0	3	0	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	2	3	0	3	5	3	5	6	4	5	9	6	2	2	2	1	4	3	2	8	0	5	8	0	88
