tax	hdz-015-s28	hdz-018-s30	hdz-022-s31	hdz-027-s32	hdz-028-s36	hdz-030-s37	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-068-s26	hdz-070-s29	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	0	6	0	0	0	0	0	0	1	7	2	2	0	82	5	1	0	1	0	10	117
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	0	0	9	0	6	7	0	0	17	15	14	2	11	4	5	1	1	4	1	0	7	104
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	2	0	2	4	2	7	0	0	28	3	2	5	9	14	4	0	3	7	1	0	6	99
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	1	1	5	0	3	14	0	0	36	6	2	5	4	2	3	1	2	4	0	0	10	99
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella contaminans	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	1	0	2	11	2	13	0	0	27	0	0	4	10	5	1	0	0	6	1	0	1	84
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	1	0	3	2	14	8	0	0	4	10	8	1	2	12	4	2	1	1	1	0	9	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	1	0	2	2	4	5	0	0	11	7	2	5	2	6	11	2	5	1	0	0	6	72
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	0	0	2	0	17	2	2	0	8	10	9	0	4	1	4	0	1	3	0	0	7	70
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	1	12	0	3	0	0	0	1	1	6	0	0	0	5	0	10	0	1	0	24	64
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	1	0	7	1	2	4	1	0	17	6	2	5	1	2	6	2	3	2	0	0	1	63
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	1	0	16	1	0	0	3	3	6	0	0	2	1	1	2	0	1	0	23	60
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella victoriana	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	0	0	1	0	7	5	1	0	17	5	4	1	3	1	4	0	2	2	0	0	4	57
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	4	0	3	2	1	4	0	0	19	0	6	3	2	2	0	1	1	8	0	0	0	56
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	0	0	6	1	2	3	0	0	8	4	6	1	14	1	5	0	0	2	1	0	1	55
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea agglomerans	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tarantellae	0	0	0	0	0	5	0	0	20	0	0	7	0	17	0	0	0	0	0	0	0	49
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella aceris	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea ananatis	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	0	0	5	2	5	1	0	0	6	1	8	1	2	3	1	1	1	2	0	0	2	41
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;Erwinia billingiae	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	0	1	1	5	0	0	15	0	3	0	5	3	0	0	0	2	0	0	1	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	2	0	0	1	2	6	0	0	11	2	1	4	5	1	0	0	1	2	0	0	0	38
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	1	0	6	1	6	2	0	0	6	1	4	2	2	1	1	0	2	0	1	0	1	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	2	0	1	0	4	5	0	0	3	1	0	2	4	4	1	0	2	1	0	0	4	34
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	24	3	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	34
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	0	0	0	0	0	4	0	0	16	0	3	4	2	3	1	0	1	0	0	0	0	34
