tax	hdz-230-s277	hdz-231-s278	hdz-232-s279	hdz-233-s280	hdz-234-s281	hdz-235-s282	hdz-236-s283	hdz-374-s284	hdz-375-s285	hdz-376-s286	hdz-377-s287	hdz-378-s288	hdz-379-s289	hdz-380-s290	hdz-422-s291	hdz-430-s292	hdz-440-s293	hdz-442-s294	hdz-443-s295	hdz-444-s296	hdz-445-s297	hdz-448-s298	hdz-449-s299	pl-ntc-013-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	63	49	56	53	13	51	22	14	25	22	52	11	302	46	1	0	59	0	97	0	2	51	67	1	1057
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter kanungonis	0	0	1015	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	45	52	46	51	45	70	104	5	29	42	52	66	4	11	1	25	31	42	26	11	111	52	84	0	1005
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	141	38	55	24	1	54	44	12	33	3	25	10	352	59	2	0	44	0	63	0	0	16	24	0	1000
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	64	17	22	41	20	46	56	7	7	26	26	37	3	27	9	27	57	43	15	16	29	58	24	0	677
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	55	42	36	72	20	80	21	4	42	39	26	57	8	23	0	1	27	0	29	0	0	64	27	0	673
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	56	43	16	34	5	25	26	10	9	6	215	79	30	17	1	0	43	0	11	0	0	16	8	0	650
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	20	18	23	14	35	31	38	1	19	27	28	49	32	15	2	55	31	40	36	4	51	24	50	1	644
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	11	20	31	16	0	36	28	2	11	9	1	15	170	29	0	1	19	17	46	0	57	15	32	0	566
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	53	9	19	27	14	30	44	7	13	27	23	13	4	38	2	22	62	36	27	15	18	40	19	0	562
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	35	24	55	6	17	12	8	7	15	8	8	21	129	47	1	0	34	0	52	0	0	48	25	0	552
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	10	6	24	0	5	5	2	12	2	23	24	16	58	52	0	0	34	2	45	0	2	26	122	0	470
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	16	22	7	9	1	8	15	6	7	8	16	25	33	18	3	0	5	69	14	2	89	17	31	0	421
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	19	23	15	20	22	25	44	4	17	12	28	37	7	8	0	4	9	25	9	5	29	8	38	0	408
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	17	6	26	13	7	22	11	2	4	5	28	15	64	37	0	0	26	0	41	0	0	26	28	0	378
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	14	11	13	6	7	8	4	9	6	10	14	64	53	74	0	0	13	0	13	0	1	15	42	0	377
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	5	2	0	0	0	0	0	25	0	3	10	0	73	34	0	0	78	0	34	0	0	41	53	0	358
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	0	7	13	0	4	0	0	1	2	0	0	0	0	3	0	71	47	3	0	3	201	3	0	0	358
