tax	hdz-461-s369	hdz-462-s370	hdz-463-s371	hdz-464-s372	hdz-465-s373	hdz-466-s374	hdz-473-s375	hdz-474-s376	hdz-475-s377	hdz-476-s378	hdz-477-s379	hdz-478-s380	hdz-479-s381	hdz-480-s382	hdz-481-s383	hdz-482-s384	hdz-483-s385	hdz-484-s386	hdz-485-s387	hdz-486-s388	hdz-487-s389	hdz-488-s390	hdz-489-s391	pl-ntc-017-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	3216	1565	4268	2149	1219	1750	1430	1134	1865	812	1328	996	2694	2330	2708	306	1557	2012	2088	968	2138	3445	900	13	42891
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	2258	576	2497	1620	384	645	453	909	697	392	795	1438	547	524	602	473	1225	515	716	441	644	933	1145	7	20436
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	152	463	1209	174	619	611	162	965	1104	137	196	1	604	777	362	69	761	915	217	1521	1362	1140	346	4	13871
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	349	296	780	738	604	798	316	703	900	311	833	12	769	662	426	120	1265	578	145	632	975	739	740	3	13694
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	305	275	1011	422	97	261	195	443	252	197	267	265	174	107	118	195	333	176	236	57	167	270	190	1	6014
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	111	119	535	327	53	149	81	223	354	67	314	10	284	185	62	52	141	73	80	116	257	157	224	0	3974
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	303	97	543	233	105	436	109	130	132	100	88	76	126	131	234	13	150	85	78	190	201	171	159	0	3890
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	151	139	580	255	46	122	128	212	164	97	131	104	101	54	65	125	213	70	119	34	121	148	115	1	3295
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	150	96	340	186	78	110	100	137	149	74	148	330	127	84	120	58	152	130	74	68	125	167	112	1	3116
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	25	79	156	26	86	111	31	124	164	11	21	0	112	130	71	7	114	145	10	243	231	146	57	0	2100
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	20	53	225	158	25	69	37	164	244	31	143	0	93	50	31	31	157	57	25	37	183	74	52	2	1961
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	119	68	162	86	36	66	52	48	73	38	63	32	101	89	131	16	77	91	91	41	88	147	43	0	1758
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	4	52	136	121	23	39	33	106	132	49	90	72	10	5	6	22	222	118	7	1	39	65	20	0	1372
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	30	9	105	45	10	51	44	8	10	31	74	33	93	23	11	69	121	84	50	4	21	137	128	0	1191
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	21	18	141	56	25	96	85	52	56	40	45	15	54	15	63	10	43	20	29	25	47	40	67	0	1063
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	66	26	144	60	30	109	25	41	36	28	18	16	28	32	43	8	36	16	15	36	42	49	48	0	952
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	17	19	135	54	12	33	8	24	31	57	50	11	13	31	16	10	83	141	25	39	44	54	20	0	927
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	45	21	151	56	9	62	29	34	24	23	36	10	32	39	51	21	48	31	27	36	41	54	37	0	917
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	12	4	178	50	12	44	87	91	35	26	17	13	35	12	48	4	15	10	10	20	20	37	47	0	827
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	5	0	32	41	0	674	2	2	0	0	0	4	0	0	10	0	1	0	0	0	0	4	0	775
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	3	0	29	34	0	685	1	1	0	0	0	6	2	2	6	1	0	0	0	0	0	2	0	772
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	51	29	69	32	24	28	19	18	30	12	21	27	54	44	43	11	30	36	37	28	24	65	18	0	750
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	9	14	52	64	13	25	22	38	62	19	48	7	51	59	22	8	20	21	5	29	79	29	47	2	745
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	22	2	195	26	6	57	35	17	13	13	25	40	19	5	5	53	35	19	11	3	13	21	102	0	737
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	18	12	49	47	17	32	12	22	75	8	46	0	41	37	20	3	59	29	5	42	75	36	38	0	723
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	9	19	70	8	25	26	10	64	55	6	11	0	29	34	23	4	45	56	18	56	42	59	9	0	678
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	56	24	77	35	14	20	15	14	28	18	25	9	46	35	37	4	29	26	31	12	34	68	9	0	666
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	9	7	60	42	15	40	17	22	17	18	25	2	52	9	14	10	20	21	3	10	35	18	53	0	519
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	2	15	76	89	1	26	42	9	10	7	21	11	24	10	2	9	46	15	5	0	2	9	43	0	474
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	2	10	42	78	1	0	0	4	2	3	6	5	17	8	0	26	40	0	2	10	158	4	13	0	431
