tax	hdz-004-s3	hdz-005-s11	hdz-010-s23	hdz-011-s10	hdz-013-s8	hdz-014-s18	hdz-016-s21	hdz-019-s13	hdz-020-s12	hdz-021-s7	hdz-023-s20	hdz-024-s19	hdz-025-s17	hdz-026-s15	hdz-028-s16	hdz-029-s14	hdz-030-s6	hdz-055-s22	hdz-063-s1	hdz-064-s2	hdz-065-s4	hdz-066-s5	hdz-067-s9	pl-ntc-001-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1945	8451	3601	2165	4299	6629	3828	4241	5763	612	2654	750	6521	3018	1897	4435	3341	6515	3162	6589	3795	1716	4091	11	90029
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	498	2582	3288	999	1765	3035	2468	3349	2206	1437	1006	1021	6422	1449	562	1686	499	1494	3465	2237	2541	576	4603	8	49196
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	604	3038	2006	1461	4569	3374	2411	2364	3975	2441	928	1466	1265	2152	1722	1038	512	1096	605	2554	1913	752	1664	10	43920
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	989	2143	1695	793	2524	2162	1106	1551	2176	1597	849	605	2068	976	662	1441	1379	1341	205	1347	28	379	590	9	28615
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	320	548	1230	602	2804	2732	814	638	834	2766	153	764	502	1735	472	170	228	478	344	348	837	184	878	3	20384
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	474	1178	918	192	1433	772	752	836	963	450	373	587	364	615	480	752	684	851	507	697	456	163	602	3	15102
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	0	0	105	45	997	759	504	3	455	458	1	1419	217	732	328	0	0	6	690	6	909	6	688	2	8330
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	211	482	524	95	767	401	417	414	480	184	225	337	192	323	226	432	415	489	285	326	240	81	325	1	7872
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	176	1439	50	25	310	202	418	1134	763	104	280	162	73	150	97	429	276	364	206	460	222	96	289	3	7728
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	182	272	365	184	777	594	186	217	221	583	147	182	66	713	221	111	50	419	96	258	239	145	490	1	6719
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	78	157	328	174	782	742	232	187	231	757	46	185	139	485	130	43	55	126	97	107	225	38	230	1	5575
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	96	633	73	41	264	174	230	516	790	82	109	144	93	156	132	132	115	200	245	397	310	61	522	1	5516
