tax	hdz-041-s53	hdz-045-s49	hdz-046-s48	hdz-051-s54	hdz-052-s50	hdz-058-s63	hdz-089-s64	hdz-093-s65	hdz-094-s66	hdz-101-s57	hdz-104-s69	hdz-107-s55	hdz-108-s60	hdz-155-s67	hdz-156-s68	hdz-168-s58	hdz-175-s61	hdz-176-s51	hdz-177-s47	hdz-182-s52	hdz-188-s62	hdz-190-s59	hdz-191-s56	pl-ntc-003-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1084	429	1	853	1065	1071	62	791	240	6123	1143	1513	968	482	598	816	365	153	1250	972	618	369	468	8	21442
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	364	142	1	1186	301	611	157	368	793	2290	200	733	423	683	550	111	685	101	468	194	445	882	418	2	12108
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	72	255	1	771	260	432	98	283	823	1395	228	616	559	234	375	300	407	576	344	174	361	327	306	0	9197
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	43	361	1	121	366	205	63	152	164	1063	142	305	109	112	117	103	104	88	306	344	117	124	160	2	4672
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	240	51	0	138	116	248	44	182	75	757	164	98	115	40	80	118	145	65	225	233	104	74	99	2	3413
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	441	96	1	98	134	67	1	160	4	954	212	209	12	2	10	11	9	10	373	336	109	12	142	1	3404
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	65	183	0	50	181	73	19	50	18	1306	81	153	38	31	22	45	42	5	185	187	34	70	50	1	2889
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	20	166	0	12	209	80	10	82	43	695	73	164	26	87	36	40	13	21	231	168	164	14	78	0	2432
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	0	0	1	290	0	317	66	29	85	13	42	2	230	128	189	188	268	185	1	0	0	214	4	0	2252
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	76	14	0	152	32	177	31	46	56	627	33	134	88	112	111	72	62	25	64	68	62	125	49	0	2216
