tax	hdz-490-s392	hdz-491-s393	hdz-492-s394	hdz-493-s395	hdz-494-s396	hdz-495-s397	hdz-496-s398	hdz-497-s399	hdz-498-s400	hdz-499-s401	hdz-500-s402	hdz-501-s403	hdz-502-s404	hdz-503-s405	hdz-504-s406	hdz-506-s407	hdz-507-s408	hdz-508-s409	hdz-509-s410	hdz-510-s411	hdz-517-s412	hdz-522-s413	hdz-525-s414	pl-ntc-018-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1600	1352	841	1216	671	1373	1233	982	1470	763	560	909	680	717	1578	1422	1510	1287	1626	979	779	1823	1471	15	26857
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	243	885	1041	410	265	474	429	358	183	265	257	442	963	401	803	540	512	586	515	635	794	544	597	6	12148
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	862	376	17	455	101	40	449	267	367	308	467	221	1	360	355	433	1433	408	695	150	468	727	974	0	9934
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	675	411	16	527	113	6	689	265	316	238	488	324	2	210	253	360	229	271	232	51	648	259	384	3	6970
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	59	164	162	82	76	101	279	120	72	68	101	81	8	149	241	207	86	203	207	732	312	203	160	1	3874
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	56	57	25	153	19	11	119	68	79	60	179	213	0	97	138	54	13	92	76	50	387	118	125	1	2190
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	146	96	61	80	63	65	106	71	59	43	103	116	126	84	99	77	115	107	112	50	102	92	95	2	2070
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	46	203	24	129	143	48	93	108	63	56	93	29	0	11	137	46	96	77	38	36	189	180	74	0	1919
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	40	56	103	52	31	83	104	38	33	25	64	42	8	76	132	98	36	111	105	152	157	111	65	0	1722
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	180	71	9	88	14	2	73	46	78	50	73	47	0	51	36	70	211	77	113	7	74	140	204	0	1714
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	87	70	34	49	44	72	86	48	95	39	36	38	31	40	76	87	95	69	83	50	52	111	98	0	1490
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	22	52	79	33	50	38	16	16	7	20	53	36	36	35	35	23	50	62	46	24	39	23	72	0	867
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	63	56	4	47	7	1	60	29	33	17	67	94	0	13	43	20	7	69	19	6	139	32	40	0	866
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	54	44	1	31	9	4	36	18	30	26	25	18	0	37	38	38	123	33	49	14	36	49	68	0	781
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	29	63	5	33	60	18	44	30	30	29	12	13	2	2	62	7	3	38	12	13	108	122	28	0	763
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	43	5	54	29	5	17	25	17	6	14	103	94	1	7	28	11	18	78	10	35	51	27	26	0	704
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	38	18	1	14	11	7	24	15	0	11	230	36	0	84	0	18	0	56	7	2	40	18	1	1	632
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	39	37	18	21	11	25	28	19	38	10	12	15	25	20	31	30	35	34	36	23	20	58	44	0	629
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	31	39	26	25	17	37	38	24	30	11	9	16	19	24	32	30	24	31	28	22	13	28	27	1	582
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	13	53	8	29	39	17	26	41	12	17	18	9	1	3	37	15	15	16	14	8	57	33	14	0	495
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	9	14	26	20	8	22	28	37	4	17	28	26	0	11	39	13	2	30	20	29	31	30	35	0	479
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	41	33	3	31	13	2	44	11	18	20	31	35	0	9	15	26	12	22	16	4	55	21	14	0	476
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	27	11	4	49	6	0	11	8	12	11	56	27	0	17	12	14	27	17	9	3	44	23	34	0	422
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	31	24	2	32	60	11	16	20	20	10	15	8	0	4	25	1	16	12	5	2	27	51	18	0	410
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	3	5	24	11	4	8	34	3	2	6	9	6	3	18	9	13	5	23	21	105	33	32	9	0	386
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	18	1	0	0	0	0	0	0	0	0	93	220	0	17	0	0	0	22	0	3	0	0	0	0	374
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	12	8	13	3	6	7	1	6	1	4	236	11	4	9	0	3	27	12	0	0	0	1	1	0	365
