tax	hdz-266-s254	hdz-267-s255	hdz-316-s256	hdz-335-s257	hdz-345-s258	hdz-348-s259	hdz-383-s260	hdz-384-s261	hdz-385-s262	hdz-386-s263	hdz-387-s264	hdz-388-s265	hdz-389-s266	hdz-390-s267	hdz-391-s268	hdz-392-s269	hdz-393-s270	hdz-394-s271	hdz-395-s272	hdz-396-s273	hdz-397-s274	hdz-438-s275	hdz-439-s276	pl-ntc-012-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1274	1401	1620	1331	923	625	652	1111	822	359	1818	1598	901	410	2068	1660	2756	2393	934	84	522	11	767	14	26054
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1530	948	544	1278	763	1122	672	481	122	365	1311	1214	756	1119	838	476	496	960	414	1061	503	7	126	6	17112
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1130	1030	372	583	889	856	1047	1189	116	506	672	1159	206	561	504	169	932	1043	399	531	243	1	177	4	14319
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	31	439	805	237	112	497	236	473	524	188	503	83	43	72	624	851	1391	88	51	50	1165	112	1295	2	9872
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	328	189	312	281	439	389	150	355	152	181	72	254	50	126	310	771	198	434	63	340	129	619	229	5	6376
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	250	249	331	117	107	191	38	118	305	52	167	261	83	143	372	85	722	221	141	125	620	0	614	0	5312
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	722	0	68	0	212	221	115	121	21	3	46	435	238	266	31	482	14	337	153	563	271	1	22	0	4342
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	245	118	173	148	131	106	71	97	86	53	168	170	72	110	174	125	221	186	71	112	189	99	232	2	3159
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	135	40	259	52	231	47	53	43	137	14	23	40	20	19	136	86	132	45	15	28	116	1199	93	1	2964
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	118	153	191	39	48	117	13	55	150	12	103	101	51	49	238	47	360	108	53	67	232	0	340	5	2650
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	123	127	166	159	31	32	3	16	113	1	337	183	26	21	137	8	196	32	19	35	315	2	107	0	2189
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	279	126	63	90	98	56	49	92	46	14	201	338	71	55	67	10	137	94	50	68	75	0	37	0	2116
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	144	58	130	170	250	174	82	140	30	70	19	81	8	47	76	254	41	210	22	28	9	10	52	1	2106
