tax	hdz-258-s162	hdz-259-s163	hdz-260-s164	hdz-262-s165	hdz-263-s166	hdz-264-s167	hdz-332-s168	hdz-333-s169	hdz-341-s170	hdz-342-s171	hdz-343-s172	hdz-349-s173	hdz-350-s174	hdz-351-s175	hdz-352-s176	hdz-354-s177	hdz-355-s178	hdz-356-s179	hdz-357-s180	hdz-358-s181	hdz-359-s182	hdz-360-s183	hdz-361-s184	pl-ntc-008-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1175	862	1641	1446	795	1925	1051	1939	788	737	297	927	269	586	1860	2476	253	482	2370	725	1107	1973	2357	7	28048
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	783	1477	2773	2102	1080	2161	815	1111	2178	836	22	77	1547	285	1373	1317	133	536	1079	275	549	841	525	0	23875
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1265	1206	672	1284	875	1287	647	874	679	694	19	281	778	189	1578	1090	54	848	269	265	126	292	1191	6	16469
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	25	453	302	31	12	132	283	380	305	138	525	1028	106	190	404	364	831	205	71	40	831	849	589	2	8096
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	238	191	53	319	176	136	734	251	158	368	44	95	426	116	447	388	126	127	817	57	351	128	590	3	6339
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	166	302	111	172	75	115	196	180	83	151	162	364	228	188	67	19	799	85	8	10	152	679	21	0	4333
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	57	75	30	28	90	74	445	198	52	333	4	15	103	33	281	375	6	70	143	42	114	32	763	1	3364
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	31	261	554	27	46	434	160	216	37	21	2	11	23	39	203	241	4	14	92	25	20	18	85	1	2565
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	273	40	0	421	123	113	0	0	300	156	12	47	570	37	3	0	124	109	2	0	152	49	0	1	2532
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	60	159	79	77	21	57	150	231	15	23	184	318	161	66	0	0	143	33	0	0	343	203	2	0	2325
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	98	124	187	264	117	142	56	79	244	82	4	6	185	15	139	82	15	73	100	24	62	105	55	1	2259
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	95	139	97	111	57	97	86	87	52	75	182	81	107	57	113	86	72	72	82	32	105	162	102	0	2149
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	81	154	55	133	62	65	103	81	39	67	39	206	101	113	32	10	358	49	1	3	99	271	19	0	2141
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	187	245	67	200	86	117	82	112	82	110	19	178	175	55	39	29	46	65	3	5	67	58	28	0	2055
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	75	44	14	98	62	36	223	78	52	106	12	20	113	32	153	100	31	32	222	9	110	32	170	0	1824
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	34	20	47	96	40	39	177	64	15	249	29	36	43	91	89	97	14	16	78	8	284	80	164	1	1811
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	64	46	78	59	40	117	71	101	45	37	24	44	14	33	92	169	15	26	133	31	44	101	134	0	1518
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	3	106	31	3	3	13	43	32	9	17	29	236	66	115	0	1	68	12	0	1	330	138	2	0	1258
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	48	30	7	116	38	40	28	25	125	44	17	18	217	42	79	26	27	80	19	13	32	36	55	0	1162
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	0	16	0	0	0	0	1	0	0	0	33	101	0	744	0	0	42	0	0	1	151	13	0	0	1102
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	66	87	48	66	36	48	40	66	47	56	3	28	62	11	73	34	2	51	13	19	10	19	54	1	940
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	917	1	0	3	0	0	0	0	0	0	0	0	2	0	0	4	1	0	0	0	0	0	0	0	928
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	11	7	14	80	5	10	9	2	10	1	24	17	37	19	2	8	543	21	2	3	25	69	6	0	925
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	112	1	0	5	0	1	0	0	0	2	0	0	739	0	0	2	1	10	0	0	0	2	0	1	876
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	70	35	8	45	36	23	8	25	51	70	14	44	35	26	44	18	109	11	60	13	23	39	23	0	830
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	24	18	8	13	8	16	28	22	46	21	52	91	79	55	36	16	187	3	3	2	33	19	7	0	787
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	28	14	37	35	24	45	28	38	12	17	8	21	5	16	49	69	7	15	55	18	35	44	53	0	673
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	20	56	11	35	16	29	37	36	21	31	9	70	85	42	20	15	10	52	7	6	40	9	15	0	672
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	26	11	43	33	17	41	25	44	14	11	5	14	3	6	29	44	4	8	46	18	26	52	51	0	571
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	16	33	10	16	9	10	5	17	7	4	26	47	34	25	5	0	159	6	0	1	25	82	0	0	537
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia rettgeri	504	6	1	2	0	0	0	0	1	0	1	0	0	14	7	0	1	0	0	0	0	0	0	0	537
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	38	59	6	39	26	23	9	15	32	24	0	31	78	3	1	6	8	14	0	2	7	37	12	0	470
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	7	18	0	7	2	1	9	5	1	2	10	264	16	39	0	0	35	1	0	0	37	8	0	0	462
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	50	9	4	61	17	14	12	18	12	20	7	21	116	7	0	0	12	15	0	0	20	24	0	0	439
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	1	0	7	0	0	1	0	0	0	0	0	391	2	0	0	0	1	0	0	1	0	0	0	404
