tax	hdz-060-s80	hdz-071-s79	hdz-085-s92	hdz-087-s78	hdz-097-s91	hdz-099-s72	hdz-106-s83	hdz-161-s77	hdz-163-s82	hdz-181-s74	hdz-183-s84	hdz-186-s73	hdz-187-s71	hdz-192-s75	hdz-193-s70	hdz-194-s87	hdz-196-s76	hdz-198-s88	hdz-199-s86	hdz-217-s89	hdz-219-s81	hdz-220-s85	hdz-221-s90	pl-ntc-004-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	2370	1461	3236	2955	3749	5143	2605	3186	3096	1132	4001	2203	1443	3130	4554	3047	1171	1139	3108	386	2020	2501	1552	5	59193
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1581	1131	2218	1907	3175	2085	1075	1783	1898	1542	1321	1307	833	1312	2164	1476	1909	547	2264	197	326	1380	1732	2	35165
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1929	1296	1606	2371	1265	1007	947	1306	1801	1701	894	1796	2547	4076	1447	1180	1146	2046	428	298	503	1674	488	2	33754
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	22	117	32	68	140	496	751	350	17	22	628	48	33	249	568	600	187	71	783	1076	1629	786	345	0	9018
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	969	472	798	495	362	8	7	0	479	988	2	536	583	485	13	1	809	688	1	52	87	560	482	0	8877
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	309	120	346	307	356	301	546	350	333	306	378	293	330	261	338	197	741	250	368	981	594	485	377	0	8867
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	179	305	407	329	326	302	713	332	305	339	332	573	346	670	499	137	437	880	251	92	266	272	458	0	8750
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	621	150	254	399	209	193	230	140	415	164	154	347	326	392	227	173	197	392	126	92	560	242	146	1	6150
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	184	81	248	187	320	165	344	240	201	188	225	156	157	205	184	163	492	140	203	530	536	320	219	0	5688
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	219	185	116	127	317	575	295	526	176	118	365	168	109	56	606	435	40	10	635	38	73	33	18	1	5241
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	268	90	94	144	64	138	776	211	257	70	203	169	98	98	272	257	19	129	220	103	941	99	75	1	4796
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	196	102	254	203	347	388	190	228	176	78	295	127	128	261	311	246	86	70	252	25	159	205	116	1	4444
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	192	132	362	326	447	205	102	156	265	199	121	168	93	201	192	139	308	96	186	16	44	192	287	0	4429
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	57	175	89	79	65	174	869	219	119	79	186	407	133	297	143	85	42	245	243	22	65	233	376	0	4402
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	67	126	185	151	162	150	334	133	152	159	170	253	185	303	205	74	196	388	95	37	120	103	184	1	3933
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	154	106	138	197	238	148	145	83	211	107	118	138	107	120	491	156	97	119	124	122	211	111	99	0	3540
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	561	213	177	23	9	0	0	0	82	229	0	494	335	11	1	0	210	189	0	0	0	329	0	0	2863
