tax	hdz-330-s323	hdz-331-s324	hdz-334-s325	hdz-340-s326	hdz-381-s327	hdz-382-s328	hdz-398-s329	hdz-399-s330	hdz-400-s331	hdz-401-s332	hdz-402-s333	hdz-403-s334	hdz-405-s335	hdz-406-s336	hdz-407-s337	hdz-408-s338	hdz-409-s339	hdz-441-s340	hdz-446-s341	hdz-447-s342	hdz-451-s343	hdz-452-s344	hdz-453-s345	pl-ntc-015-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1524	2083	2072	1337	312	79	863	542	1065	601	1353	1104	1433	867	2	1397	2044	1923	2325	2745	1463	3	1639	20	28796
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1236	1299	1685	266	419	19	681	73	639	683	761	487	861	486	0	239	2072	717	211	674	332	2	1234	10	15086
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1358	994	945	371	1297	23	1087	52	546	490	654	518	787	593	0	587	1199	720	395	546	358	7	724	11	14262
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	79	503	797	1071	341	139	40	788	55	63	643	550	338	1138	3	1082	368	828	1207	593	1580	230	943	3	13382
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	366	155	218	377	36	111	157	530	187	142	237	328	195	323	1	602	377	425	436	232	725	4	522	2	6688
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	348	149	228	188	391	322	472	227	169	211	94	50	172	79	1	65	159	181	88	137	282	275	82	1	4371
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	752	1	0	11	50	62	442	0	409	185	85	8	255	46	0	66	625	3	37	11	17	0	649	2	3716
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	179	151	162	178	109	47	171	125	198	92	170	152	113	131	224	147	146	153	125	132	279	137	201	3	3525
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	135	127	121	182	9	101	51	140	116	26	382	361	109	202	0	173	44	208	148	175	359	1	250	0	3420
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	153	72	114	222	32	58	58	188	72	80	158	180	77	199	0	243	172	251	195	119	351	0	175	1	3170
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	299	164	151	93	87	10	202	30	292	74	241	184	162	97	0	120	217	145	80	107	135	2	98	0	2990
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	131	35	57	127	96	225	193	49	36	36	20	14	65	19	0	106	24	102	55	38	109	1065	44	1	2647
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	40	36	66	91	11	23	72	52	69	28	79	312	63	172	0	190	25	97	71	55	234	0	445	1	2232
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	7	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	3	4	19	1	0	2116	0	3	2163
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	142	69	127	33	399	75	256	88	122	97	19	25	113	11	0	2	56	79	64	82	72	4	35	1	1971
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	10	264	345	46	35	0	11	4	8	13	127	87	8	77	0	23	40	120	16	92	33	1	160	0	1520
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	52	111	99	48	17	6	44	29	51	32	85	56	64	51	0	80	88	86	110	150	61	1	87	1	1409
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	1308	0	0	1315
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	147	84	96	23	34	2	64	4	73	80	52	33	85	40	1	22	225	42	14	48	35	0	86	1	1291
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	209	17	28	55	3	23	84	36	92	39	38	41	63	27	0	96	42	50	27	27	92	0	108	1	1198
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	89	40	58	58	101	89	119	72	40	60	15	12	57	18	0	11	38	40	27	40	85	70	20	1	1160
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	141	11	51	63	6	35	39	114	27	16	30	61	27	36	0	88	96	10	29	15	61	0	49	0	1005
