tax	hdz-035-s185	hdz-037-s186	hdz-040-s187	hdz-042-s188	hdz-044-s189	hdz-047-s190	hdz-053-s191	hdz-054-s192	hdz-069-s193	hdz-073-s194	hdz-164-s195	hdz-165-s196	hdz-166-s197	hdz-167-s198	hdz-178-s199	hdz-189-s200	hdz-195-s201	hdz-197-s202	hdz-203-s203	hdz-218-s204	hdz-265-s205	hdz-415-s206	hdz-420-s207	pl-ntc-009-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1421	775	1200	440	326	1642	1030	2138	2239	1383	1356	1538	999	2116	1186	516	2419	780	1250	2014	863	912	1267	2	29812
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	456	656	2069	574	714	452	416	1925	1737	498	530	1639	70	1190	303	184	430	588	1170	631	1409	464	81	3	18189
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1358	762	1215	517	819	1335	276	1421	804	352	1226	1076	198	1140	133	163	528	235	1096	682	1069	725	42	1	17173
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	300	404	295	163	44	100	84	123	117	278	1454	668	1953	49	441	309	306	17	52	456	16	1134	695	5	9463
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	810	157	656	231	451	369	80	173	300	69	196	113	89	271	101	68	164	198	231	282	143	123	102	2	5379
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	200	138	367	154	111	264	98	307	264	111	525	553	0	214	173	241	277	102	202	77	129	254	228	1	4990
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	219	104	862	203	212	366	166	533	420	1	52	268	0	352	0	10	213	208	358	59	286	1	2	1	4896
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	207	93	219	105	125	168	91	384	266	48	403	564	12	228	37	30	80	47	172	64	168	107	12	1	3631
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	137	15	133	106	64	150	40	142	159	49	620	832	0	87	45	51	116	18	44	8	52	147	48	1	3064
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	98	74	192	95	58	171	51	149	153	53	273	222	7	99	106	88	174	50	111	47	108	182	124	0	2685
