"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.214428571428571	0.26737203317129	0.255150554675119	0.28283550092897	0.163737676810973	0.311454311454311	0.242320331475925	0.268735697940503	0.115687115687116
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.156571428571429	0.160280240205891	0.0365941506987466	0.202801200514506	0.378625517931133	0.210782210782211	0.234747821117302	0.114130434782609	0.203918203918204
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.199285714285714	0.186445524735488	0.0947990203140758	0.142489638416464	0.181168738391199	0.10996710996711	0.0977282468924132	0.178203661327231	0.249392249392249
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.139857142857143	0.179439519588218	0.108053594582913	0.134629126768615	0.115730818688384	0.142714142714143	0.203886269467067	0.213672768878719	0.115115115115115
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.182	0.152559336574206	0.114392738798444	0.137630413034157	0.120588655522217	0.166166166166166	0.1488784112016	0.178203661327231	0.114257114257114
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0.0835714285714286	0.0141549899914212	0.116986025068434	0.0334429041017579	0.000714387769681383	0	0	0	0.0779350779350779
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.0127142857142857	0.0277380611953103	0.0899005906929837	0.0401600686008289	0.0184312044577797	0.0283140283140283	0.0308615516502357	0.0294622425629291	0.0254540254540255
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00285714285714286	0.00686302545038605	0.0247802910243481	0.0198656567100186	0.0167166738105444	0.0243100243100243	0.0372910415773682	0.011870709382151	0.0946660946660947
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.00471428571428571	0.00271661424077781	0.109638380636796	0.000428755180791768	0.00042863266180883	0	0.000142877553936277	0.000429061784897025	0.000858000858000858
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00342857142857143	0.00228767515012868	0.016136003457715	0.00514506216950121	0.00371481640234319	0.00529100529100529	0.0024289184169167	0.0045766590389016	0.00185900185900186
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0	0	0.0231955049704653	0	0	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0	0	0.00864428756663305	0	0	0	0.00114302043149021	0.00028604118993135	0
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0	0	0.000720357297219421	0	0	0.000858000858000858	0.000285755107872553	0.000143020594965675	0.000143000143000143
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.000285714285714286	0.000142979696883043	0.000288142918887768	0.000428755180791768	0	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales"	0.000285714285714286	0	0	0	0	0	0	0	0.000715000715000715
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0	0	0.000288142918887768	0	0	0	0	0.00028604118993135	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0.000432214378331653	0	0	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0	0	0.000143000143000143	0.000142877553936277	0	0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0	0.000142918393597256	0.000142877553936277	0	0	0	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0	0	0	0	0	0	0.000142877553936277	0	0
