"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.151	0.153560194452388	0.0355856504826394	0.193797341717879	0.366052293184741	0.204204204204204	0.225032147449636	0.111985125858124	0.188903188903189
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.199285714285714	0.186445524735488	0.0947990203140758	0.142489638416464	0.181168738391199	0.10996710996711	0.0977282468924132	0.178203661327231	0.249392249392249
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.182	0.152559336574206	0.114392738798444	0.137630413034157	0.120588655522217	0.166166166166166	0.1488784112016	0.178203661327231	0.114257114257114
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.166428571428571	0.205461824420932	0	0.164927826211233	0.0891555936562366	0.162734162734163	0.131875982283183	0	0.0860860860860861
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0631428571428571	0.0929368029739777	0.0319838639965423	0.0830355866800057	0.0605800828689813	0.0756470756470757	0.124160594370624	0.0723684210526316	0.0679250679250679
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0234285714285714	0.0373177008864741	0.204581472410316	0.0650278690867515	0.0382911844549221	0.0647790647790648	0.0497213887698243	0.169336384439359	0.0155870155870156
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.00971428571428571	0.0227337718044038	0.0855784469096672	0.0374446191224811	0.0151450207172453	0.0234520234520235	0.02686098014002	0.0217391304347826	0.0203060203060203
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.015	0.0108664569631112	0.00720357297219421	0.0300128626554238	0.0255750821545935	0.0590590590590591	0.0400057151021575	0.0211670480549199	0.00943800943800944
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00628571428571429	0.0102945381755791	0.0419247946981703	0.0180077175932543	0.00728675525075011	0.0183040183040183	0.0142877553936277	0.0676487414187643	0.00357500357500357
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.000714285714285714	0.00142979696883043	0	0.0140060025725311	0.0124303471924561	0.0215930215930216	0.033576225175025	0	0.0866580866580867
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.0204285714285714	0.0161567057477838	0.0135427171877251	0.0130055738173503	0.0248606943849121	0.0181610181610182	0.0225746535219317	0.0148741418764302	0.012012012012012
