"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Firmicutes"	0.57865409344192	0.722412807318468	0.693011290553094	0.812258894127733	0.724571428571429	0.369338476925275
"k__Bacteria|p__Bacteroidota"	0.243606229461352	0.205403087478559	0.216378447906246	0.12201743106158	0.224714285714286	0.481783111873125
"k__Bacteria|p__Proteobacteria"	0.138019717102443	0.0451686678101772	0.0578819494068887	0.0148592656093728	0.042	0.0544363480497214
"k__Bacteria|p__Actinobacteria"	0.0350050007143878	0.00328759291023442	0.0191510647420323	0.0494356336619517	0.000857142857142857	0.062008858408344
"k__Bacteria|p__Fusobacteria"	0.00471495927989713	0.0237278444825615	0.0135772473917393	0.00142877553936277	0.00785714285714286	0.0324332047435348
