"Taxa"	"joans14"	"joans21"	"joans29"	"joans41"	"joans44"	"joans49"	"joans51"	"joans56"	"joans57"
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.0486121098806271	0.530857142857143	0.53431512725193	0.516022889842632	0.43477639662809	0.503357622517502	0.321704317986846	0.630503144654088	0.245428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.902056666187257	0.244142857142857	0.282670860737775	0.126609442060086	0.222460351478783	0.12930418631233	0.113668859022019	0.0861921097770154	0.637428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.00143822810297713	0.134142857142857	0.0882184729768373	0.0858369098712446	0.261037291041577	0.307043863409058	0.515870746354018	0.192824471126358	0.0608571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.00388321587803826	0.0502857142857143	0.0686302545038605	0.210729613733906	0.0577225317902558	0.0395770824403486	0.0364598227051759	0.0653230417381361	0.0462857142857143
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.0043146843089314	0.0284285714285714	0.0128681727194738	0.0453505007153076	0.0218602657522503	0.0182883269038434	0.0110094366599943	0.0224413950829045	0.009
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia"	0.0299151445419244	0.00971428571428571	0.0121532742350586	0.0140200286123033	0	0	0	0	0.000428571428571429
"k__Bacteria|p__Firmicutes|c__Bacilli"	0.00963612828994679	0.002	0.000142979696883043	0.000715307582260372	0.000714387769681383	0.00171453064723532	0.00057191878753217	0.00185820468839337	0.000142857142857143
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0	0.000428571428571429	0.0010008578781813	0.000715307582260372	0.00128589798542649	0.000571510215745106	0.000714898484415213	0.000857632933104631	0.000428571428571429
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0	0	0	0.000142877553936277	0.000142877553936277	0	0	0
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria"	0.000143822810297713	0	0	0	0	0	0	0	0
