"Taxa"	"culi_1"	"warble_1"	"culi_2"	"warble_2"	"culi_3"	"warble_3"	"culi_4"	"warble_4"	"culi_5"	"warble_5"	"culi_6"	"warble_6"	"culi_7"	"warble_7"	"culi_8"	"culi_9"	"warble_9"	"culi_10"	"warble_10"	"culi_11"	"warble_11"	"culi_12"	"warble_12"	"warble_13"	"warble_14"	"culi_15"	"warble_15"	"culi_16"	"culi_17"	"warble_17"	"culi_18"	"warble_18"	"culi_19"	"warble_19"	"culi_20"	"warble_20"	"culi_21"	"culi_24"	"warble_24"	"culi_25"	"warble_25"	"culi_26"	"warble_26"	"culi_27"	"culi_28"	"warble_28"	"culi_29"	"culi_30"	"warble_30"	"culi_32"	"warble_32"	"culi_33"	"warble_33"	"warble_35"	"culi_36"	"culi_37"	"culi_38"	"warble_38"	"culi_39"	"warble_41"	"culi_42"	"warble_42"	"culi_43"	"warble_43"	"culi_44"	"culi_45"	"warble_45"	"culi_46"	"culi_47"	"culi_48"	"culi_49"	"warble_49"	"culi_50"	"warble_50"	"culi_51"	"warble_51"	"culi_52"	"warble_52"	"culi_53"	"warble_53"	"culi_54"	"warble_54"	"culi_55"	"culi_57"	"warble_57"	"culi_58"	"warble_58"	"culi_59"	"warble_59"	"culi_60"	"warble_60"	"culi_61"	"warble_61"	"culi_62"	"warble_62"	"culi_63"	"warble_63"	"culi_64"	"warble_64"	"culi_65"	"warble_66"	"culi_67"	"warble_67"	"culi_68"	"warble_68"	"warble_69"	"culi_73"	"warble_73"	"culi_74"	"warble_74"	"culi_75"	"warble_75"	"culi_76"	"culi_77"	"warble_80"	"culi_81"	"culi_82"	"culi_83"	"warble_83"	"culi_84"	"warble_84"	"culi_85"	"warble_85"	"culi_86"	"culi_87"	"warble_87"	"culi_88"	"warble_88"	"culi_89"	"warble_89"	"culi_90"	"warble_90"	"culi_91"	"culi_92"	"culi_93"	"warble_93"	"culi_94"	"warble_94"	"culi_95"	"warble_95"	"culi_96"	"warble_96"	"warble_97"	"culi_99"	"warble_99"	"culi_100"	"warble_100"	"culi_101"	"warble_101"	"culi_102"	"culi_103"	"warble_103"	"culi_104"	"warble_104"	"culi_105"	"warble_105"	"culi_106"	"warble_106"	"culi_107"	"warble_107"	"culi_108"	"warble_108"	"culi_109"	"warble_109"	"culi_110"	"warble_110"	"culi_111"	"warble_111"	"warble_112"	"culi_113"	"warble_113"	"culi_114"	"warble_114"	"culi_115"	"culi_116"	"warble_116"	"culi_117"	"warble_117"	"culi_118"	"warble_118"	"culi_119"	"warble_119"	"culi_120"	"warble_120"	"culi_121"	"warble_121"	"culi_122"	"warble_122"	"culi_123"	"warble_123"	"culi_124"	"warble_124"	"culi_125"	"warble_125"	"culi_126"	"warble_126"	"culi_127"	"warble_127"	"culi_128"	"culi_129"	"culi_130"	"culi_131"	"culi_132"	"culi_133"	"warble_133"	"culi_134"	"culi_135"	"warble_135"	"culi_136"	"warble_136"	"culi_137"	"warble_137"	"culi_138"	"warble_138"	"culi_139"	"warble_139"	"culi_140"	"warble_140"	"culi_141"	"warble_141"	"culi_142"	"warble_142"	"culi_143"	"culi_144"	"warble_144"	"culi_145"	"warble_145"	"culi_146"	"culi_147"	"warble_147"	"culi_148"	"warble_148"	"culi_149"	"warble_149"	"culi_150"	"warble_150"	"culi_151"	"warble_151"	"culi_152"	"warble_152"	"culi_153"	"warble_153"	"culi_154"	"warble_154"	"culi_156"	"culi_157"	"warble_157"	"warble_158"	"culi_159"	"warble_159"	"culi_160"	"culi_161"	"warble_161"	"culi_162"	"warble_162"	"culi_163"	"warble_163"	"culi_164"	"warble_164"	"culi_165"	"culi_168"	"culi_170"	"warble_170"	"culi_171"	"warble_171"	"culi_172"	"culi_173"	"warble_173"	"culi_174"	"warble_174"	"culi_177"	"warble_177"	"culi_178"	"warble_178"	"culi_180"	"warble_180"	"warble_181"	"culi_182"	"culi_183"	"warble_184"	"culi_185"	"warble_185"	"culi_187"	"warble_187"	"warble_188"	"warble_189"	"culi_191"	"warble_191"	"culi_192"	"warble_192"	"culi_195"	"warble_195"	"culi_196"	"warble_196"	"warble_197"	"culi_198"	"culi_199"	"culi_200"	"warble_200"	"culi_201"	"warble_201"	"culi_202"	"warble_202"	"warble_221"	"warble_222"	"warble_223"	"warble_224"	"warble_225"	"warble_226"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_231"	"warble_232"	"warble_234"	"culi_235"	"warble_235"	"warble_236"	"warble_238"	"warble_239"	"warble_240"	"warble_242"	"warble_243"	"warble_244"	"warble_245"	"warble_246"	"warble_247"	"warble_248"	"warble_249"	"warble_250"	"warble_251"	"warble_254"	"warble_255"	"warble_256"	"warble_257"	"warble_258"	"warble_262"	"warble_263"	"warble_264"	"warble_265"	"warble_267"	"warble_268"	"warble_269"	"warble_270"	"warble_271"	"warble_272"	"warble_273"	"warble_274"	"warble_276"	"warble_279"	"warble_280"	"warble_282"	"warble_283"	"warble_284"	"warble_285"	"warble_286"	"warble_288"	"warble_289"	"warble_291"	"warble_292"	"warble_293"	"warble_294"	"warble_296"	"warble_297"	"warble_299"	"warble_302"	"warble_304"	"warble_305"	"warble_306"	"warble_307"	"warble_308"	"warble_309"	"warble_310"	"warble_311"	"warble_312"	"warble_315"	"warble_316"	"warble_317"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"	"culi_416"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.268731530318333	0.416896144767899	0.35076865391826	0.436544313060894	0.155897435897436	0.448315911730546	0.399337410805301	0.317675117955099	0.00455235204855842	0.189189189189189	0.34712543554007	0.443485889749963	0.321069413784646	0.385297845373891	0.226849800620292	0.27208480565371	0.420377867746289	0.350008337502084	0.391634980988593	0.327193932827736	0.395881006864989	0.257673778389539	0.540089801154586	0.159526493799324	0.349804746170021	0.169434194341943	0.456921009407197	0.322866548493289	0.359223300970874	0.666666666666667	0.326467559217302	0.516757246376812	0.173715203426124	0.40473208072373	0.119668246445498	0.225869993434012	0.277315744192716	0.389182468138017	0.448403516890329	0.256642512077295	0.0986937590711176	0.0879233664043791	0.498132427843803	0.263009540329575	0.289595758780649	0.371451743714517	0.464480016739904	0.282740407021905	0.482613277133825	0.280023432923257	0.534320706351467	0.154255319148936	0.267392232180965	0.482912332838039	0.46168108776267	0.228247162673392	0.238230136247133	0.328113879003559	0.263688016528926	0.297348484848485	0.175668643979602	0.217136958017894	0.157212317666126	0.485168896790493	0.353763987792472	0.0819209039548023	0.48338081671415	0.147062166155245	0.195337423312883	0.170044289357133	0.142029972752044	0.363597883597884	0.305260495700556	0.431561996779388	0.222697931761296	0.204968944099379	0.244755993150685	0.38666924639644	0.32846988402544	0.44663011931635	0.328717948717949	0.440158820192853	0.280835221754613	0.22033118675253	0.513805909898272	0.215686274509804	0.479093464511595	0.446814291536476	0.360341151385927	0.017591674925669	0.369689069138664	0.320102798400914	0.545650611071172	0.228878368536052	0.5	0.308983799705449	0.543128925009235	0.193964765393337	0.498954217987451	0.278150572831424	0.368137782561894	0.144200626959248	0.359510086455331	0.294432211387229	0.307558284244586	0.365464222353637	0.137397034596376	0.426471685443557	0.275123558484349	0.278736842105263	0.302405498281787	0.312186559679037	0.213656911729717	0.182553833493348	0.207374631268437	0.222691203781867	0.266033006058074	0.26779720897368	0.200778992335721	0.268275117032769	0.428149131274131	0.46609651802077	0.124022790512787	0.328663101604278	0.282097416784475	0.366708701134931	0.0899382324077816	0.418205558664428	0.19771915361363	0.34681288553804	0.141277301631186	0.172559366754617	0.202492211838006	0.150913058458711	0.233183134856775	0.211776859504132	0.253438113948919	0.288688109866281	0.160649819494585	0.298223527766121	0.389522095580884	0.410169491525424	0.389513108614232	0.375168509032084	0.319043693322341	0.364214046822742	0.430670048615515	0.35171102661597	0.32766439909297	0.274900398406374	0.15090622537431	0.336271485235787	0.276537272414978	0.408902301018484	0.31685813518568	0.210428305400372	0.134340222575517	0.235344385575115	0.315366198047762	0.284357653982478	0.187775271242883	0.401509883778683	0.21575776791376	0.26164902248667	0.164366883116883	0.410978588877712	0.285465272190936	0.341875998257587	0.326011560693642	0.0510729075166269	0.428571428571429	0.0373999875953607	0.133547868061142	0.334084688455965	0.200119177674049	0.252169197396963	0.263024142312579	0.384161114476075	0.0686537646560249	0.318563092633114	0.161435803037276	0.244850881529082	0.10895378690629	0.322856685860525	0.297946859903382	0.0825474744865004	0.170805572380376	0.384727804165144	0.111111111111111	0.267467248908297	0.40336328035015	0.283142389525368	0.309963616008956	0.337625754527163	0.400648685558211	0.185172413793103	0.184411825511681	0.185077331262538	0.378767208235148	0.354367890105173	0.000766675185279836	0.293688639551192	0.375086266390614	0.240701483908267	0.3144260830728	0.164768036982004	0.485709260399261	0.112676056338028	0.226111636707663	0.186937747391148	0.446795238342777	0.239874237100055	0.327719491993374	0.368620835090679	0.0275487256371814	0.294117647058824	0.223497895139686	0.294598787195036	0.246259934548855	0.272943665696906	0.375123955234452	0.00183038438071995	0.305185299329686	0.312467976088813	0.483213557867639	0.205681040383299	0.425360892388451	0.449237329834345	0.202644684870342	0.325324059437243	0.336189069423929	0.499631404349429	0.0983337885823545	0.350073613610339	0.321588831643676	0.400624915093058	0.0467289719626168	0.399274047186933	0.0653500220139631	0.29874800213106	0.103273577552611	0.207419442187923	0.287519522930569	0.361060880048222	0.545102505694761	0.340894148586456	0.287404092071611	0.356970185334408	0.232657150012522	0.367832776890695	0.211693548387097	0.211322146413424	0.289541067559582	0.133476279817743	0.0629039207238259	0.172807769208797	0.312990936555891	0.49663946231397	0.205806887238352	0.169000482858522	0.469026548672566	0.135340632603406	0.0441345784827939	0.161290322580645	0.417532467532468	0.45393634840871	0.498518079430943	0.302071178529755	0.334324324324324	0.190293453724605	0.435015080888401	0.319099559062427	0.445962732919255	0.185570414396566	0.258665511265165	0.396492396492396	0.330030700530282	0.257967032967033	0.33698466440948	0.211472602739726	0.268112370625924	0.367282202333749	0.0357577601947657	0.301982331394096	0.158662775271955	0.337542549687054	0.0310854850839809	0.359862159501149	0.294402583423036	0.146191646191646	0	0.105485232067511	0.250982961992136	0.122585836909871	0.419003322259136	0.341401567542646	0.304958843605702	0.419971671388102	0.293718411552347	0.233371428571429	0.126109294722092	0.660794844253491	0.201583024587403	0.500467977002273	0.558720930232558	0.283874923359902	0.554041916167665	0.171217292377702	0.378269617706237	0.371609769261908	0.402993123904544	0.270560590802283	0.443702197695808	0.266666666666667	0.284539934609995	0.330486502973921	0.371851851851852	0.453400503778338	0.22085417468257	0.65491030708422	0.518668596237337	0.0120224936978864	0.580711920529801	0.32564026206075	0.380434782608696	0.414009000195656	0.621964097148891	0.0670995670995671	0.509433962264151	0.333333333333333	0.361334264757248	0.026017130620985	0.396298312465977	0.425481899388811	0.181583031557165	0.367845424717463	0.441450777202073	0.470751908890902	0.51204952465178	0.520727272727273	0.491423333769805	0.466165413533835	0.545089029293509	0.738981762917933	0.243741143127067	0.499682942295498	0.404965211891208	0.516616314199396	0.560740740740741	0.312462731067382	0.301239970824216	0.54518484710178	0.379297221869846	0.384452296819788	0.744058500914077	0.473780209758322	0.407314897413024	0.441462596444146	0.224817884953529	0.609505612610461	0.45937813440321	0.434636401849517	0.392915089237426	0.458726899383984	0.841277407054338	0.506759098786828	0.476102516739783	0.372943327239488	0.543978188715031	0.685487528344671	0.450115118956255	0.516180992824718	0.513624377380604	0.521493440968718	0.563807214307366	0.671109630123292	0.421285247060903	0.487101005684303	0.448014166455856	0.370743226447924	0.64823128030167	0.309804719283971	0.412738395106153	0.493887530562347	0.0771865967241195
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.223581341413235	0.113886703383163	0.168053993250844	0.168817162885645	0.204717948717949	0.115998838559814	0.219928644240571	0.168455436304246	0.0273141122913505	0.0929054054054054	0.148892483822797	0.0799337135058732	0.19738778513613	0.109096226966949	0.192008700205422	0.168727915194346	0.135739991003149	0.275262631315658	0.0874524714828897	0.261302078203487	0.173913043478261	0.265519614590502	0.0823788142582241	0.0546786922209696	0.181736257134275	0.191676916769168	0.2378677019561	0.255507723474297	0.155339805825243	0.333333333333333	0.210092687950566	0.101902173913043	0.231531049250535	0.119276270006959	0.187796208530806	0.330925804333552	0.268282190995125	0.144855455393224	0.151318833873207	0.219303542673108	0.279148524431543	0.325008552856654	0.100848896434635	0.20338248048569	0.152529268831456	0.233576642335766	0.181261770244821	0.086530992698462	0.127502634351949	0.110427650849443	0.131301623469097	0.207446808510638	0.142979086641058	0.141158989598811	0.188092295014421	0.207440100882724	0.259678942398489	0.161565836298932	0.181430785123967	0.207575757575758	0.38026849828286	0.264366827253957	0.320799567801189	0.116215963319921	0.0874872838250254	0.106873822975518	0.115859449192783	0.270485282418457	0.262822085889571	0.335391222654677	0.305517711171662	0.126560846560847	0.21560445118867	0.150610969025291	0.287643261757344	0.360636645962733	0.222923801369863	0.166489310244752	0.10811821922933	0.152692679780716	0.202393162393162	0.114861032331254	0.231223696989317	0.232750689972401	0.111658323914097	0.320470588235294	0.17709065354884	0.159625050944165	0.168798862828714	0.0512884043607532	0.166763229045964	0.123572244431753	0.139707644380542	0.238528769118718	0	0.173784977908689	0.0960472848171407	0.254840397697541	0.155937717871253	0.26505728314239	0.204520990312164	0.297805642633229	0.199327569644573	0.182054105064486	0.123786609142952	0.191799724029174	0.387149917627677	0.149294933970007	0.367953584986749	0.216842105263158	0.211868887126619	0.184553660982949	0.269093504639543	0.2295981346866	0.256489675516224	0.184366030727672	0.188426989763944	0.229641406111994	0.259580349290112	0.276557436082103	0.127594111969112	0.13836285888821	0.378163508678945	0.194010695187166	0.387225292378872	0.240226986128625	0.293136292789932	0.143816452154449	0.216268205550976	0.225668265935572	0.240669062759193	0.274406332453826	0.230529595015576	0.294935109681865	0.236884454457676	0.180268595041322	0.10150622134905	0.186772677990604	0.204873646209386	0.118058469716044	0.0705858828234353	0.200762711864407	0.201463287170107	0.17996764626584	0.153338829348722	0.241471571906355	0.169520186007187	0.247782002534854	0.220573077715935	0.116457247931352	0.175925925925926	0.20317320405465	0.185159738921333	0.0645982648057337	0.249666043280791	0.289704708699122	0.308028616852146	0.250726371560417	0.215360058935478	0.131879890323012	0.251262219357611	0.156153769742724	0.270291693088142	0.203307317827061	0.191558441558442	0.190688317286967	0.222043443282381	0.255916944968782	0.219942196531792	0.224745890325009	0	0.145506419400856	0.2782582461786	0.2228304620834	0.228721819445824	0.066702819956616	0.246505717916137	0.17595396729255	0.211470546687385	0.143690736688549	0.288817303267372	0.142857142857143	0.180198973042362	0.195537428023033	0.177898550724638	0.183826379020798	0.315970119119725	0.154670563877725	0.340562098834673	0.163073144104804	0.151808339092375	0.23240589198036	0.338371116708648	0.212072434607646	0.227210652099693	0.114022988505747	0.281166011990903	0.0454280722189866	0.191119930546943	0.174071689203692	0.000766675185279836	0.101262272089762	0.179434092477571	0.20967431104259	0.0209915140687807	0.256892851246492	0.0929557646644974	0.0415828303152247	0.26608325449385	0.0377833753148615	0.12117274003223	0.0355095246902164	0.225013804527885	0.0295234078447912	0.142241379310345	0.189480707216724	0.219096823574436	0.214779297701312	0.0975923328658252	0.157982896940845	0.117580393823488	0	0.106710840588643	0.225448334756618	0.129893811005041	0.202087611225188	0.0951443569553806	0.0364113498441857	0.176197836166924	0.0962693645273475	0.0676514032496307	0.165499447106524	0.143949740508058	0.136757729429086	0.211567226192455	0.0908843907077843	0.17231308411215	0.0768300060496068	0.120196238757155	0.0708577517314864	0.159976617303196	0.0729759003520173	0.137867386057078	0.221753398968589	0.0709567198177677	0.335634451019066	0.146419437340153	0.181788879935536	0.269471575256699	0.152707214399768	0.20852534562212	0.276968467637839	0.195587945637187	0.342803537925489	0.1984058595433	0.209083119108826	0.120845921450151	0.126740278444551	0.241458474004051	0.384113954611299	0.177527487262001	0.0282846715328467	0.0241780734297045	0.121392190152801	0.075	0.054606365159129	0.192056905749852	0.044340723453909	0.254459459459459	0.0808126410835214	0.172607622703592	0.18426549083314	0.195031055900621	0.025260029717682	0.262998266897747	0.0624930624930625	0.0604242255093497	0.200549450549451	0.322047400916152	0.33162100456621	0.086495810744209	0.0735244137305993	0.0019780888618381	0.107088989441931	0.173432387016892	0.108707587570001	0.000501378791677112	0.0428290121430916	0.0457481162540366	0.0124385749385749	0	0	0.214613368283093	0.198229613733906	0.102059800664452	0.0788381742738589	0.161814896607107	0.253257790368272	0.101371841155235	0.409714285714286	0	0.0569280343716434	0.187015830245874	0.102420109640326	0.0844476744186047	0.143470263641937	0.113622754491018	0.0455062571103527	0.232059020791415	0.184590473620294	0.148038290413914	0.182108089963075	0.137477006486591	0.117799352750809	0.196170014012144	0.152813786792741	0.0674074074074074	0.0403022670025189	0.186033089649865	0.0224992398905442	0.0633863965267728	0.000969555943377933	0.0844370860927152	0.148749255509232	0.0482336956521739	0.028565838387791	0.0686378035902851	0.0238095238095238	0.200831467860569	0.0833333333333333	0.136570031435557	0.00685224839400428	0.0533478497550354	0.0597085096379878	0.0600103466114847	0.0767407947502734	0.18160621761658	0.0788792545619257	0.0886579703736458	0.0792727272727273	0.0721487495089695	0.159774436090226	0.113153360137852	0.0533181357649443	0.214454416627303	0.0862396956246037	0.158285895003163	0.0719033232628399	0.0296296296296296	0.155038759689922	0.0671043034281546	0.106572341396623	0.201699860459216	0.172968197879859	0.00329067641681901	0.0665754673962608	0.2035682426405	0.133847702113385	0.179100728460186	0.00620969668020062	0.122199933132732	0.180538041193779	0.145754461871282	0.0611909650924025	0.000953288846520496	0.115424610051993	0.0997460170861233	0.0856185252894577	0.121977240398293	0.0428571428571429	0.058518802762855	0.152291697173818	0.020802812774685	0.074066599394551	0.123976962715975	0.00966344551816061	0.162821532749934	0.140795802361172	0.177333670629901	0.173005219985086	0.0960675166098043	0.161920260374288	0.0926592299388269	0.0716569494075606	0.175248902687078
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.074439830920585	0.15912667191188	0.131496062992126	0.125524785271348	0.111179487179487	0.0855110336817654	0.144367991845056	0.216052263182454	0.0136570561456753	0.106418918918919	0.239360378297661	0.36462445776673	0.174270296786853	0.138052062006435	0.114834655818262	0.189929328621908	0.139338731443995	0.106678339169585	0.0774538797352486	0.0799763616665025	0.132723112128146	0.0765313145216793	0.06451021717218	0.0890642615558061	0.306248122559327	0.249077490774908	0.128415708526206	0.198531273740187	0.233009708737864	0	0.176622039134912	0.0932971014492754	0.177462526766595	0.0566457898399443	0.143364928909953	0.196979645436638	0.0785775738457127	0.154491762511657	0.181397501156872	0.23299114331723	0.208272859216255	0.331166609647622	0.0964346349745331	0.117519514310494	0.235807377954495	0.131386861313869	0.161383134546976	0.319558800683548	0.0590094836670179	0.30697129466901	0.180005696382797	0.234042553191489	0.289959453691848	0.108469539375929	0.141532756489493	0.244010088272383	0.196141912855794	0.22491103202847	0.192148760330579	0.178030303030303	0.10916848787595	0.142549896765313	0.124149108589951	0.170206793300271	0.0539165818921668	0.304613935969868	0.0870528648306426	0.214456188203205	0.228957055214724	0.127499664474567	0.162125340599455	0.0914285714285714	0.186899342438037	0.170692431561997	0.161375312870505	0.104425465838509	0.195740582191781	0.240301828383477	0.124953236064347	0.184617865204773	0.203760683760684	0.234968803176404	0.190352865004856	0.0699172033118675	0.232682060390764	0.197960784313725	0.0980323260716796	0.151202282298601	0.121535181236674	0.0265113974231913	0.08376786404017	0.28362364363221	0.0848310567936736	0.1959213401311	0	0.187039764359352	0.157923900997414	0.231292517006803	0.11735998140832	0.195008183306056	0.0925726587728741	0.266457680250784	0.255283381364073	0.214218307643913	0.123122873973285	0.153952296471516	0.122899505766063	0.222338282474073	0.113100780746365	0.162947368421053	0.364128998149617	0.0797392176529589	0.298834166071853	0.126731586887944	0.277138643067847	0.156002026000338	0.207541257572592	0.261967850203144	0.172509109184571	0.138998919697515	0.253800675675676	0.198686621869273	0.1551609911223	0.319251336898396	0.124534121578203	0.213997477931904	0.278646885643364	0.284088789404962	0.268617752129706	0.199451679232351	0.298037047276749	0.294635004397537	0.300560747663551	0.194900654645687	0.221274541358223	0.0715392561983471	0.220039292730845	0.333357426816046	0.194945848375451	0.494474751713526	0.22875424915017	0.193050847457627	0.200505182475394	0.14855756268536	0.222588623248145	0.159531772575251	0.218241386599028	0.173637515842839	0.23747680890538	0.205638982531413	0.22409377462569	0.21477890406934	0.186190312607351	0.292719728404376	0.121693828479829	0.291034849694068	0.0654809220985692	0.293112288497693	0.147768432684634	0.289707750952986	0.15146632291331	0.264179994039932	0.12428662016487	0.245807897380419	0.147321428571429	0.238683718925133	0.213462054170019	0.133875417453173	0.197687861271676	0.114380725310578	0.285714285714286	0.0623333126589344	0.154867256637168	0.184833360167445	0.176680901777734	0.0417570498915401	0.0964421855146124	0.214566929133858	0.112303997739794	0.294128373450036	0.138334100322135	0.171362662712144	0.174422336328626	0.30414267434421	0.22451690821256	0.0879731300865521	0.135675348273773	0.261113140908537	0.106375023368854	0.193504366812227	0.275051831375259	0.112929623567921	0.075706689056815	0.182293762575453	0.0899624445203141	0.131149425287356	0.109572048790573	0.148385426777972	0.137789904502046	0.109143593045718	0.00127779197546639	0.241514726507714	0.162870945479641	0.140489497012912	0.0180884323358642	0.126135050354961	0.215020666608038	0.00251509054325956	0.200567644276254	0.0167326376394386	0.27629048188387	0.00295912705751803	0.180747285109516	0.0122311261071278	0.219640179910045	0.262426331591238	0.164753157290471	0.125370187561698	0.240649836372137	0.0875429780481354	0.0405156537753223	0.000305064063453325	0.034363202095693	0.138599487617421	0.0642497050305696	0.216974674880219	0.0557742782152231	0.0884041331802526	0.425038639876352	0.0148593107809042	0.303988183161004	0.134353114633247	0.0707456978967495	0.0994601668575168	0.160711317932525	0.136258660508083	0.207359813084112	0.0999697519661222	0.108371595697843	0.0520777836973895	0.243764614185503	0.0341186027619821	0.2652278858441	0.158462259728083	0.251366742596811	0.156421214113522	0.097346547314578	0.153263497179694	0.1748059103431	0.242705762810277	0.228110599078341	0.167434999078001	0.296237935788852	0.119002948271241	0.292761740629039	0.149957155098543	0.0290030211480363	0.0792126740278445	0.241728561782579	0.119507484307098	0.243496916063288	0.00790754257907543	0.00294230523218626	0.221137521222411	0.0915584415584416	0.214907872696817	0.193242442205098	0.0934947491248541	0.233243243243243	0.0769751693002257	0.226761721963257	0.28730563935948	0.0922015182884748	0.025260029717682	0.192807625649913	0.130869130869131	0.149176667596986	0.253846153846154	0.133240390360486	0.179509132420091	0.0517496303597831	0.0463351081907783	0.000456482045039562	0.161064425770308	0.166534005483329	0.300318436367629	0.00200551516670845	0.0244502789629143	0.0466451381413706	0.0569717444717445	0	0.029535864978903	0.155471821756225	0.186963519313305	0.129435215946844	0.078377132319041	0.0361373218229271	0.16614730878187	0.139783393501805	0.0998857142857143	0.0579168612797758	0.0191192266380236	0.177585045469855	0.156170611044257	0.0354651162790698	0.0784794604537094	0.123053892215569	0.0445582100872203	0.0778001341381623	0.179328025907435	0.119724956181745	0.0939912722390064	0.0599283570529577	0.266019417475728	0.0654834189631014	0.17767271618118	0.0577777777777778	0.120906801007557	0.239899961523663	0.0297962906658559	0.113458755426918	0.00174520069808028	0.068294701986755	0.0854675402025015	0.130434782608696	0.0254353355507728	0.027455121436114	0.0287878787878788	0.163735209465942	0.25	0.112818721620678	0.0114561027837259	0.0310288513881328	0.072872590503056	0.0636316606311433	0.0370032810791105	0.190155440414508	0.093309175617963	0.125359274817599	0.0421818181818182	0.0543407097027629	0.093984962406015	0.0557151062607697	0.0236828774062817	0.0831365139348134	0.0672162333544705	0.119070208728653	0.0259818731117825	0.0214814814814815	0.0930232558139535	0.0295404814004376	0.154952076677316	0.117341113789167	0.0731448763250883	0.016819012797075	0.056999544003648	0.0410347903657449	0.0519959745051996	0.143682491836222	0.000238834487700024	0.189234369775995	0.23287095418243	0.0781503515413737	0.369199178644764	0.000476644423260248	0.116464471403813	0.12006465019626	0.138939670932358	0.123399715504979	0.0562358276643991	0.166346891788181	0.110118611802607	0.0506885438031058	0.0875882946518668	0.146104880266748	0.0093302232589137	0.135331035092372	0.169654569304766	0.147482924361245	0.204822271936366	0.0820614113844496	0.373474369406021	0.22544080604534	0.173406056046643	0.108446633122792
