"Taxa"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"Metabolism|Global and overview maps"	0.38269687626204	0.380797847237557	0.370094215916856	0.380615701289312	0.388334774926764	0.381996127099413	0.37650121798076	0.374464523142445	0.382882096717123
"Metabolism|Carbohydrate metabolism"	0.111485440799806	0.108902873408293	0.102675926007828	0.107223343219759	0.110794108145891	0.108022377437363	0.109424151921364	0.110867529935515	0.111231284119234
"Environmental Information Processing|Membrane transport"	0.0749231649564868	0.0728788333707998	0.0618602567787038	0.0674172209796485	0.0706176517667766	0.0672562763530805	0.0756824655830058	0.0727892871340805	0.0743844989541091
"Metabolism|Amino acid metabolism"	0.0627269646051292	0.0619937308730075	0.0589250766661779	0.061993969799085	0.065785762140347	0.0626753298257721	0.0618226212463503	0.0607429247507911	0.0632694427855674
"Environmental Information Processing|Signal transduction"	0.0410372675934173	0.0433329768056365	0.056540251030901	0.0454081768914012	0.0406079732115475	0.0457137148888729	0.0471083838196185	0.0537393334860344	0.0421414596506289
"Cellular Processes|Cellular community - prokaryotes"	0.0397372085252635	0.0418414993418183	0.0510467695628944	0.0430194595771131	0.0391374219359237	0.0420911850368316	0.044029842599942	0.0462270704140214	0.0421063352907878
"Metabolism|Energy metabolism"	0.037852085987726	0.0380730250598103	0.0383077721951566	0.0380269573604345	0.0371835379846356	0.0378140334789122	0.0375368153030112	0.0363157747799471	0.0373314052079442
"Metabolism|Metabolism of cofactors and vitamins"	0.0354981247485542	0.0352644387609846	0.0354918466387253	0.0355655256921559	0.0357282704739828	0.0349208932531337	0.0336046167314177	0.0337949628881969	0.0359391993668291
"Metabolism|Nucleotide metabolism"	0.0280096002149086	0.0277475741124499	0.0250442037819699	0.0272113824842233	0.0271793804286456	0.0272424994723005	0.0264418821123809	0.0251801774981122	0.0269756177052099
"Metabolism|Lipid metabolism"	0.0198393455252212	0.020082763377272	0.0219658112787204	0.0204801693827142	0.019689384789348	0.0206306461789858	0.0203249123828234	0.0212669619377631	0.0195169684523498
"Genetic Information Processing|Translation"	0.0201251847123554	0.0205046141749722	0.0184332677949871	0.0201724813769509	0.0200280473046211	0.0202196082143979	0.0190982469711099	0.0180245852909876	0.0195109812678838
"Genetic Information Processing|Replication and repair"	0.0194100046274056	0.0199090798332217	0.0184456106849781	0.0196735869891232	0.0190687167384389	0.0196980218695725	0.0188181078051561	0.0173901532285799	0.0186596930772461
"Metabolism|Glycan biosynthesis and metabolism"	0.0142495061314994	0.0147464520096323	0.0141943536941884	0.0148665913412784	0.0138488769145161	0.0152079752128229	0.0139140489642085	0.0149483049381342	0.0132034392483133
"Metabolism|Xenobiotics biodegradation and metabolism"	0.0126188372443505	0.0122262332407046	0.0130273026931177	0.0128427389687856	0.0140828655150138	0.0126987625947542	0.0133236347079169	0.0126088184603334	0.0134482515838086
"Metabolism|Metabolism of other amino acids"	0.0128896076271968	0.0125647804394454	0.013063999759017	0.0128521583927559	0.0131961243423345	0.0127147302715	0.0126188180819899	0.0123879869660697	0.0131181252023451
"Metabolism|Biosynthesis of other secondary metabolites"	0.0121287286362033	0.0124209152376785	0.013239060166178	0.0128249243820389	0.0126250955106158	0.012964183500893	0.0127295065311598	0.0129682022903032	0.0119817472966424
"Genetic Information Processing|Folding, sorting and degradation"	0.0111638285088171	0.0116789742175569	0.0124128446623331	0.0119424346956427	0.0112394790983339	0.0115960726685973	0.0111562868574938	0.0108771254197698	0.0113519914519496
"Human Diseases|Drug resistance: Antimicrobial"	0.0119529175937328	0.0115286471525385	0.0112283842132849	0.0114939373035653	0.0108687481104643	0.0113202536288042	0.011197623872944	0.0114335823181232	0.0116200739668221
"Metabolism|Metabolism of terpenoids and polyketides"	0.0104887333656966	0.00985091356865834	0.00934890436044486	0.00988278367858412	0.0104768963013644	0.010101653629381	0.0101266329034529	0.00914939171953629	0.00980752378492165
"Cellular Processes|Cell growth and death"	0.00721429989945699	0.0082343844780124	0.00976562883603921	0.00855729979191392	0.00732334992118291	0.00857239454702189	0.00835261048370345	0.0084687200846318	0.00730667902789819
"Cellular Processes|Cell motility"	0.00581762725403328	0.00658491436520725	0.0111238221376239	0.00751921363617277	0.00505467015057155	0.00652963544566206	0.00750662629731046	0.00720795351967636	0.00677425948206902
"Human Diseases|Infectious diseases: Bacterial"	0.0049089834456796	0.00458187792021395	0.00582022612586092	0.00493869655902696	0.00443188495532043	0.00491523627554725	0.00469601862888867	0.00492808813952803	0.00476985548041711
"Organismal Systems|Endocrine system"	0.00411592299030114	0.00425184193333023	0.00420949221215925	0.00428505936994333	0.00421395905040137	0.00432752438000394	0.00416255249803143	0.00408203799581893	0.00398389278079836
"Human Diseases|Cancers: Overview"	0.00264423625741916	0.00254133007339772	0.00299800005320439	0.0026913520717753	0.00253002514946261	0.00262362371501849	0.00251335663485934	0.00260404806341922	0.00260141880289692
"Human Diseases|Drug resistance: Antineoplastic"	0.00215957541305588	0.00228968915596399	0.00247631586587135	0.00233189902559177	0.00211610592999151	0.00224090496207528	0.00215273287648356	0.00206737603390221	0.00220607167409524
"Cellular Processes|Transport and catabolism"	0.0017690937373664	0.00184598257723397	0.00204016826001901	0.00191423863717476	0.00153945898174605	0.0020932032333866	0.00185786760917076	0.00225717262988385	0.00138901775322608
"Organismal Systems|Aging"	0.00176138494579365	0.00178167904429406	0.0020611019258265	0.00190202163886049	0.00159785144906655	0.00180854517500597	0.00174582690525398	0.00169165147847941	0.00173138165761364
"Organismal Systems|Immune system"	0.00165693013743347	0.00176167797790408	0.00176432870310025	0.00176961726658259	0.00170124953875804	0.00183070289017456	0.00175514241319079	0.00172968809383278	0.00154385930287868
"Human Diseases|Endocrine and metabolic diseases"	0.00163155030328939	0.00167129116362726	0.00176714493348858	0.00175629942746861	0.00171157703425799	0.00170574510966988	0.00161709583783165	0.00153259661885034	0.00164599647600994
"Organismal Systems|Environmental adaptation"	0.00118964161852344	0.00129197367329111	0.00174253846604424	0.00140299012641479	0.00118114610661531	0.00140477675138535	0.00138432223801579	0.00138218143242801	0.00115848878294586
"Human Diseases|Cardiovascular diseases"	0.00110960770085577	0.00116381274600221	0.00144279699533512	0.00125816874827556	0.00108299452447112	0.00126854627963561	0.0011691679522055	0.00126474626234811	0.00103663249519488
"Genetic Information Processing|Transcription"	0.00125016600803617	0.00124329119154098	0.000992631364308792	0.00116885743801104	0.00122408235517132	0.00117230849601177	0.00113359782798238	0.00109693678218045	0.00123183642133142
"Organismal Systems|Nervous system"	0.000908302970610462	0.000916103657879989	0.00111296352715706	0.000956078040585761	0.00077276617093937	0.000965249641254184	0.000875880416377445	0.00108195620902967	0.000812281241260854
"Human Diseases|Neurodegenerative diseases"	0.000662726595076462	0.000799623150284579	0.00156279392766341	0.000996272465780871	0.000638815815168292	0.00082229674740528	0.000843760521343138	0.000806351343125869	0.000841582604187138
"Human Diseases|Cancers: Specific types"	0.000691862878877363	0.000688470933659745	0.000859503896193339	0.000776445452189346	0.000731304885300971	0.000723544577014598	0.000721993923356879	0.000614353511518228	0.0007235818729006
"Organismal Systems|Digestive system"	0.000570075020220388	0.000653568846047322	0.000632342654506364	0.00069226972459589	0.000580138109815456	0.000715201313771057	0.000675700787030503	0.00062256179992924	0.000517575820368795
