"Taxa"	"culi_1"	"warble_1"	"culi_2"	"warble_2"	"culi_3"	"warble_3"	"culi_4"	"warble_4"	"culi_6"	"warble_6"	"culi_7"	"warble_7"	"culi_8"	"warble_9"	"culi_10"	"warble_10"	"culi_11"	"culi_12"	"warble_12"	"warble_13"	"warble_14"	"culi_15"	"warble_15"	"culi_16"	"warble_18"	"culi_19"	"warble_19"	"warble_20"	"culi_21"	"culi_25"	"warble_25"	"culi_27"	"culi_28"	"culi_29"	"culi_30"	"culi_32"	"warble_32"	"warble_33"	"culi_36"	"culi_38"	"culi_39"	"culi_42"	"warble_42"	"culi_43"	"warble_43"	"culi_44"	"warble_45"	"culi_46"	"culi_47"	"culi_48"	"warble_49"	"culi_50"	"warble_50"	"culi_51"	"culi_52"	"warble_52"	"warble_53"	"culi_54"	"warble_54"	"culi_55"	"warble_57"	"culi_58"	"warble_58"	"culi_59"	"culi_60"	"warble_60"	"culi_61"	"warble_61"	"culi_62"	"warble_63"	"culi_64"	"warble_64"	"culi_65"	"warble_67"	"culi_68"	"warble_68"	"warble_69"	"warble_73"	"culi_74"	"culi_75"	"warble_75"	"culi_76"	"culi_77"	"warble_80"	"culi_81"	"culi_82"	"culi_83"	"warble_83"	"culi_84"	"warble_84"	"culi_85"	"warble_85"	"culi_86"	"culi_87"	"warble_87"	"culi_88"	"warble_88"	"culi_89"	"warble_89"	"culi_90"	"warble_90"	"culi_91"	"culi_92"	"culi_93"	"warble_93"	"warble_94"	"culi_95"	"warble_95"	"culi_96"	"warble_96"	"warble_97"	"culi_99"	"culi_100"	"warble_100"	"warble_101"	"culi_103"	"warble_103"	"warble_104"	"culi_105"	"warble_105"	"culi_106"	"warble_106"	"culi_107"	"warble_107"	"culi_108"	"warble_108"	"culi_109"	"warble_109"	"warble_110"	"culi_111"	"warble_111"	"warble_112"	"culi_113"	"culi_114"	"warble_114"	"culi_115"	"culi_116"	"culi_117"	"warble_117"	"culi_118"	"warble_118"	"culi_119"	"warble_119"	"culi_120"	"warble_120"	"culi_121"	"warble_121"	"culi_122"	"warble_122"	"culi_123"	"warble_123"	"culi_124"	"culi_125"	"warble_125"	"culi_126"	"warble_126"	"culi_127"	"warble_127"	"culi_128"	"culi_129"	"culi_130"	"culi_131"	"culi_133"	"warble_133"	"culi_134"	"culi_135"	"warble_135"	"culi_136"	"warble_136"	"culi_137"	"warble_137"	"culi_138"	"culi_139"	"warble_139"	"culi_140"	"warble_140"	"culi_141"	"warble_141"	"culi_142"	"culi_143"	"culi_144"	"warble_144"	"culi_145"	"warble_145"	"culi_146"	"culi_147"	"warble_147"	"culi_148"	"warble_148"	"culi_149"	"warble_149"	"culi_150"	"warble_150"	"culi_151"	"warble_151"	"culi_152"	"warble_152"	"culi_153"	"warble_153"	"culi_154"	"warble_154"	"culi_156"	"culi_157"	"warble_157"	"warble_158"	"culi_159"	"warble_159"	"culi_161"	"warble_161"	"culi_162"	"warble_162"	"culi_163"	"culi_164"	"warble_164"	"culi_165"	"culi_168"	"warble_170"	"culi_172"	"warble_173"	"culi_174"	"warble_174"	"culi_177"	"warble_177"	"culi_178"	"warble_178"	"warble_180"	"warble_181"	"culi_182"	"culi_183"	"warble_184"	"culi_185"	"warble_185"	"culi_187"	"warble_187"	"warble_188"	"warble_189"	"culi_191"	"warble_191"	"culi_192"	"warble_192"	"culi_196"	"warble_196"	"warble_197"	"culi_198"	"culi_199"	"culi_200"	"warble_200"	"culi_201"	"culi_202"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_258"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_289"	"warble_291"	"warble_292"	"warble_293"	"warble_294"	"warble_296"	"warble_302"	"warble_305"	"warble_306"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_317"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"	"culi_416"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.268857142857143	0.417142857142857	0.351428571428571	0.436857142857143	0.156	0.448285714285714	0.399428571428571	0.317428571428571	0.347714285714286	0.443428571428571	0.321142857142857	0.385142857142857	0.212285714285714	0.420285714285714	0.35	0.391714285714286	0.329714285714286	0.257714285714286	0.540857142857143	0.159428571428571	0.349428571428571	0.169428571428571	0.456285714285714	0.322857142857143	0.516571428571429	0.173428571428571	0.330571428571429	0.226	0.277428571428571	0.256571428571429	0.0985714285714286	0.263142857142857	0.289428571428571	0.473428571428571	0.282571428571429	0.279714285714286	0.534285714285714	0.267428571428571	0.461142857142857	0.238285714285714	0.263428571428571	0.176	0.216857142857143	0.157142857142857	0.485428571428571	0.353714285714286	0.483142857142857	0.147142857142857	0.195428571428571	0.170285714285714	0.363428571428571	0.305428571428571	0.432	0.219714285714286	0.245428571428571	0.386857142857143	0.446571428571429	0.328571428571429	0.440571428571429	0.280857142857143	0.513714285714286	0.215714285714286	0.478571428571429	0.447142857142857	0.0177142857142857	0.369714285714286	0.320285714285714	0.545142857142857	0.228285714285714	0.543142857142857	0.194	0.498571428571429	0.278571428571429	0.359428571428571	0.294285714285714	0.307714285714286	0.365142857142857	0.426285714285714	0.275142857142857	0.302571428571429	0.312285714285714	0.213714285714286	0.182571428571429	0.207142857142857	0.222571428571429	0.266571428571429	0.268	0.200857142857143	0.268	0.428285714285714	0.466285714285714	0.124285714285714	0.329142857142857	0.282	0.366857142857143	0.0888571428571429	0.418	0.197428571428571	0.346857142857143	0.141428571428571	0.172857142857143	0.202857142857143	0.150857142857143	0.232857142857143	0.211714285714286	0.288571428571429	0.160285714285714	0.298285714285714	0.389428571428571	0.410285714285714	0.389428571428571	0.375428571428571	0.364285714285714	0.430857142857143	0.327142857142857	0.151142857142857	0.336857142857143	0.409428571428571	0.316571428571429	0.210285714285714	0.134857142857143	0.235142857142857	0.315714285714286	0.284	0.188	0.401428571428571	0.215714285714286	0.262	0.410571428571429	0.285428571428571	0.342285714285714	0.326285714285714	0.0511428571428571	0.0374285714285714	0.133714285714286	0.333714285714286	0.200571428571429	0.263142857142857	0.384285714285714	0.0685714285714286	0.318285714285714	0.161428571428571	0.244285714285714	0.109142857142857	0.322857142857143	0.298	0.0825714285714286	0.170857142857143	0.385142857142857	0.110857142857143	0.267428571428571	0.403142857142857	0.309428571428571	0.337714285714286	0.400571428571429	0.185142857142857	0.184	0.185142857142857	0.378857142857143	0.354285714285714	0.000857142857142857	0.293428571428571	0.240857142857143	0.314285714285714	0.164571428571429	0.490285714285714	0.112285714285714	0.229285714285714	0.215428571428571	0.446857142857143	0.24	0.327428571428571	0.0277142857142857	0.294	0.223142857142857	0.294571428571429	0.246571428571429	0.286714285714286	0.375142857142857	0.305142857142857	0.312285714285714	0.483428571428571	0.205142857142857	0.425142857142857	0.449142857142857	0.202	0.325714285714286	0.336285714285714	0.499714285714286	0.098	0.350571428571429	0.321428571428571	0.400571428571429	0.0465714285714286	0.399714285714286	0.0654285714285714	0.298857142857143	0.102857142857143	0.207428571428571	0.287428571428571	0.357142857142857	0.545428571428571	0.341142857142857	0.287428571428571	0.356857142857143	0.232857142857143	0.368	0.211142857142857	0.289142857142857	0.133428571428571	0.0634285714285714	0.172857142857143	0.496285714285714	0.206285714285714	0.168857142857143	0.468571428571429	0.0437142857142857	0.454	0.302285714285714	0.334285714285714	0.190285714285714	0.435428571428571	0.318571428571429	0.445714285714286	0.185428571428571	0.407714285714286	0.33	0.257428571428571	0.336571428571429	0.211142857142857	0.268	0.367142857142857	0.0357142857142857	0.302285714285714	0.158285714285714	0.337428571428571	0.0311428571428571	0.359714285714286	0.294285714285714	0.145714285714286	0.250857142857143	0.122571428571429	0.419428571428571	0.341428571428571	0.304857142857143	0.419714285714286	0.293428571428571	0.233142857142857	0.661142857142857	0.201428571428571	0.500857142857143	0.558857142857143	0.553714285714286	0.170857142857143	0.371428571428571	0.403428571428571	0.270857142857143	0.471428571428571	0.285142857142857	0.330571428571429	0.220571428571429	0.012	0.325714285714286	0.414	0.0671428571428571	0.361428571428571	0.0262857142857143	0.367714285714286	0.441142857142857	0.470857142857143	0.512	0.491428571428571	0.738857142857143	0.405142857142857	0.544857142857143	0.379142857142857	0.384571428571429	0.407142857142857	0.224857142857143	0.609142857142857	0.459142857142857	0.434571428571429	0.392857142857143	0.458285714285714	0.476	0.543714285714286	0.685142857142857	0.449714285714286	0.516285714285714	0.521714285714286	0.419	0.447714285714286	0.370857142857143	0.647714285714286	0.309428571428571	0.412285714285714	0.493428571428571	0.0771428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.253428571428571	0.186571428571429	0.182571428571429	0.257142857142857	0.22	0.178285714285714	0.225142857142857	0.277142857142857	0.156571428571429	0.086	0.241714285714286	0.176285714285714	0.226142857142857	0.195714285714286	0.353428571428571	0.225142857142857	0.290571428571429	0.315428571428571	0.133142857142857	0.171142857142857	0.223142857142857	0.231142857142857	0.247142857142857	0.268857142857143	0.152857142857143	0.294857142857143	0.196	0.368	0.317714285714286	0.258285714285714	0.325142857142857	0.252	0.2	0.231714285714286	0.124	0.150571428571429	0.157714285714286	0.180571428571429	0.223714285714286	0.296571428571429	0.230285714285714	0.431142857142857	0.320857142857143	0.368857142857143	0.141428571428571	0.165428571428571	0.154285714285714	0.300857142857143	0.302285714285714	0.384	0.197714285714286	0.254857142857143	0.206571428571429	0.385714285714286	0.252571428571429	0.196571428571429	0.202857142857143	0.244	0.135714285714286	0.294	0.125428571428571	0.354	0.230285714285714	0.204857142857143	0.064	0.264857142857143	0.136	0.175142857142857	0.284	0.123428571428571	0.281714285714286	0.180857142857143	0.301142857142857	0.212	0.207428571428571	0.220285714285714	0.245714285714286	0.183714285714286	0.382571428571429	0.227428571428571	0.272285714285714	0.283714285714286	0.254857142857143	0.320571428571429	0.226571428571429	0.22	0.241142857142857	0.311714285714286	0.296857142857143	0.148	0.192	0.424	0.274	0.399714285714286	0.292	0.383714285714286	0.170285714285714	0.288285714285714	0.262285714285714	0.292285714285714	0.305428571428571	0.258571428571429	0.388285714285714	0.266	0.334857142857143	0.246285714285714	0.262857142857143	0.137714285714286	0.103714285714286	0.262	0.266	0.203714285714286	0.268285714285714	0.224285714285714	0.276571428571429	0.194	0.244857142857143	0.101142857142857	0.262285714285714	0.323714285714286	0.36	0.292285714285714	0.236	0.178285714285714	0.304	0.219428571428571	0.310285714285714	0.265714285714286	0.227142857142857	0.255428571428571	0.274285714285714	0.263428571428571	0.26	0.242571428571429	0.334571428571429	0.248571428571429	0.261428571428571	0.278571428571429	0.23	0.262571428571429	0.194857142857143	0.331428571428571	0.193142857142857	0.281142857142857	0.226285714285714	0.207428571428571	0.271428571428571	0.364	0.189428571428571	0.360857142857143	0.218285714285714	0.178	0.353714285714286	0.236571428571429	0.246857142857143	0.153714285714286	0.319714285714286	0.0731428571428571	0.225428571428571	0.224857142857143	0.00142857142857143	0.144285714285714	0.306571428571429	0.123428571428571	0.316857142857143	0.139142857142857	0.174571428571429	0.290428571428571	0.164	0.123714285714286	0.136571428571429	0.237	0.190571428571429	0.214	0.251428571428571	0.318	0.135428571428571	0.277	0.225142857142857	0.306571428571429	0.263142857142857	0.193714285714286	0.228857142857143	0.181142857142857	0.0394285714285714	0.191142857142857	0.374857142857143	0.0914285714285714	0.170571428571429	0.222285714285714	0.272285714285714	0.286857142857143	0.155714285714286	0.235714285714286	0.164	0.175142857142857	0.169428571428571	0.197142857142857	0.212857142857143	0.172285714285714	0.278857142857143	0.0902857142857143	0.360571428571429	0.347142857142857	0.297714285714286	0.347714285714286	0.248285714285714	0.368285714285714	0.240285714285714	0.419714285714286	0.226	0.238571428571429	0.223142857142857	0.310285714285714	0.396857142857143	0.181428571428571	0.392571428571429	0.0545714285714286	0.231714285714286	0.254	0.344857142857143	0.173142857142857	0.218	0.196285714285714	0.121142857142857	0.136857142857143	0.190571428571429	0.246571428571429	0.344571428571429	0.364857142857143	0.0911428571428571	0.215428571428571	0.00228571428571429	0.231714285714286	0.285428571428571	0.152857142857143	0.00114285714285714	0.134857142857143	0.142	0.0122857142857143	0.396285714285714	0.356571428571429	0.159142857142857	0.0797142857142857	0.168	0.267142857142857	0.176857142857143	0.429142857142857	0.0631428571428571	0.374285714285714	0.158285714285714	0.137714285714286	0.167714285714286	0.0757142857142857	0.284571428571429	0.217714285714286	0.346571428571429	0.236285714285714	0.426285714285714	0.226857142857143	0.272857142857143	0.00285714285714286	0.210285714285714	0.130571428571429	0.0314285714285714	0.215714285714286	0.00942857142857143	0.108285714285714	0.210571428571429	0.150285714285714	0.152571428571429	0.109428571428571	0.0717142857142857	0.204	0.144	0.28	0.237428571428571	0.318571428571429	0.370857142857143	0.0702857142857143	0.180857142857143	0.214571428571429	0.358571428571429	0.0651428571428571	0.176	0.156428571428571	0.0731428571428571	0.0854285714285714	0.221428571428571	0.112	0.251857142857143	0.235714285714286	0.232571428571429	0.110571428571429	0.190285714285714	0.121714285714286	0.117142857142857	0.208
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.0745714285714286	0.159142857142857	0.131714285714286	0.126	0.111142857142857	0.0857142857142857	0.144571428571429	0.216	0.239714285714286	0.364857142857143	0.174571428571429	0.138	0.116714285714286	0.139428571428571	0.106571428571429	0.0771428571428571	0.0797142857142857	0.0768571428571429	0.0662857142857143	0.0888571428571429	0.306285714285714	0.249142857142857	0.128571428571429	0.198285714285714	0.0934285714285714	0.177142857142857	0.082	0.196857142857143	0.0785714285714286	0.233142857142857	0.208285714285714	0.117428571428571	0.236	0.153142857142857	0.319428571428571	0.306857142857143	0.179714285714286	0.289714285714286	0.141428571428571	0.196	0.192	0.109142857142857	0.142857142857143	0.124285714285714	0.170571428571429	0.0537142857142857	0.0868571428571429	0.214571428571429	0.228857142857143	0.127428571428571	0.0917142857142857	0.187142857142857	0.168	0.162857142857143	0.195714285714286	0.240285714285714	0.184857142857143	0.203714285714286	0.235142857142857	0.190571428571429	0.232571428571429	0.198285714285714	0.0982857142857143	0.151142857142857	0.0265714285714286	0.0837142857142857	0.283714285714286	0.0845714285714286	0.195714285714286	0.158	0.231428571428571	0.117142857142857	0.195142857142857	0.255428571428571	0.214571428571429	0.123428571428571	0.153714285714286	0.222285714285714	0.113714285714286	0.364	0.0797142857142857	0.298857142857143	0.127142857142857	0.277142857142857	0.156285714285714	0.207428571428571	0.262	0.172571428571429	0.139142857142857	0.253714285714286	0.198571428571429	0.155142857142857	0.319142857142857	0.124571428571429	0.214285714285714	0.279285714285714	0.284	0.268857142857143	0.199714285714286	0.298285714285714	0.294857142857143	0.300857142857143	0.195428571428571	0.221714285714286	0.0725714285714286	0.333714285714286	0.195142857142857	0.494285714285714	0.228571428571429	0.193142857142857	0.200571428571429	0.148571428571429	0.159714285714286	0.218285714285714	0.237714285714286	0.224285714285714	0.214857142857143	0.292857142857143	0.122	0.290857142857143	0.0654285714285714	0.293428571428571	0.147714285714286	0.289714285714286	0.151714285714286	0.264285714285714	0.124571428571429	0.245714285714286	0.238571428571429	0.213428571428571	0.133714285714286	0.197714285714286	0.114285714285714	0.0625714285714286	0.154857142857143	0.184857142857143	0.176857142857143	0.0971428571428571	0.214571428571429	0.112285714285714	0.294	0.138285714285714	0.171428571428571	0.174571428571429	0.304	0.224571428571429	0.0877142857142857	0.136571428571429	0.261142857142857	0.106571428571429	0.193714285714286	0.275142857142857	0.0757142857142857	0.182	0.0905714285714286	0.131142857142857	0.11	0.148571428571429	0.137714285714286	0.109428571428571	0.00142857142857143	0.241428571428571	0.140285714285714	0.018	0.126	0.178428571428571	0.00314285714285714	0.200714285714286	0.0194285714285714	0.276285714285714	0.00314285714285714	0.178571428571429	0.219142857142857	0.262571428571429	0.164571428571429	0.125428571428571	0.240571428571429	0.0758571428571429	0.0402857142857143	0.0342857142857143	0.138857142857143	0.0645714285714286	0.216571428571429	0.0557142857142857	0.0885714285714286	0.424857142857143	0.0148571428571429	0.303714285714286	0.134	0.0708571428571429	0.0991428571428571	0.160857142857143	0.136571428571429	0.207428571428571	0.1	0.108285714285714	0.0522857142857143	0.243714285714286	0.0342857142857143	0.265142857142857	0.178571428571429	0.251428571428571	0.156571428571429	0.0971428571428571	0.152857142857143	0.174857142857143	0.242857142857143	0.167714285714286	0.296285714285714	0.118857142857143	0.293142857142857	0.150285714285714	0.0791428571428571	0.241714285714286	0.119428571428571	0.243428571428571	0.00285714285714286	0.214857142857143	0.0937142857142857	0.233142857142857	0.0771428571428571	0.226571428571429	0.287428571428571	0.0925714285714286	0.0251428571428571	0.129142857142857	0.149428571428571	0.253714285714286	0.132857142857143	0.179428571428571	0.0517142857142857	0.0465714285714286	0.000571428571428571	0.161142857142857	0.166571428571429	0.300571428571429	0.002	0.0242857142857143	0.0468571428571429	0.0568571428571429	0.155142857142857	0.186857142857143	0.129428571428571	0.0788571428571429	0.0362857142857143	0.166	0.139714285714286	0.1	0.0191428571428571	0.177428571428571	0.156	0.0365714285714286	0.123142857142857	0.0445714285714286	0.179428571428571	0.12	0.094	0.0251428571428571	0.0654285714285714	0.178285714285714	0.24	0.00171428571428571	0.0931428571428571	0.0265714285714286	0.0291428571428571	0.113142857142857	0.0117142857142857	0.0368571428571429	0.190285714285714	0.0951428571428571	0.125714285714286	0.0551428571428571	0.0248571428571429	0.119142857142857	0.156285714285714	0.117714285714286	0.0731428571428571	0.0408571428571429	0.144	0.002	0.189714285714286	0.233142857142857	0.0802857142857143	0.369142857142857	0.120285714285714	0.125142857142857	0.0565714285714286	0.167142857142857	0.110571428571429	0.088	0.134571428571429	0.147142857142857	0.205428571428571	0.0822857142857143	0.373428571428571	0.226857142857143	0.173142857142857	0.108571428571429
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.136285714285714	0.134	0.116571428571429	0.0942857142857143	0.0945714285714286	0.176571428571429	0.0537142857142857	0.105142857142857	0.112	0.0457142857142857	0.116	0.239428571428571	0.149	0.183142857142857	0.0877142857142857	0.210571428571429	0.134571428571429	0.0791428571428571	0.206857142857143	0.148857142857143	0.07	0.142	0.0514285714285714	0.0908571428571429	0.186	0.13	0.133142857142857	0.088	0.143428571428571	0.138285714285714	0.103428571428571	0.171142857142857	0.132	0.084	0.130857142857143	0.105714285714286	0.0785714285714286	0.101428571428571	0.078	0.0722857142857143	0.14	0.123714285714286	0.112857142857143	0.129142857142857	0.104	0.199142857142857	0.17	0.128	0.117142857142857	0.119142857142857	0.142285714285714	0.0974285714285714	0.130714285714286	0.0902857142857143	0.149428571428571	0.0825714285714286	0.104285714285714	0.112571428571429	0.102	0.114	0.052	0.0885714285714286	0.147714285714286	0.0728571428571429	0.0454285714285714	0.128571428571429	0.170857142857143	0.128857142857143	0.145142857142857	0.0742857142857143	0.131714285714286	0.0942857142857143	0.106571428571429	0.0622857142857143	0.143142857142857	0.154571428571429	0.0845714285714286	0.0648571428571429	0.0774285714285714	0.0442857142857143	0.213714285714286	0.0737142857142857	0.0974285714285714	0.118285714285714	0.146857142857143	0.127714285714286	0.0848571428571429	0.128	0.0891428571428571	0.0762857142857143	0.0902857142857143	0.126	0.0442857142857143	0.0737142857142857	0.0582857142857143	0.0757142857142857	0.0851428571428571	0.125428571428571	0.116571428571429	0.109714285714286	0.105142857142857	0.0914285714285714	0.108285714285714	0.137428571428571	0.181714285714286	0.0517142857142857	0.155142857142857	0.0371428571428571	0.161428571428571	0.072	0.0548571428571429	0.0962857142857143	0.0902857142857143	0.0602857142857143	0.0682857142857143	0.22	0.066	0.118857142857143	0.120857142857143	0.0877142857142857	0.158	0.0897142857142857	0.151714285714286	0.0745714285714286	0.170285714285714	0.0494285714285714	0.128857142857143	0.126571428571429	0.064	0.120571428571429	0.0851428571428571	0.0894285714285714	0.267142857142857	0.228285714285714	0.142285714285714	0.118571428571429	0.168	0.0862857142857143	0.0705714285714286	0.197714285714286	0.0708571428571429	0.126571428571429	0.11	0.127428571428571	0.04	0.106285714285714	0.195714285714286	0.147714285714286	0.0905714285714286	0.0774285714285714	0.109714285714286	0.0511428571428571	0.0751428571428571	0.0831428571428571	0.109714285714286	0.158571428571429	0.121428571428571	0.058	0.105428571428571	0.15	0.000571428571428571	0.0785714285714286	0.132	0.382285714285714	0.102857142857143	0.0847142857142857	0.467428571428571	0.063	0.541142857142857	0.0414285714285714	0.451714285714286	0.087	0.101428571428571	0.109142857142857	0.092	0.163142857142857	0.127714285714286	0.260142857142857	0.284571428571429	0.189428571428571	0.174571428571429	0.193142857142857	0.113142857142857	0.205142857142857	0.0745714285714286	0.0562857142857143	0.210571428571429	0.118857142857143	0.042	0.254857142857143	0.220285714285714	0.101714285714286	0.185142857142857	0.176571428571429	0.182857142857143	0.142	0.360571428571429	0.107142857142857	0.474	0.0742857142857143	0.0388571428571429	0.0434285714285714	0.0488571428571429	0.165714285714286	0.128	0.0922857142857143	0.0845714285714286	0.107714285714286	0.0988571428571429	0.0651428571428571	0.0631428571428571	0.0931428571428571	0.134571428571429	0.0822857142857143	0.0348571428571429	0.0351428571428571	0.444285714285714	0.0348571428571429	0.175714285714286	0.0305714285714286	0.251714285714286	0.0151428571428571	0.0797142857142857	0.016	0.588	0.252857142857143	0.231142857142857	0.0791428571428571	0.0965714285714286	0.0657142857142857	0.0125714285714286	0.246571428571429	0.000857142857142857	0.196	0.0957142857142857	0.116285714285714	0.000285714285714286	0.342	0.376571428571429	0.00314285714285714	0.120857142857143	0.175142857142857	0.161428571428571	0.000571428571428571	0.0154285714285714	0.00371428571428571	0.273428571428571	0.0371428571428571	0.0108571428571429	0.145428571428571	0.115428571428571	0.168857142857143	0.0948571428571429	0.111142857142857	0.0982857142857143	0.166857142857143	0.184285714285714	0.176	0.15	0.141142857142857	0.134	0.0177142857142857	0.147142857142857	0.326857142857143	0.0168571428571429	0.171714285714286	0.0242857142857143	0.130571428571429	0.0654285714285714	0.194857142857143	0.148571428571429	0.158285714285714	0.0934285714285714	0.132	0.0977142857142857	0.149714285714286	0.189428571428571	0.144	0.136857142857143	0.153714285714286	0.123428571428571	0.0562857142857143	0.114285714285714	0.0537142857142857	0.166857142857143	0.102	0.129714285714286	0.104857142857143	0.0917142857142857	0.130571428571429	0.1	0.076	0.0634285714285714	0.062	0.048	0.0814285714285714	0.114857142857143	0.182
"k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales"	0.202285714285714	0.0788571428571429	0.175428571428571	0.0408571428571429	0.318571428571429	0.094	0.143714285714286	0.0665714285714286	0.130857142857143	0.0385714285714286	0.0874285714285714	0.0417142857142857	0.181428571428571	0.0497142857142857	0.0582857142857143	0.0662857142857143	0.114571428571429	0.226571428571429	0.0445714285714286	0.276571428571429	0.0402857142857143	0.105142857142857	0.082	0.0842857142857143	0.0442857142857143	0.113714285714286	0.245428571428571	0.0451428571428571	0.108571428571429	0.0322857142857143	0.193142857142857	0.0925714285714286	0.0737142857142857	0.0474285714285714	0.0494285714285714	0.0691428571428571	0.0342857142857143	0.0962857142857143	0.0877142857142857	0.0997142857142857	0.0954285714285714	0.0822857142857143	0.130857142857143	0.112	0.0714285714285714	0.190857142857143	0.0537142857142857	0.076	0.0665714285714286	0.0831428571428571	0.181142857142857	0.0857142857142857	0.0388571428571429	0.028	0.0585714285714286	0.0825714285714286	0.0348571428571429	0.0468571428571429	0.0631428571428571	0.0582857142857143	0.0562857142857143	0.0854285714285714	0.0365714285714286	0.108285714285714	0.0288571428571429	0.119142857142857	0.0442857142857143	0.0491428571428571	0.058	0.0745714285714286	0.0577142857142857	0.0737142857142857	0.0565714285714286	0.0702857142857143	0.068	0.185142857142857	0.128857142857143	0.072	0.104285714285714	0.0385714285714286	0.0631428571428571	0.0911428571428571	0.0574285714285714	0.05	0.107142857142857	0.0934285714285714	0.0888571428571429	0.109142857142857	0.154	0.086	0.04	0.0457142857142857	0.0191428571428571	0.0791428571428571	0.0374285714285714	0.0558571428571429	0.0285714285714286	0.0417142857142857	0.0605714285714286	0.0357142857142857	0.052	0.0697142857142857	0.0494285714285714	0.0682857142857143	0.048	0.0397142857142857	0.0814285714285714	0.0205714285714286	0.0277142857142857	0.0425714285714286	0.0474285714285714	0.112	0.0614285714285714	0.0417142857142857	0.0662857142857143	0.0757142857142857	0.034	0.0665714285714286	0.133428571428571	0.0514285714285714	0.190857142857143	0.044	0.0851428571428571	0.162	0.0791428571428571	0.0522857142857143	0.0982857142857143	0.0885714285714286	0.0437142857142857	0.044	0.0942857142857143	0.108571428571429	0.0531428571428571	0.0771428571428571	0.141142857142857	0.0568571428571429	0.0782857142857143	0.206	0.0914285714285714	0.100571428571429	0.109142857142857	0.124571428571429	0.268857142857143	0.110857142857143	0.0951428571428571	0.0728571428571429	0.0894285714285714	0.0951428571428571	0.0597142857142857	0.294	0.195714285714286	0.0817142857142857	0.132	0.0685714285714286	0.11	0.0734285714285714	0.208	0.0714285714285714	0.074	0.0857142857142857	0.000285714285714286	0.0285714285714286	0.0737142857142857	0.102	0.180285714285714	0.0814285714285714	0.169142857142857	0.163571428571429	0.0271428571428571	0.0991428571428571	0.117714285714286	0.108714285714286	0.0948571428571429	0.0317142857142857	0.209714285714286	0.0397142857142857	0.136857142857143	0.057	0.0271428571428571	0.0491428571428571	0.0562857142857143	0.0465714285714286	0.124	0.0705714285714286	0.218285714285714	0.0491428571428571	0.0265714285714286	0.0848571428571429	0.125142857142857	0.0448571428571429	0.0217142857142857	0.0708571428571429	0.084	0.0834285714285714	0.121142857142857	0.088	0.0931428571428571	0.0457142857142857	0.0322857142857143	0.136857142857143	0.0694285714285714	0.034	0.0437142857142857	0.0168571428571429	0.0248571428571429	0.0605714285714286	0.0202857142857143	0.0265714285714286	0.0634285714285714	0.0785714285714286	0.0285714285714286	0.143142857142857	0.0494285714285714	0.0754285714285714	0.251714285714286	0.0451428571428571	0.048	0.221714285714286	0.131428571428571	0.136857142857143	0.0631428571428571	0.137142857142857	0.0802857142857143	0.239142857142857	0.0297142857142857	0.0377142857142857	0.0528571428571429	0.0805714285714286	0.0651428571428571	0.0722857142857143	0.0931428571428571	0.0648571428571429	0.231428571428571	0.0202857142857143	0.0402857142857143	0.0271428571428571	0.521142857142857	0.0702857142857143	0.0162857142857143	0.0517142857142857	0.0251428571428571	0.0151428571428571	0.0668571428571429	0.100571428571429	0.144	0.122	0.0642857142857143	0.0782857142857143	0.0442857142857143	0.0185714285714286	0.0522857142857143	0.0351428571428571	0.0465714285714286	0.0262857142857143	0.0354285714285714	0.0571428571428571	0.0445714285714286	0.0482857142857143	0.0331428571428571	0.0511428571428571	0.0648571428571429	0.00171428571428571	0.0374285714285714	0.0402857142857143	0.0102857142857143	0.105428571428571	0.0108571428571429	0.0571428571428571	0.0462857142857143	0.0671428571428571	0.0334285714285714	0.0277142857142857	0.052	0.111142857142857	0.0345714285714286	0.0325714285714286	0.0594285714285714	0.0311428571428571	0.0365714285714286	0.0288571428571429	0.0225714285714286	0.0254285714285714	0.0165714285714286	0.0271428571428571	0.0354285714285714	0.048	0.0314285714285714	0.014	0.0374285714285714	0.0557142857142857	0.052	0.0574285714285714	0.0397142857142857	0.0725714285714286	0.0562857142857143	0.0248571428571429	0.0745714285714286	0.114
