"ID"	"lambchop17"	"lambchop18"	"lambchop25"	"lambchop37"	"lambchop44"	"lambchop46"	"lambchop48"	"lambchop50"	"lambchop55"	"lambchop70"
"ko00010"	0.0125786540907327	0.0120160115930958	0.010930695798016	0.012009216575864	0.0112782689077103	0.0109380987650805	0.0115608944122984	0.0110414225545263	0.0109984057999276	0.0106768424134232
"ko00020"	0.00577764674564988	0.00600067520484721	0.00669443549400503	0.00564283267497468	0.00651220363762787	0.00689495734619076	0.00611247297525127	0.00668670296091664	0.00692810669684723	0.00684472383070588
"ko00030"	0.00667631834642024	0.00602935965376026	0.00567080003508147	0.00635015069829136	0.00574170642148816	0.00560130310870296	0.00578801815832139	0.00567474683532158	0.00560439337808405	0.00559250693111796
"ko00040"	0.00547405701715232	0.00409696301799783	0.00257473859918995	0.00407095710398176	0.0027884873433562	0.00213303622001502	0.00330321238154495	0.00247395339635463	0.00203597801756144	0.00181291432229016
"ko00051"	0.0143749948578788	0.0111126357415174	0.00952029191655876	0.00957744756527526	0.00888435105002869	0.00851840977104901	0.00885905062839864	0.00891024021769648	0.00838415079409127	0.00730423490511029
"ko00052"	0.00757986166811865	0.00603913658359243	0.00647416216794424	0.00628594034655748	0.006486287464765	0.00625080454622328	0.0056544283257812	0.0063287127974591	0.00674008102198879	0.00653683820992911
"ko00053"	0.00324889841626601	0.00201890572606397	0.00112895254116595	0.00170604954139513	0.00113507398403613	0.000944902272200683	0.0011674770699689	0.00100065970927866	0.000881293080159894	0.000920324035316316
"ko00061"	0.00393613516990259	0.0040921751689107	0.0050785042559949	0.00464595613743906	0.00515528324199878	0.00571810470677185	0.00444937760050536	0.00525247960227924	0.00626466167926212	0.00664805739891321
"ko00071"	0.00411230460546358	0.00459174740975648	0.00337388540305776	0.00411460282072565	0.00344921569513163	0.00299034030622479	0.00445082023400994	0.00329705126359495	0.00279604299292839	0.00263401850648532
"ko00072"	0.000806066309315204	0.000804532106448889	0.0005466668353439	0.000643787275551207	0.000548830259377085	0.000554620202130861	0.000682340681220633	0.000555406404336957	0.000527254307236246	0.000521869120076511
"ko00100"	3.15862405096032e-06	2.74524419587158e-05	1.76296905633848e-05	3.58418137902606e-05	1.60497345894636e-05	5.39924942901652e-05	2.59323586686034e-05	3.12573775004593e-05	3.43201672244015e-05	6.70220617606409e-05
"ko00120"	3.70343578742778e-06	2.1554880857318e-05	2.30816826919444e-05	0.000126595479083735	7.52587608909458e-05	4.40355820778263e-05	7.34521271879871e-05	4.28365610155695e-05	4.37794233066514e-05	4.66362645725905e-05
"ko00121"	0.000110327036463477	5.82654586314254e-05	2.6205170063254e-05	0.000127195131283627	7.08745381504983e-05	4.84717047969506e-05	5.52910054487476e-05	3.81327140351359e-05	4.91447972490438e-05	5.2025863513092e-05
"ko00130"	0.00328032534900357	0.00247251744141569	0.00187576455946246	0.00160863895345565	0.00153534934828566	0.00218397331827432	0.00148196366089976	0.00186420121983642	0.00216909158052319	0.002515038244441
"ko00140"	0.000460801689046571	0.000336360139869123	0.000331673870221992	0.000344010463211039	0.000390974724699544	0.000434856042434429	0.000281040871578973	0.000332141143880742	0.000658489038945458	0.000720599562316876
"ko00190"	0.00626507143049887	0.00612694835408194	0.00686159435608593	0.00721016357593077	0.00739576922302891	0.00842532149130394	0.00624891147479122	0.00740720946488014	0.00894987853697432	0.0104507000672801
"ko00195"	0.00127605088366761	0.00159749233438614	0.00213570543770196	0.00184980898110363	0.00219193218889371	0.00221606739961191	0.00194902007459726	0.00215818931330059	0.00244924350464367	0.0025265039853019
