"","grogu22","grogu36","grogu37","grogu41","grogu45","grogu50","grogu56","grogu70"
"grogu22",0,0.246340273734026,0.15315744894647,0.246124418013571,0.211311660052482,0.154195958461508,0.115193976047013,0.229787430554223
"grogu36",0.246340273734026,0,0.194217758064272,0.104476923664168,0.290800442728528,0.281456349381056,0.210648346131996,0.160266117226623
"grogu37",0.15315744894647,0.194217758064272,0,0.214710916128128,0.245715509248981,0.202134054730051,0.130777430078569,0.209216843069005
"grogu41",0.246124418013571,0.104476923664168,0.214710916128128,0,0.291937638162684,0.284679290375479,0.220679186529135,0.118084758462835
"grogu45",0.211311660052482,0.290800442728528,0.245715509248981,0.291937638162684,0,0.161597346539888,0.211087000261676,0.274836624348086
"grogu50",0.154195958461508,0.281456349381056,0.202134054730051,0.284679290375479,0.161597346539888,0,0.132351525081298,0.256253688998465
"grogu56",0.115193976047013,0.210648346131996,0.130777430078569,0.220679186529135,0.211087000261676,0.132351525081298,0,0.207780769727194
"grogu70",0.229787430554223,0.160266117226623,0.209216843069005,0.118084758462835,0.274836624348086,0.256253688998465,0.207780769727194,0
