plate,genus,receptor,treat_type,treat_subtype,treat,treat_name,dose_type,dose_rank,log10_dose,dose,replicate,fold_act,max_e2,adj_max_e2
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.8636689655314979,96.61770152341433,-15.251203554072433
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,2,-0.3010299956639812,0.5,1,0.8428965518233735,94.29391434606987,-17.57499073141689
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,2,-0.3010299956639812,0.5,2,0.8478620687886936,94.84940129212393,-17.01950378536283
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,2,-0.3010299956639812,0.5,3,0.8736827585194652,97.73793358065083,-14.130971496835926
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,3,0,1,1,0.8201379308185528,91.7479323331871,-20.120972744299664
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,3,0,1,2,0.9393931034233578,105.08887791731331,-6.7800271601734465
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,3,0,1,3,0.8507586204707408,95.17343535729489,-16.695469720191866
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,4,0.3010299956639812,2,1,0.8515862069182205,95.26601654703141,-16.602888530455346
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,4,0.3010299956639812,2,2,0.9171310344209955,102.5984446332596,-9.270460444227155
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,extract_mg_ml,4,0.3010299956639812,2,3,0.9368275862814682,104.8018763236926,-7.067028753794162
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,1,-0.6989700043360187,0.2,1,0.7576551721967689,84.75805453994722,-27.110850537539534
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,1,-0.6989700043360187,0.2,2,0.9115034481030251,101.9688927136392,-9.900012363847551
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.8376000002143723,93.70139491688451,-18.167510160602248
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,extract_mg_ml,2,-0.3010299956639812,0.5,1,0.8458758622045062,94.62720653629317,-17.241698541193585
