date,receptor,genus,treat_type,treat_subtype,treat,treat_name,dose_type,dose,replicate,fold_act,n_doses
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.5,1,0.9044757564558905,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.5,2,0.9098040374930914,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.5,3,0.9375111005080391,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,1,1,0.8800544666728215,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,1,2,1.0080220235689508,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,1,3,0.9129122015590918,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,2,1,0.9138002487061558,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,2,2,0.9841335622178785,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,2,3,1.0052690783201046,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.2,1,0.8130069265593449,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.2,2,0.9780948432541382,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.2,3,0.8987922564904488,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.5,1,0.9076727252949046,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.5,2,0.9845775856380601,8
2022-08-04,beta,Gorilla,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.5,3,1.0072227813874424,8
