plate,genus,receptor,treat_type,treat_subtype,treat,treat_name,log10_dose,dose,fold_act,perc_e2,adj_perc_e2
1,Gorilla,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),-11,1e-11,0.9505103448112536,106.33255153885935,-5.536353538627414
1,Gorilla,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),-10,1e-10,0.9359724137464278,104.70620910854531,-7.1626959689414536
1,Gorilla,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),-9,1e-9,0.8939034482435876,100,-11.868905077486763
1,Gorilla,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),-8,1e-8,0.9243586206834861,103.40698679479749,-8.461918282689263
1,Gorilla,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),-7,1e-7,0.9548689655247862,106.82014566573028,-5.048759411756478
1,Gorilla,beta,standard,estrogen,e2,Estradiol (Endogenous estrogen),-6,1e-6,0.9370758619724912,104.8296506534047,-7.039254424082064
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,-0.6989700043360187,0.2,0.8737103448171755,97.74101962957083,-14.127885447915924
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,-0.3010299956639812,0.5,0.8548137930438441,95.62708307294821,-16.241822004538548
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,0,1,0.8700965515708838,97.33674853593176,-14.532156541554992
1,Gorilla,beta,diet,biscuit,5m1s,Primate LS Biscuit Large,0.3010299956639812,2,0.9018482758735614,100.88877916799454,-10.980125909492221
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,-0.6989700043360187,0.2,0.8355862068380554,93.47611405682365,-18.39279102066311
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,-0.3010299956639812,0.5,0.9006896551869094,100.75916554037866,-11.109739537108103
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,0,1,0.9382068965671136,104.95617825510988,-6.912726822376882
1,Gorilla,beta,diet,biscuit,5ma4,Primate Browse Biscuit,0.3010299956639812,2,0.9164689655427563,102.52437971276508,-9.344525364721676
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,-0.6989700043360187,0.2,0.8801931033978296,98.46623873387028,-13.402666343616469
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,-0.3010299956639812,0.5,0.8505103447337348,95.14566102243872,-16.723244055048042
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,0,1,0.8743448275152915,97.81199851429967,-14.056906563187079
1,Gorilla,beta,diet,biscuit,5m1g,Primate LS Biscuit - Small,0.3010299956639812,2,0.9040551723674344,101.13566226238345,-10.733242815103315
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,-0.6989700043360187,0.2,0.8851862069596014,99.02481176226419,-12.84409331522256
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,-0.3010299956639812,0.5,0.8974344827476273,100.39501296375775,-11.473892113729008
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,0,1,0.893268965482457,99.92902110822179,-11.939883969264974
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,0.3010299956639812,2,0.879944827645513,98.43846439730135,-13.430440680185418
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,-0.6989700043360187,0.2,0.8891034482079294,99.46302925163901,-12.405875825847739
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,-0.3010299956639812,0.5,0.9145655171820255,102.3114430287786,-9.55746204870816
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,0,1,0.8930206894551511,99.90124674089009,-11.96765833659667
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,0.3010299956639812,2,0.938648275792311,105.00555486575665,-6.863350211730103
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,-0.6989700043360187,0.2,0.9294068966430392,103.9717318989217,-7.89717317856505
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,-0.3010299956639812,0.5,0.895531034439482,100.18207628565395,-11.686828791832815
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,0,1,0.894786206800057,100.09875323316002,-11.770151844326739
1,Gorilla,beta,diet,biscuit,5m02,Leaf-Eater Primate Diet,0.3010299956639812,2,0.9050206896097887,101.24367361911906,-10.625231458367699
