plate,subj,genus,receptor,model,treat_type,treat_subtype,treat,treat_name,treat_desc,log10_dose,dose,replicate,fold_act,perc_e2,perc_e2_Dmax
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0.3010299956639812,2,2,48.49633459856031,86.74199301714694,61.73104239260675
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1s,Mazuri<sup>®</sup> Primate LS Biscuit Large,Commercial Diet (Biscuit),0.3010299956639812,2,3,46.95073997021623,83.97749628623025,59.763653139091375
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,19.242868184367335,34.418368965307785,24.494269958286452
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,19.69955460124192,35.23521193522447,25.07558664528097
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,19.60363725877041,35.063651310699775,24.95349334517266
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,33.769405012752685,60.40096675463714,42.98511608498404
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,36.02810423629424,64.44094367037899,45.86021703178284
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,33.952031037467194,60.72761711886911,43.21758097056695
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),0,1,1,51.49246134353921,92.10095483029728,65.54481571463026
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),0,1,2,51.16751219121621,91.51974106775107,65.13118754945985
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),0,1,3,50.276702096229435,89.92641151658864,63.997274312663954
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),0.3010299956639812,2,1,67.19724512117439,120.19100031624777,85.5354537941667
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),0.3010299956639812,2,2,56.555600691628406,101.15703714274969,71.98969185473031
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5ma4,Mazuri<sup>®</sup> Primate Browse Biscuit,Commercial Diet (Biscuit),0.3010299956639812,2,3,63.939757005146944,114.3645597459891,81.38899326991354
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,11.003780709815125,19.68169094415097,14.006725644306966
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,13.04622757793343,23.33487243588109,16.606558708890798
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,11.721943495082973,20.96621835886259,14.920875913788944
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,23.646518239552496,42.294869024513694,30.09968138760528
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,25.377567414993585,45.391075299305164,32.30313595623186
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,30.93194026729966,55.325792534278776,39.373303812180076
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),0,1,1,36.52504166363731,65.32978080022328,46.49276927820969
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m1g,Mazuri<sup>®</sup> Primate LS Biscuit - Small,Commercial Diet (Biscuit),0,1,2,39.71690306093413,71.03883946059139,50.555693473592164
