plate_id,row_id,date,subject,receptor,dose_type,treatment_class,model_group,treatment,curve_id,dose,replicate,luciferase,bgal,ratio,mean_vehicle,fold_act,e2_max,response
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA4,alpha_loris_biscuit_5MA4_36,0.2,3,6389,1.4423,4429.730291894891,2402.9899289720065,1.8434244099349677,8.781427178568476,0.2099230993378775
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,2,1,11805,0.8839,13355.583210770448,5117.848487121765,2.609608948834184,3.7491608792775066,0.6960514720128725
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,2,2,11557,0.8911,12969.363707776905,5117.848487121765,2.534143740365156,3.7491608792775066,0.6759229123433897
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,2,3,15260,1.0696,14267.015706806282,5117.848487121765,2.787697944303531,3.7491608792775066,0.7435524998971884
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,1,1,9950,0.8819,11282.458328608685,5117.848487121765,2.204531524721601,3.7491608792775066,0.5880066488761698
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,1,2,10035,0.9336,10748.714652956298,5117.848487121765,2.1002408883349504,3.7491608792775066,0.5601895880071392
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,1,3,11089,1.0146,10929.43031736645,5117.848487121765,2.1355517547791005,3.7491608792775066,0.5696079265583925
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,0.5,1,8473,0.9528,8892.737195633921,5117.848487121765,1.737592900221851,3.7491608792775066,0.4634618135023054
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,0.5,2,8112,0.9908,8187.323375050464,5117.848487121765,1.5997588431256873,3.7491608792775066,0.4266978384331092
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,0.5,3,8488,1.0568,8031.794095382286,5117.848487121765,1.5693692604603267,3.7491608792775066,0.4185921359455657
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,0.2,1,6555,0.9819,6675.832569508097,5117.848487121765,1.3044216893694187,3.7491608792775066,0.3479236371475185
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,0.2,2,6553,0.9331,7022.827135355267,5117.848487121765,1.3722225566128172,3.7491608792775066,0.36600791505038205
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_31,0.2,3,7620,1.0751,7087.712770905033,5117.848487121765,1.3849008599492758,3.7491608792775066,0.36938955263401696
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,2,1,20242,1.2656,15993.994943109987,2402.9899289720065,6.655872648601645,8.781427178568476,0.7579488519640228
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,2,2,19456,1.2121,16051.480900915767,2402.9899289720065,6.679795328057223,8.781427178568476,0.7606730878961914
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,2,3,20294,1.2314,16480.42878025012,2402.9899289720065,6.858301227795994,8.781427178568476,0.78100075173817185
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,1,1,15280,1.3566,11263.45274952086,2402.9899289720065,4.6872658989209075,8.781427178568476,0.5337704001418381
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,1,2,14457,1.3253,10908.473553157777,2402.9899289720065,4.539541935502158,8.781427178568476,0.5169480818085178
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,1,3,15536,1.4153,10977.177983466403,2402.9899289720065,4.568133162406725,8.781427178568476,0.5202039565454107
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,0.5,1,11368,1.474,7712.347354138399,2402.9899289720065,3.209479682437838,8.781427178568476,0.36548497381732414
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,0.5,2,10813,1.3044,8289.635081263415,2402.9899289720065,3.44971694692441,8.781427178568476,0.39284240212611693
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,0.5,3,11503,1.3743,8370.079313104852,2402.9899289720065,3.483193671429806,8.781427178568476,0.39665462123636563
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,0.2,1,6558,1.478,4437.0771312584575,2402.9899289720065,1.8464817841149375,8.781427178568476,0.2102712630381279
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,0.2,2,7343,1.4211,5167.124058827669,2402.9899289720065,2.150289519123433,8.781427178568476,0.24486788712105076
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5MA3,alpha_loris_biscuit_5MA3_36,0.2,3,7341,1.311,5599.54233409611,2402.9899289720065,2.330239617979415,8.781427178568476,0.26536001160113065
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,2,1,10840,0.9189,11796.71346174774,5117.848487121765,2.305014204979349,3.7491608792775066,0.6148080275028218
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,2,2,10478,0.9356,11199.230440359128,5117.848487121765,2.188269244105247,3.7491608792775066,0.5836690701112149
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,2,3,12404,1.0918,11361.055138303718,5117.848487121765,2.219888917558222,3.7491608792775066,0.5921028702257269
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,1,1,9024,0.9406,9593.876249202636,5117.848487121765,1.8745916908919966,3.7491608792775066,0.5000030010057198
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,1,2,8614,0.9426,9138.552938680246,5117.848487121765,1.785623971025311,3.7491608792775066,0.47627296574411476
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,1,3,11223,1.124,9984.875444839856,5117.848487121765,1.950990825532482,3.7491608792775066,0.520380663394859
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,0.5,1,7751,0.9985,7762.643965948923,5117.848487121765,1.5167787763710388,3.7491608792775066,0.40456486803610686
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,0.5,2,7342,1.0286,7137.857281742175,5117.848487121765,1.394698826997992,3.7491608792775066,0.3720029286304624
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,0.5,3,8390,1.0414,8056.462454388323,5117.848487121765,1.5741893248034018,3.7491608792775066,0.4198777741185544
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,0.2,1,6340,1.0059,6302.813400934487,5117.848487121765,1.2315357550725647,3.7491608792775066,0.32848303786576677
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,0.2,2,5241,0.947,5534.318901795143,5117.848487121765,1.0813760735045903,3.7491608792775066,0.2884314939595177
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_31,0.2,3,6676,1.1534,5788.104733830414,5117.848487121765,1.130964456723414,3.7491608792775066,0.30165802245897755
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,2,1,19935,1.579,12625.079164027866,2402.9899289720065,5.253904318038006,8.781427178568476,0.5982973167346225
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,2,2,18987,1.4837,12797.061400552671,2402.9899289720065,5.325474420954908,8.781427178568476,0.606447484294125
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,2,3,20023,1.6486,12145.45675118282,2402.9899289720065,5.054310300991823,8.781427178568476,0.5755682075605121
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,1,1,14257,1.5844,8998.359000252462,2402.9899289720065,3.7446511497041266,8.781427178568476,0.42642853758932714
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,1,2,12337,1.4678,8405.096062133805,2402.9899289720065,3.4977658294762333,8.781427178568476,0.3983140505922215
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,1,3,12597,1.5628,8060.532377783466,2402.9899289720065,3.354376262921644,8.781427178568476,0.3819853190957583
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,0.5,1,9623,1.5056,6391.471838469713,2402.9899289720065,2.659799677647409,8.781427178568476,0.30288922558496945
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,0.5,2,9219,1.4543,6339.132228563571,2402.9899289720065,2.63801864174913,8.781427178568476,0.3004088729662702
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,0.5,3,8640,1.5468,5585.725368502715,2402.9899289720065,2.3244897122362373,8.781427178568476,0.2647052312759905
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,0.2,1,6485,1.4874,4359.95697189727,2402.9899289720065,1.8143883664807738,8.781427178568476,0.2066165703575931
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,0.2,2,6328,1.4554,4347.945581970592,2402.9899289720065,1.8093898478511863,8.781427178568476,0.20604735552178752
36,4,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M6C,alpha_loris_biscuit_5M6C_36,0.2,3,6200,1.5156,4090.78912641858,2402.9899289720065,1.702374644644728,8.781427178568476,0.19386081670180683
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,2,1,16920,1.01,16752.47524752475,5117.848487121765,3.273343337474651,3.7491608792775066,0.873086923414567
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,2,2,18437,1.0305,17891.31489568171,5117.848487121765,3.4958664643359993,3.7491608792775066,0.9324397050173213
31,1,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,2,3,18731,0.98740000000000006,18970.02228073729,5117.848487121765,3.7066400712081005,3.7491608792775066,0.988658580029353
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,1,1,12928,0.9935,13012.581781580271,5117.848487121765,2.5425883189633924,3.7491608792775066,0.6781753039771847
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,1,2,12697,0.9658,13146.614205839718,5117.848487121765,2.5687775319884985,3.7491608792775066,0.6851606571984509
31,2,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,1,3,12426,0.913,13610.076670317634,5117.848487121765,2.6593355986534544,3.7491608792775066,0.709314879858111
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,0.5,1,9504,0.9361,10152.761457109284,5117.848487121765,1.9837948471231728,3.7491608792775066,0.529130360366255
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,0.5,2,9099,0.9188,9903.13452329125,5117.848487121765,1.9350190901920759,3.7491608792775066,0.5161205807111082
31,3,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,0.5,3,9452,0.8998,10504.55656812625,5117.848487121765,2.0525337150092,3.7491608792775066,0.547464827757602
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,0.2,1,6307,0.9562,6595.900439238652,5117.848487121765,1.2888033820923315,3.7491608792775066,0.34375782304137725
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,0.2,2,6327,0.8869,7133.836960198444,5117.848487121765,1.3939132778450918,3.7491608792775066,0.3717934019715126
31,4,2022-07-22,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_31,0.2,3,6575,0.858,7663.1701631701635,5117.848487121765,1.4973421316502993,3.7491608792775066,0.399380602717387
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,2,1,20130,1.3622,14777.565702540009,2402.9899289720065,6.149657776078079,8.781427178568476,0.7003027698147556
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,2,2,18242,1.1794,15467.18670510429,2402.9899289720065,6.436642334044703,8.781427178568476,0.7329836259137534
36,1,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,2,3,18589,1.3682,13586.463967256248,2402.9899289720065,5.653982899990141,8.781427178568476,0.6438569477395402
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,1,1,15758,1.4481,10881.845176438092,2402.9899289720065,4.528460583725093,8.781427178568476,0.515686173971474
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,1,2,14179,1.2946,10952.417735207786,2402.9899289720065,4.557829228977753,8.781427178568476,0.5190305785489367
36,2,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,1,3,15380,1.3723,11207.461925235006,2402.9899289720065,4.663965416629745,8.781427178568476,0.5311170179731596
36,3,2022-07-29,loris,alpha,mg/ml,biscuit,alpha_biscuit,5M02,alpha_loris_biscuit_5M02_36,0.5,1,10304,1.3964,7378.974505872243,2402.9899289720065,3.070747162485592,8.781427178568476,0.3496865714470545
