date,receptor,species,dose_type,dose,treatment,assay,value_1,value_2,value_3
8/4/22,esr2,loris,vehicle,,Veh MeOH,luciferase,99,99,104
8/4/22,esr2,loris,molar_M,1.00E-10,E2,luciferase,135,141,102
8/4/22,esr2,loris,molar_M,1.00E-09,E2,luciferase,243,197,231
8/4/22,esr2,loris,molar_M,1.00E-08,E2,luciferase,4585,5311,4269
8/4/22,esr2,loris,molar_M,1.00E-07,E2,luciferase,17058,17636,16816
8/4/22,esr2,loris,molar_M,1.00E-06,E2,luciferase,20583,19581,20770
8/4/22,esr2,loris,molar_M,1.00E-05,E2,luciferase,18123,20438,19730
8/4/22,esr2,loris,control,,Control,b_gal,1.2876,1.1487,0.9347
8/4/22,esr2,loris,vehicle,,Veh MeOH,b_gal,1.3355,1.2799,1.143
8/4/22,esr2,loris,molar_M,1.00E-10,E2,b_gal,1.2926,1.215,1.0605
8/4/22,esr2,loris,molar_M,1.00E-09,E2,b_gal,1.2516,1.0643,1.1191
8/4/22,esr2,loris,molar_M,1.00E-08,E2,b_gal,1.1264,1.2308,1.0009
8/4/22,esr2,loris,molar_M,1.00E-07,E2,b_gal,1.1515,1.1157,1.0639
8/4/22,esr2,loris,molar_M,1.00E-06,E2,b_gal,1.2828,1.1932,1.2216
8/4/22,esr2,loris,molar_M,1.00E-05,E2,b_gal,1.4101,1.3124,1.3989
8/4/22,esr2,loris,extract_mg_ml,0.2,LS Cin,luciferase,98,92,87
8/4/22,esr2,loris,extract_mg_ml,0.5,LS Cin,luciferase,126,118,106
8/4/22,esr2,loris,extract_mg_ml,1,LS Cin,luciferase,131,105,145
8/4/22,esr2,loris,extract_mg_ml,2,LS Cin,luciferase,196,179,156
8/4/22,esr2,loris,extract_mg_ml,0.2,Browse Biscuit,luciferase,103,95,116
8/4/22,esr2,loris,extract_mg_ml,0.5,Browse Biscuit,luciferase,206,137,111
8/4/22,esr2,loris,extract_mg_ml,1,Browse Biscuit,luciferase,252,193,184
8/4/22,esr2,loris,extract_mg_ml,2,Browse Biscuit,luciferase,494,415,412
8/4/22,esr2,loris,extract_mg_ml,0.2,LS Cin,b_gal,1.1339,1.1526,1.1237
8/4/22,esr2,loris,extract_mg_ml,0.5,LS Cin,b_gal,1.1524,1.0484,1.1767
8/4/22,esr2,loris,extract_mg_ml,1,LS Cin,b_gal,1.1211,1.1135,1.0833
8/4/22,esr2,loris,extract_mg_ml,2,LS Cin,b_gal,1.2128,1.1886,1.1358
8/4/22,esr2,loris,extract_mg_ml,0.2,Browse Biscuit,b_gal,1.0796,1.0779,1.1205
8/4/22,esr2,loris,extract_mg_ml,0.5,Browse Biscuit,b_gal,1.2609,1.24,1.1284
8/4/22,esr2,loris,extract_mg_ml,1,Browse Biscuit,b_gal,1.2595,1.2405,1.2099
8/4/22,esr2,loris,extract_mg_ml,2,Browse Biscuit,b_gal,1.2931,1.326,1.2519
8/4/22,esr2,loris,extract_mg_ml,0.2,LS Ban,luciferase,110,86,96
8/4/22,esr2,loris,extract_mg_ml,0.5,LS Ban,luciferase,112,92,109
8/4/22,esr2,loris,extract_mg_ml,1,LS Ban,luciferase,148,105,105
8/4/22,esr2,loris,extract_mg_ml,2,LS Ban,luciferase,192,203,183
8/4/22,esr2,loris,extract_mg_ml,0.2,High Fiber,luciferase,108,112,95
8/4/22,esr2,loris,extract_mg_ml,0.5,High Fiber,luciferase,119,119,113
