"ID"	"hdz.095"	"hdz.005"	"hdz.004"	"hdz.019"	"hdz.025"	"hdz.002"	"hdz.023"	"hdz.001"	"hdz.030"	"hdz.050"	"hdz.036"	"hdz.067"	"hdz.186"	"hdz.183"	"hdz.195"	"hdz.157"	"hdz.173"	"hdz.161"	"hdz.162"	"hdz.170"	"hdz.099"	"hdz.103"	"hdz.101"	"hdz.096"	"hdz.106"	"hdz.107"	"hdz.193"	"hdz.259"	"hdz.251"	"hdz.323"	"hdz.246"	"hdz.247"	"hdz.248"	"hdz.267"	"hdz.265"	"hdz.209"	"hdz.207"	"hdz.260"	"hdz.205"	"hdz.208"	"hdz.194"	"hdz.200"	"hdz.239"	"hdz.199"	"hdz.237"	"hdz.307"	"hdz.315"	"hdz.306"	"hdz.331"	"hdz.303"	"hdz.312"	"hdz.313"	"hdz.333"	"hdz.335"	"hdz.332"	"hdz.325"	"hdz.242"	"hdz.334"	"hdz.302"	"hdz.232"	"hdz.309"	"hdz.337"	"hdz.344"	"hdz.338"	"hdz.409"	"hdz.346"	"hdz.210"	"hdz.393"	"hdz.340"	"hdz.349"	"hdz.218"	"hdz.406"	"hdz.391"	"hdz.316"	"hdz.223"	"hdz.217"	"hdz.228"	"hdz.403"	"hdz.402"	"hdz.387"	"hdz.376"	"hdz.378"	"hdz.379"	"hdz.359"	"hdz.355"	"hdz.360"	"hdz.380"	"hdz.451"	"hdz.453"	"hdz.449"	"hdz.448"	"hdz.439"	"hdz.432"	"hdz.440"	"hdz.443"	"hdz.165"	"hdz.214"	"hdz.446"	"hdz.447"	"hdz.189"	"hdz.475"	"hdz.441"	"hdz.160"	"hdz.464"	"hdz.164"	"hdz.474"	"hdz.423"	"hdz.416"	"hdz.415"	"hdz.414"	"hdz.171"	"hdz.412"	"hdz.159"	"hdz.473"	"hdz.463"	"hdz.158"	"hdz.461"	"hdz.466"	"hdz.488"	"hdz.483"	"hdz.489"	"hdz.477"	"hdz.484"	"hdz.509"	"hdz.479"	"hdz.480"	"hdz.517"	"hdz.487"	"hdz.481"	"hdz.525"	"hdz.522"
"fpt1"	0.02	0.02	0.02	0	0	0.16	3.95	0.16	2.07	0.02	0	0	0.14	0.28	0.63	0.06	1.57	0	0.1	0.02	0	0.08	0.18	0.08	0.06	0.1	0	0.3	0.28	0.02	0	0.02	0	0.16	0.04	1.87	0.02	0.02	0.08	0.12	0	0.16	0	0.04	0.06	0.08	0.02	0.08	0.08	0.02	0.14	0.16	0.1	0.18	0.12	0.04	1.71	0.36	0.12	0.15	0.19	0.46	0.67	0.53	0	0	0.02	0.02	0.02	0	0	0.41	0.02	0.22	3.45	0.83	0	0.04	0.02	0	0	0	0	0	0.02	0.02	0.04	0.04	0	0	0.04	0	0.31	0.63	0	0	0	0.08	0.04	0.08	0.02	0.18	0.79	0.71	0.1	0.04	0.02	0.04	0.56	9.65	0	0	0.37	0.02	0.02	0	0	0	0	0	0.22	0.02	0	0.02	0.06	0.02	0.04	0	0	0	0.08
"fpt2"	0.02	0.3	0	0	0	0	0	0	0	0	0	0	0.26	0.16	0.06	0	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0.02	0.08	0	0.93	0.34	0	0.02	0	0.18	0.04	0.02	0.04	0.18	0.12	0.04	0.06	0.02	0	0	0.04	0.08	0.02	0.06	0.02	0.12	0.02	0	0	0.06	1.35	0.04	0	0.04	6.48	0.02	0	0	0.04	0	0.02	0	0	0	0.02	0.08	0.1	0	0.06	0.04	0.76	0	0.02	0	0	0.02	0	0	0.02	0.37	0.02	0.04	0.04	0.04	0	0.02	4.14	0.89	0.95	0.39	0.02	0.02	0.08	0.06	0.04	0.79	0.06	0.06	0.02	0	0.1	0.56	0.63	0.02	1.86	0.02	40.73	0.1	0.02	2.88	0.02	0	0.14	0.02	0	0	0	1.3	0	0	0	0.04	0.02	0.04	0
"fpt3"	0.02	0.3	0	0	0	0	0	0	0	0	0	0	0.26	0.16	0.06	0	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0.02	0.08	0	0.93	0.34	0	0.02	0	0.18	0.04	0.02	0.04	0.18	0.12	0.04	0.06	0.02	0	0	0.04	0.08	0.02	0.06	0.02	0.12	0.02	0	0	0.06	1.35	0.04	0	0.04	6.48	0.02	0	0	0.04	0	0.02	0	0	0	0.02	0.08	0.1	0	0.06	0.04	0.76	0	0.02	0	0	0.02	0	0	0.02	0.37	0.02	0.04	0.04	0.04	0	0.02	4.14	0.89	0.95	0.39	0.02	0.02	0.08	0.06	0.04	0.79	0.06	0.06	0.02	0	0.1	0.56	0.63	0.02	1.86	0.02	40.73	0.1	0.02	2.88	0.02	0	0.14	0.02	0	0	0	1.3	0	0	0	0.04	0.02	0.04	0
"fpt4"	0.02	0.3	0	0	0	0	0	0	0	0	0	0	0.26	0.16	0.06	0	0.02	0.02	0.02	0.02	0.02	0	0	0.06	0	0	0	0.02	0.08	0	0.93	0.34	0	0.02	0	0.18	0.04	0.02	0.04	0.18	0.12	0.04	0.06	0.02	0	0	0.04	0.08	0.02	0.06	0.02	0.12	0.02	0	0	0.06	1.35	0.04	0	0.04	6.48	0.02	0	0	0.04	0	0.02	0	0	0	0.02	0.08	0.1	0	0.06	0.04	0.76	0	0.02	0	0	0.02	0	0	0.02	0.37	0.02	0.04	0.04	0.04	0	0.02	4.14	0.89	0.95	0.39	0.02	0.02	0.08	0.06	0.04	0.79	0.06	0.06	0.02	0	0.1	0.56	0.63	0.02	1.86	0.02	40.73	0.1	0.02	2.88	0.02	0	0.14	0.02	0	0	0	1.3	0	0	0	0.04	0.02	0.04	0
"fpt5"	0.02	0	0.02	0	0	0	0.02	0.02	0.04	0	0.02	0	0	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.02	0	0.02	0	0.02	0.02	0	0.02	0	0.02	0.02	0.02	0	0.02	0.02	0.02	0	0	0.02	0	0	0	0	0.02	0.04	0.02	0.02	0.02	0	0.14	0.08	0.02	0.02	0	0	0	0.04	0	0.04	0.06	0.06	0.02	0.1	0	0	0.02	0.04	0.02	0.02	0.02	0	0.14	0.02	0.06	0.04	0.02	0	0	0.02	0	0	0	0.02	0	0.02	0	0	0	0.06	0	0.02	0.04	0	0.02	0	0.02	0.04	0	0.02	0.02	0	0.08	0	0	0.02	0.02	0.02	0	0.04	0	0.02	0.02	0	0	0	0.02	0.04	0.02
"fpt6"	0.46	0.95	1.15	1.02	0	0.75	0.52	0.97	0.34	0.02	0.02	0.02	0.02	0.14	0.14	0.2	0.54	0.06	0.06	0.06	0	0.24	0.66	0.14	0.3	0.24	0.04	0.32	0.02	0.02	0.06	0	0.02	0.2	0	2.56	0.08	0.04	0.1	0.1	0.18	0.12	0.02	0.22	0.08	0.02	0.06	0.02	0.14	0.02	0.36	0.12	0.12	0.14	0.12	0	0.39	0.14	0.08	0.06	0.19	6.64	5.04	3.63	0.02	0.4	0.61	0.1	0.43	5.53	0	1.79	0.24	0.71	1.08	5.35	0	1.64	0.44	0.34	0.1	0.04	27.23	3.91	2.71	0.26	2.41	1.28	1.38	2.7	0.12	0.59	0.02	0.24	0.56	0.61	0.02	0.2	0.08	0.1	0.08	0.1	1.52	0.93	2.14	0.08	0.48	0.02	0.46	1.37	0	0.12	0.04	0.08	0.28	0.06	0	0.1	0.06	0.3	0.24	0.76	0.72	0.29	0.56	0.06	0.7	0.14	0.02	0.1	0.54
"fpt7"	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	1.16	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.04	0	0	1.29	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.02	0	0	0	0	0	0.02	10.58	0.32	0.06	0.04	0	0	0.04	0	4.99	0	0	3.75	0	0.11	0	0	0.04	0	0.02	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"fpt8"	15.07	18.78	17	16.77	5.86	23.86	17.69	19.73	21.07	9.22	7.33	14.59	17	12.39	18.33	11.51	20.43	10.96	14.73	11.37	7.89	16.74	18.68	9.53	18.62	10.04	9.06	13.62	18.34	6.66	22.79	10.52	9.66	12.49	14.99	36.39	10.45	5.07	11.04	10.77	10.61	10.49	10.04	11.15	12.51	9.46	10.33	13.56	8.57	12.58	9.9	20.04	10.27	8.99	10.47	6.5	41.62	9.24	11.6	15.27	39.1	35.62	38.63	30.66	17.68	16.67	21.1	18.34	21.91	35.01	6.05	21.65	15.96	17.59	20.46	37.21	11.46	25.76	19.52	14.47	10.7	15.56	51.98	21.44	35.98	20.89	22.06	26.94	23.27	17.75	14.43	26.41	71.42	17.39	19.69	27.68	14.95	20.05	11.45	22.31	14.43	17.76	31.39	21.08	26.5	17.57	18.71	33.87	29.8	35.96	65.65	16.54	88.42	37.13	18.68	22.9	10.46	12.44	10.96	16.71	18.07	20.78	11.13	23.95	14.73	9.46	26.09	15.94	6.51	20.53	13.54
"fpt9"	0.63	1.47	0.14	0.34	0.12	0.3	0.3	0.83	0.3	0.36	0.4	1.18	0.64	1.18	0.14	0.26	0.32	0.22	0.36	0.14	0.24	0.2	1.03	0.12	0.54	0.66	1.51	0.56	0.5	0.16	1.25	0.55	0.36	0.48	0.54	7.04	0.66	0.18	0.76	2.51	0.58	0.3	4.9	0.36	0.44	0.52	0.76	0.5	0.44	0.52	0.42	0.6	0.32	0.46	0.5	0.48	1.94	0.3	0.3	20.82	25.47	0.34	0.63	0.55	0.54	0.75	0.91	0.36	1.2	0.57	0.86	0.81	0.45	0.18	0.51	0.77	0.22	2.05	0.67	1.19	0.26	2.04	0.71	1.83	0.62	1.18	0.51	1.18	0.55	14.96	0.99	1.2	5.68	1.28	1.01	1.6	0.44	0.45	0.46	27.15	1.36	0.36	0.69	1.15	0.78	2.84	0.28	30.8	4.11	1.37	75.31	0.26	50.54	1.77	0.34	5.38	0.3	0.57	0.99	1.62	1.07	1.72	0.64	9.87	0.3	0.62	2.84	2.43	0.85	2.82	0.42
"fpt10"	0.14	0.53	0	0	0	0	0	0	0	0	0.02	0	0.02	0.14	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0.04	0.08	0	0.5	0.04	0	0	0	0.24	0.1	0	0	0.04	0.08	0.02	0.06	0.04	0	0	0	0	0.06	0.02	0	0	0.02	0.02	0	0	0.24	0	0	0.06	0.97	0	0	0	0.06	0	0	0	0.06	0	0	0.16	0	0	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.06	0	0	3.52	0.02	0.21	0	0	0.04	0.02	0	0	0.06	0.02	0.02	0.02	0.02	0.04	0	1.83	0.42	0	0	1.53	0.04	0	0.14	0.02	0	0	0.34	0.02	0	0	0.25	0	0.02	0.02	0.02	0	0.1	0
"fpt11"	0.16	0.53	0	0.02	0.02	0.06	0	0	0	0	0.02	0	0.06	0.14	0	0	0	0.04	0.02	0.04	0.02	0	0	0.02	0.16	0	0.58	0.1	0.1	0.02	0.5	0.04	0	0	0.08	0.39	0.18	0	0.2	0.12	0.22	0.04	1.24	0.1	0	0.04	0.04	0.18	0.1	0.06	0	0	0.04	0.06	0.06	0.02	0.29	0.04	0.1	1.4	1.35	0	0	0	0.06	0.06	0.08	0	0.06	0.08	0	0.16	0	0	0.02	0.22	0	0.04	0.04	0.02	0	0	0	0	0.04	0.06	0.02	0.06	0	0.15	0.02	0.08	3.54	0.04	0.27	0.14	0	0.04	0.04	10.58	0.32	0.12	0.06	0.02	0.02	0.06	0.04	4.99	1.83	0.42	3.75	0	1.64	0.04	0	0.18	0.02	0.02	0	0.34	0.02	0.02	0.02	0.35	0	0.02	0.02	0.02	0	0.1	0
"fpt12"	0.02	0.48	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0.14	0	0	0	0.04	0.02	0.04	0	0	0	0	0	0	0	0.04	0.08	0	0.18	0.02	0	0	0.02	0.16	0.1	0	0	0.02	0.08	0.02	1.22	0.04	0	0	0	0	0.06	0.06	0	0	0.02	0.02	0	0	0.29	0	0	1.36	1.28	0	0	0	0.06	0	0	0	0.06	0	0	0.16	0	0	0.02	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	2.28	0	0	2.56	0.02	0.02	0	0	0.04	0.04	15.97	0.42	0.14	0.08	0.04	0.02	0.1	0.04	6.72	0.46	0.02	5.38	0.04	1.71	0.02	0	0.2	0.04	0.02	0	0.36	0.2	0	0	0.6	0	0.02	0.02	0	0	0.3	0
"fpt13"	0.04	0.06	0.02	0.02	0.16	0	0	0	0	0	0.02	0.06	0	0.16	0	0	0.12	0.02	0.02	0.06	0.04	0	0.66	0.26	0	0.34	0	0.1	0.14	0	0.1	0.12	0	0	0	1.12	0.3	0.02	0	0	0.02	0.08	0.02	0.02	0	0	0	0	0	0.68	0	0.12	0	0	0.02	0	7.88	0	0.48	0.02	5.98	0.04	0	0.02	0.04	1.27	0.73	0	0	0	0	0	0.04	0	0.02	0	1.45	0	0.04	0.02	0	0	0	0.02	0.02	0	0	0	0	0.91	0.04	0	27	0.18	0.25	1.1	0	0.28	0.02	1.8	0.02	0.12	0.02	0.65	0.02	0.04	0.48	3.9	0.02	0.04	0.35	0	2.31	12.72	0	2.15	0	0	0	0	0.06	0	0.02	0.45	0.06	0	0	0.04	0.02	5.72	0.32
"fpt14"	0.16	0.75	0.5	0.2	0.02	0.54	0.14	0.36	0.02	0	0	0	0.38	0	0.79	0	0.42	0.14	0.02	0.02	0.04	0	0.12	0.06	0	0	0	0.04	0.04	0.18	0.54	0.24	0	0.16	0	0.14	0.16	0	0.14	0.2	0.12	0.4	0.24	0.04	0	0	0	0	0.1	0.04	0	0	0	0	0	0.02	0.12	0.02	0	0	1.24	0.38	0.02	2.78	0	0.02	0.06	0.1	0.43	0.06	0	0	0	0.1	0.08	0	0	0.14	0.08	0.08	0	0	1.84	1.21	1.48	0	0.16	0.14	0.04	0.17	0	0.14	1.83	0.28	0.31	0.06	0	0.08	0.04	0	0	0.02	0	0.02	0	0	0.02	0.04	1.65	0.46	0.02	0.02	1.3	0.06	0.02	0.16	0.02	0.04	0.02	0.02	0.04	0	0	0.02	0.02	0.04	0	0.06	0	0.12	0
"fpt15"	0.34	2	0.6	0.26	0.38	0.62	0.14	0.51	0.04	0.02	0.1	0.14	0.44	0.44	0.79	0.02	0.62	0.22	0.06	0.34	0.12	0	1.45	0.36	0.16	0.76	0.58	0.24	0.32	0.2	0.85	0.4	0.02	0.16	0.1	1.6	0.78	0.02	0.38	0.32	0.38	0.58	1.53	0.16	0	0.04	0.04	0.18	0.22	1.74	0	0.14	0.04	0.06	0.08	0.04	13.37	0.08	0.58	1.42	11.12	0.44	0.08	2.82	0.18	1.38	0.89	0.12	0.85	0.14	0.04	0.18	0.08	0.1	0.16	0.24	1.47	0.21	0.2	0.12	0	0	1.88	1.23	1.54	0.06	0.18	0.22	0.06	4.25	0.1	0.24	63.47	0.69	0.91	1.32	0	1.24	0.14	19.6	0.48	0.63	0.18	1.13	0.04	0.27	0.55	14.64	2.46	0.63	6.13	0.52	6.46	25.75	0.04	4.1	0.14	0.12	0.04	0.42	0.57	0.02	0.04	1.4	0.18	0.14	0.04	0.38	0.08	7.71	0.78
"fpt16"	6.27	8.83	4.75	7.61	0.58	3.66	8.47	6.57	6.24	1.99	0.54	1.99	2.47	4.18	3.39	5.66	4.95	2.35	3.74	1.49	1.32	3.72	9.63	2.13	7.99	4.24	2.29	3.25	2.6	1.6	2.36	2.81	1.65	2.96	1.31	18.65	3.49	1.16	4.21	4.54	3.34	3.91	3.19	3.34	2.06	3.47	4.85	3.99	2.55	1.6	2.93	1.93	3.98	3.85	3.67	2.35	11.08	2.19	4.29	3.13	20.17	7.46	4.14	9.19	1.29	4.51	5.97	2.77	4.74	14.04	0.26	6.55	2.54	3.97	8.05	4.4	0.66	8.16	7.48	6.31	2.51	3.08	9.44	8.72	6.67	3.52	5.08	6.76	4.01	3.89	2.47	3.39	28.62	3.78	3.68	9.46	3.16	4.46	3.3	11.01	5.76	4.28	10.73	7.37	9.47	4.12	3.82	27.19	7	16.64	61.73	4.66	37.49	16.31	4.63	6.27	1.61	3.19	2.22	4.02	6.5	7.18	1.95	9.66	5.44	3.73	8.98	5.08	1.26	6.27	4.02
