"Taxa"	"buddy11"	"buddy16"	"buddy44"	"buddy46"	"buddy48"	"buddy50"	"buddy56"	"buddy57"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Anaerobiospirillum"	0.0190027146735248	0.000429861011606247	0.331190170024289	0.30275753679097	0.611087298185455	0.194511933685865	0.198513648706589	0.350857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.148735533647664	0.0267946697234561	0.215459351335905	0.1343049007001	0.10130018574082	0.211947977704731	0.0650278690867515	0.208428571428571
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella"	0.123446206600943	0.146009456942255	0	0	0	0.277118765185079	0.357724739173932	0.000142857142857143
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.224317759679954	0.00859722023212495	0.103157593941992	0.0862980425775111	0.09401343049007	0.0724596255538088	0.145205087894812	0.136428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0.137876839548507	0.0679180398337871	0.064580654379197	0.18574082011716	0.0482926132304615	0.035729598399314	0.0202944118908103	0.0614285714285714
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.117731104443492	0.0111763863017624	0.0670095727961137	0.0430061437348193	0.0401485926560937	0.0473059882806917	0.0575961126196942	0.067
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.00771538791255894	0.308783493337154	0.0138591227318188	0.00342906129447064	0.00728675525075011	0.00914677719022438	0.00214377590395884	0.00871428571428571
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0154307758251179	0.0961455795959306	0.0551507358194028	0.0541505929418488	0.00842977568224032	0.0121480634557668	0.0137201657853366	0.0205714285714286
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia"	0.079011287326761	0.0859722023212495	0	0	0	0.0105759611261969	0.0231527797627555	0.000285714285714286
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.00514359194170596	0.137555523713999	0.0127161023003286	0.0148592656093728	0.00142877553936277	0.00371587823352866	0.00385879662712591	0.00328571428571429
