"Taxa"	"kubo14"	"kubo15"	"kubo21"	"kubo30"	"kubo48"	"kubo58"
"D-Glucosamine (Glucosamine) -- Consumption"	0	1.17798117586081e-05	5.06081411629751e-05	3.09052137095528e-05	0.000481896745590645	0.000284328483023917
"Isobutyrate (2-Methylpropanoic acid) -- Production"	2.18890226551384e-05	0	1.68693803876584e-05	9.27156411286584e-05	0.000417643846178559	0.000284328483023917
"Methanol -- Production"	6.56670679654153e-05	0	5.06081411629751e-05	3.09052137095528e-05	0.000417643846178559	0.000234152868372638
"Butylamine -- Production"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"Galactan -- Macromolecule"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"Phenylethylamine -- Production"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"Tyramine -- Production"	0	0	5.06081411629751e-05	0	0.000465833520737623	0.000234152868372638
"Cellulose (Beta-D-glucan) -- Macromolecule"	6.56670679654153e-05	4.71192470344324e-05	6.74775215506335e-05	0.00021633649596687	0.000144569023677193	0.000167252048837598
"Pyruvate -- Production"	0	0	1.68693803876584e-05	3.09052137095528e-05	0.000417643846178559	0.000234152868372638
"1,2-Ethanediol (Ethylene glycol) -- Production"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"Arabinan -- Macromolecule"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"D-Lyxose (L-Lyxose) -- Consumption"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"L-Leucine (Leucine) -- Consumption"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"L-Phenylalanine (Phenylalanine, D-Phenylalanine) -- Consumption"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"L-Tyrosine (Tyrosine) -- Consumption"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"L-Valine (Valine, D-Valine) -- Consumption"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"Phenylacetate -- Production"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"Spermidine -- Production"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"Valerate (Pentanoic acid, Pentanoate) -- Production"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"XOS (Xylooligosaccharide) -- Consumption"	0	0	1.68693803876584e-05	0	0.000417643846178559	0.000234152868372638
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Consumption"	2.18890226551384e-05	3.53394352758243e-05	0.000151824423488925	0.000123620854838211	0.00011244257397115	0.000183977253721358
"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"	8.75560906205538e-05	1.17798117586081e-05	5.06081411629751e-05	0.000185431282257317	9.6379349118129e-05	0.000150526843953838
"Cholic acid (Cholate) -- Production"	8.75560906205538e-05	0.000164917364620513	6.74775215506335e-05	3.09052137095528e-05	0.00011244257397115	1.67252048837598e-05
"Tauro-b-muricholic acid -- Consumption"	8.75560906205538e-05	0.000164917364620513	6.74775215506335e-05	3.09052137095528e-05	0.00011244257397115	1.67252048837598e-05
"Taurocholate -- Consumption"	8.75560906205538e-05	0.000164917364620513	6.74775215506335e-05	3.09052137095528e-05	0.00011244257397115	1.67252048837598e-05
"beta-Muricholic acid -- Production"	8.75560906205538e-05	0.000164917364620513	6.74775215506335e-05	3.09052137095528e-05	0.00011244257397115	1.67252048837598e-05
"Linoleic acid (Omega-6 fatty acid) -- Consumption"	2.18890226551384e-05	1.17798117586081e-05	1.68693803876584e-05	0.000123620854838211	0.000208821923089279	6.69008195350393e-05
"Pyruvate -- Consumption"	0	0	0	9.27156411286584e-05	0.000224885147942301	5.01756146512795e-05
"Formate -- Consumption"	2.18890226551384e-05	3.53394352758243e-05	5.06081411629751e-05	9.27156411286584e-05	4.81896745590645e-05	0.000117076434186319
"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"	2.18890226551384e-05	1.17798117586081e-05	1.68693803876584e-05	0.000123620854838211	9.6379349118129e-05	6.69008195350393e-05
