"ID"	"franc19"	"franc22"	"franc44"	"franc45"	"franc47"	"franc48"	"franc49"	"franc56"	"franc68"
"fpt1"	0	0	0	0	0	0	0.01	0	0
"fpt2"	0.01	0	0	0.01	0	0	0	0	0.01
"fpt3"	0.01	0	0	0.01	0	0	0	0	0.01
"fpt4"	0	0.07	0.1	0.17	0.04	0.13	0.17	0.11	0.13
"fpt5"	0.27	0.11	0.52	0.19	0.19	0.24	0.23	0.29	0.14
"fpt6"	43.54	35	46.39	39.52	38.26	41.88	44.55	39.72	43.21
"fpt7"	1.31	2.77	9.03	4.03	1.84	2.83	3.09	2.95	2.65
"fpt8"	0	0	9.9	0	0	0	0	0	0
"fpt9"	0	0	9.9	0	0	0	0	0	0
"fpt10"	2.87	0.6	0.01	1.23	0.04	0	0	0	3.66
"fpt11"	0.01	0	9.9	0.01	0	0	0	0	0.01
"fpt12"	8.36	1.42	10.99	3.3	0.07	0	0	0.01	6.98
"fpt13"	6.57	1.42	1.64	3	0.87	1.54	1.24	3.09	3.63
"fpt14"	9.46	2.09	11.96	4.32	0.91	1.54	1.24	3.1	8.58
"fpt15"	6.57	1.42	1.64	3	0.87	1.54	1.24	3.09	3.63
"fpt16"	26.13	22.66	12.04	20.88	9.84	17.88	14.5	3.15	17.26
"fpt17"	0	0	0.32	0	0	0	0	0	0
"fpt18"	0.04	0	0	0.04	0	0	0	0	0.01
"fpt19"	2.94	0.71	0.04	1.41	0.07	0.01	0.04	0.01	5.02
"fpt20"	0.04	0	0	0.04	0	0	0	0	0.01
"fpt21"	0.04	0	0	0.04	0	0	0	0	0.01
"fpt22"	0	0	11.96	0	0	0	0	0	0
"fpt23"	0	0.06	0.01	0.07	0.01	0.06	0.11	0.1	0.04
"fpt24"	44.84	37.78	55.42	43.53	40.11	44.72	47.65	42.68	45.86
"fpt25"	43.53	35	46.39	39.5	38.26	41.88	44.56	39.73	43.21
