"","culi:1","culi:2","culi:3","culi:4","culi:6","culi:7","culi:8","culi:10","culi:11","culi:12","culi:15","culi:21","culi:25","culi:27","culi:28","culi:29","culi:30","culi:32","culi:36","culi:38","culi:39","culi:42","culi:43","culi:46","culi:48","culi:50","culi:51","culi:52","culi:54","culi:55","culi:58","culi:59","culi:61","culi:62","culi:64","culi:65","culi:68","culi:74","culi:75","culi:77","culi:81","culi:82","culi:83","culi:84","culi:85","culi:86","culi:87","culi:88","culi:89","culi:90","culi:91","culi:92","culi:93","culi:95","culi:96","culi:99","culi:100","culi:103","culi:105","culi:106","culi:107","culi:108","culi:109","culi:111","culi:113","culi:114","culi:115","culi:116","culi:117","culi:118","culi:119","culi:120","culi:121","culi:122","culi:123","culi:125","culi:126","culi:127","culi:128","culi:129","culi:133","culi:134","culi:135","culi:136","culi:137","culi:138","culi:139","culi:140","culi:141","culi:142","culi:143","culi:144","culi:145","culi:146","culi:147","culi:148","culi:150","culi:151","culi:152","culi:153","culi:154","culi:156","culi:157","culi:159","culi:161","culi:172","culi:174","culi:177","culi:178","culi:183","culi:187","culi:192","culi:196","culi:199","culi:200","culi:201","culi:202","culi:416"
"culi:1",0,0.825035107530959,2.29592736634837,1.49929244062081,1.19070034467804,0.796491185072573,1.0990580746848,1.20180507974862,0.78241050859362,0.865834119169843,1.20151360346896,0.92819710522459,0.728613455886197,1.12109441169758,0.832981195402923,1.1476512369276,1.13335662394042,1.0129544958403,1.10624310010724,0.749433948892914,0.878506128384815,0.67463898507432,0.797534189017951,0.94459796625924,0.826870705166029,0.699568441485814,0.871968149039016,0.885429446973589,0.807612204332176,0.83922238249311,0.824562710743966,1.22761215474937,1.17649478464207,0.76269884248293,0.775955533136724,0.582362433817159,0.824222746045714,1.04969351242876,1.40326685547548,5.34647733248079,1.8252928683099,0.834860489996128,1.34588668481651,0.871681734294384,1.19436516030543,1.71449228172659,1.59144999541298,1.10915582250385,1.26461231938251,1.1298619235935,0.909575343568845,1.26632723977621,0.765026289662553,2.1088315571353,1.36150423252661,0.832848222658867,0.606329682720133,1.5718358141118,0.88052507302255,1.11658159745725,0.800377524703223,1.17255385410329,2.18079804075677,0.719445135735202,2.63740895850432,4.11119290445514,0.812257133364066,1.56110033653073,0.830460703387905,3.83558234791825,2.05251912032464,1.95654264956636,0.626465442587649,0.890578515859429,1.3960202118957,1.09897433649888,0.841848838473521,0.90723794231738,0.687868932241677,0.805938137519087,1.2985560395814,0.814581150826522,1.71024983919926,0.95764654009584,2.19660308929785,1.2258248430926,5.37765195035686,0.800867880452015,1.21849053452075,1.72732092868431,3.05474143774321,0.857643744423056,2.13740775209745,1.4504026726005,1.234679135433,0.891449064857697,0.936081361968586,3.12939907493865,4.73796263582252,4.32785331451288,0.78704266121784,1.76838512781957,1.51450159552121,1.08547147600605,1.19075289769766,2.8884066492713,2.38871375209727,2.60972970148497,2.88662585902869,0.939678102323536,6.67827113349862,2.38919922612076,2.01887526530109,4.08744474471342,2.29457993542549,3.16749098979041,2.68631082806551,3.70297372738013
"culi:2",0.825035107530959,0,2.36494625582115,1.21115062708559,0.77515095900727,1.22216554403778,1.35243226227313,1.42111128997139,0.886203133763,0.905365509344295,1.3166556260699,1.18843752177732,0.781358942174151,1.42814163442297,0.91534020222798,1.01779896267641,1.29784844183094,0.990164775932165,0.747539361442076,0.871879902724808,1.02529045027229,1.00514538399804,1.13922765646044,1.18701835858459,1.16204179719634,0.654683210404082,1.48292818354574,1.00522298094337,0.830973281423027,1.04028557373718,0.657467226742939,1.13452444249344,0.68855484272579,0.944175576267207,0.936958503580464,0.575157743361808,0.649564593377264,0.693490477379127,0.727461157013614,5.63334004626601,2.34149587823686,0.963439455926902,1.01579386555441,0.537165012073228,1.17082104309433,1.84365506592273,1.15777114898987,1.55461551594405,1.39128978489031,1.51032145173951,0.737619848941032,1.70607524186333,0.734700487449003,2.35411666807336,1.31526166734255,0.574930157454037,0.366770952113798,1.78171255334896,0.506737055492334,1.37328265198497,0.811448127779467,1.41030566735557,2.33245919948384,0.788034486004742,2.8850587252314,4.42389789537658,0.513058795062711,1.7981302549955,0.727925859745393,4.07045510015389,2.17628547010095,2.4040410713456,0.707318593965392,1.10504505529669,1.08824017807137,0.691470423734681,0.415574791093966,0.842256024475372,0.694053451410966,1.05438658761888,1.5516899789502,0.981455118226181,1.11398405610705,0.625186210468738,1.57426520338035,0.932434737681091,5.6882100563391,0.550211303391269,1.64375035566284,1.89791645860332,3.33646337692251,0.969184499240731,2.30338593036078,1.30423738845218,0.811871782840417,0.84765689203072,1.04609043541201,3.52267562570302,4.997805052289,4.62403499705937,0.411899862328511,1.19763041296992,1.11257513148054,1.32789811994607,1.46258119465008,2.28294616485217,1.80629296826364,2.03168660826496,2.31996231168893,0.734564039737614,6.99880232379423,2.60695012563436,2.18557137482197,4.36404626892487,1.75530858787581,3.25139790540567,2.71368448005256,4.09155009616878
"culi:3",2.29592736634837,2.36494625582115,0,1.99028849434369,2.93742602070517,2.18146252058733,2.40290204329662,2.2219342064002,2.51858407047504,2.28054780916477,2.13482428575947,2.0941310229737,2.39905248530522,2.24796270676794,2.2295735342947,2.16099098364153,2.2038050945896,2.50052729333193,2.30089638216955,1.99143600082836,2.28678734008438,2.32452731255146,2.42914949604548,2.66794102454917,2.52645401707812,2.27614360374809,2.27876868824396,2.71067576839997,2.33965528783486,2.2305545869482,2.43801934198514,2.03416946621408,2.82214177319841,2.34527742059728,2.47722262994996,2.35373364679543,2.50938758238411,2.65191086255378,2.76272159369742,5.62119985857631,2.96463032564213,2.34404595990641,2.27374512575845,2.53726550149673,2.1587309525495,2.09007433798328,2.97335663353811,1.63370612323981,1.95488972492398,1.38756278969917,1.98927230466904,1.70557165389159,2.19995256858177,1.37268787666896,2.69601003348356,2.56861675652381,2.29780934333451,3.23376076046699,2.5576737938022,1.82732344163735,1.7744726631768,1.98308723215377,0.907896161600339,2.54996135436273,1.53857300720981,2.53876745029586,2.55128657521553,1.6834528451883,2.0142852250588,1.87115362800625,0.815595190568392,2.18018665939414,2.45317561117123,2.0820602426727,2.25397707031359,2.68236582080988,2.54788196352739,2.23577036511487,2.23444646876619,2.26952985583672,2.39882400030824,2.40855454229431,3.15643098301061,2.69095877110688,3.44090077817149,2.84167266999837,4.90450948432177,2.45746247528629,2.06755803648783,2.19318268188479,3.28609470617476,2.41605494146351,1.38531494496511,2.98563582074152,2.91116673585648,2.23900439071954,2.15676522633637,2.25352716092124,3.03388527477781,2.9070666320846,2.50090981070913,2.8350057960222,2.69000548714773,2.3245237155376,2.7529882696389,3.69307381436451,3.48057581573725,3.56731128558287,3.82557275277259,2.24281605635427,5.22998509045073,2.98668115050836,2.66149561542361,2.35630501070439,3.02094810397341,1.35164424600132,2.09917910877442,2.42810168554807
"culi:4",1.49929244062081,1.21115062708559,1.99028849434369,0,1.57402866397645,1.8355571851235,2.22362743396131,2.11534008030392,1.81524925722305,1.66965190128531,2.12058276413087,1.83573488645183,1.72803427093015,2.12639710985403,1.73170947963574,1.6425674886947,1.87734469090843,1.89912356571855,1.3947021853527,1.38410440286058,1.88730323685052,1.73575591235978,1.93464098974609,2.04139412348536,1.98135545923457,1.37386968188567,2.0225927301038,1.96582249083009,1.74000496865796,1.82178265192387,1.51093071031992,1.62255546728804,1.60255477160148,1.84211979860362,1.80147800044172,1.34386511978131,1.71341917990028,1.38370067183187,1.18229694480759,5.16702794539552,2.39905292549498,1.83304988356429,0.667455263144628,1.3648656654302,1.80281734104284,2.11524329963394,1.35367433996436,1.89151494640542,2.11333398627778,1.68175563975456,1.54415486015487,1.99655770277325,1.49716562431532,2.4895915279188,2.12810902285411,1.53243225367447,1.16811958138694,2.4798607639709,1.39030222465114,1.76483385891393,0.900795312695898,1.98077225264422,2.03096649014607,1.61112550288765,2.91070898219427,4.05747710578777,1.4490424381415,1.73577866005693,0.939124842537997,3.67760549699709,1.83856964025835,2.22318271926921,1.58125055857643,1.64447143787415,0.870262912481078,1.37511426027931,1.38287917223908,1.51222654564967,1.53426891692271,1.75959206178699,2.27399963979126,1.69831196509521,1.63251822465374,1.44211399514298,1.64186611398705,1.28266652943658,5.50003651745326,1.39532401297417,1.93743426992462,2.36852448480014,3.84725598726642,1.87848204589587,1.87554182858413,1.94245762520345,1.56338826433068,1.5833265081879,1.78450994767634,2.97222501471515,4.41398233765504,4.02826804726609,1.46478869344823,1.44794521184192,1.17542882022205,2.11300128448735,2.32582365549028,2.06631934448469,1.66892157569935,1.78178910661492,2.07365124778806,1.22319974068576,6.386596733655,3.32935437560831,2.55571002716937,3.73855613771595,1.30667831717584,2.60004699717084,2.18115127026515,3.49783590559408
"culi:6",1.19070034467804,0.77515095900727,2.93742602070517,1.57402866397645,0,1.67581534428231,1.68361453375375,1.97050126985266,1.11632946368954,1.45260935316498,1.75807440404444,1.66473119173361,1.1327562997004,1.78359509646912,1.37865247155929,1.68896016324139,1.62240334726338,1.25653348593858,1.39146952114996,1.36533228086763,1.46802689269768,1.38288975834511,1.37783744237168,1.19635765643056,1.35918727058031,1.01191515574116,1.80957210190448,0.970570999829832,1.29811907094234,1.56636432712151,1.09611473083155,1.84191279461729,0.498799053382147,1.29274328501107,1.11359402335364,0.94827628736641,0.863655896125402,0.935222600650158,0.961187131521622,5.51956343554503,2.43178081297646,1.3010406103498,1.2046931922409,0.861145525359258,1.80337720289428,2.52110891348817,1.03708858055981,2.11274546836375,1.94759003198447,1.99602838482591,1.29193556289048,2.23605500938881,1.10050680754038,2.91429154034926,1.35243135164358,0.680164969553629,0.878507835575173,1.42095867134455,0.727697397782637,1.9272734703426,1.27148860060122,1.85894074160656,2.80234702741759,0.740127133534736,3.36539119214414,4.87659491308369,0.598402244212663,2.15506018251899,1.1839057799912,4.54667099899003,2.71030255190315,2.61792127036803,0.816523407046373,1.48979634336652,1.49834333194472,0.853857140838593,0.72435436318279,1.32998246089306,1.1146081452448,1.38152086586493,1.94045001970429,1.17688232835916,0.827681261312739,0.713172936286259,1.37776875867368,0.725410595649588,6.06975843978682,0.919756528214085,1.97711368356471,2.3558723314248,3.80493839097225,1.29930385996002,2.74980566771844,0.93153887770254,0.43430134798949,1.22073657888008,1.56760000884502,3.90466689432123,5.39834867839425,5.00658036129346,0.735192490406174,1.1671477377354,1.28048826122976,1.79317258396193,1.56207779090081,2.34052014483605,1.74206529982863,2.06051686166307,2.31701699949412,1.33034464138381,7.33548874122046,2.88163787959617,2.58398108402732,4.83030714107648,1.96929763286695,3.81466290099715,3.1048514460883,4.44350397301728
"culi:7",0.796491185072573,1.22216554403778,2.18146252058733,1.8355571851235,1.67581534428231,0,0.905901318503366,0.748279069883896,0.991954638481171,0.819088829782387,0.935284635820738,0.754233605419841,0.860281743434043,0.904023942404956,0.696094501951437,0.897776121578619,1.06470258125673,1.0120479152647,1.13442047766907,0.918970475044271,0.679938342580954,0.774752252363553,0.874420627750223,1.20229513544758,0.946065821923296,0.98388208843011,0.591245652889435,1.16943175326861,0.813984074270655,0.577054902873535,1.13813060144397,1.0047368682455,1.55126346626132,0.772035565513594,1.00668960040205,0.923908121924563,1.05614259020396,1.50588838853194,1.77882270414593,5.48985977147927,1.99381210409003,0.795249678432689,1.84803947376182,1.266345997656,0.793920475446927,1.22840909023414,2.13531823742166,0.806267948847264,0.915669854910316,0.965521657652941,0.940654797573746,0.852250104478704,1.04862944523911,2.00471163151627,1.426754633035,1.30451659163628,1.08110879207692,1.87051559008121,1.32439056547689,0.907733335460106,1.06578663965937,1.00533872789092,2.07121216278949,1.21925392313069,2.36836305022346,3.9181718718839,1.25285006648367,1.70536302890735,1.19500135637171,3.62252979417073,2.03948688721453,1.91705290761575,0.980153434480584,1.06261282732811,1.77595564443224,1.5490837058723,1.23959557079707,1.07016456051893,0.830212785250738,1.07881109379651,1.07778526932984,1.14950460426777,2.12651902054216,1.42226473016456,2.65442571166424,1.72063119552496,5.36665338505772,1.15883364617043,1.09204090162441,1.35550759267023,2.47101660138894,0.889939266058853,2.13838400787189,1.85540347611412,1.69864723735659,0.916240739762448,0.741802997107939,3.04224292851119,4.48670366710598,4.16075536588226,1.11995311569142,2.11522176681989,2.08690657548713,0.743630637474836,1.27416332596738,3.17923104994306,2.86402033931686,3.01105998050146,3.30284380796519,1.18002853825196,6.58989235511909,1.95769452933059,1.66716751072982,3.94984276003096,2.6599254628674,3.14428509530689,2.68227349906114,3.56291327333244
"culi:8",1.0990580746848,1.35243226227313,2.40290204329662,2.22362743396131,1.68361453375375,0.905901318503366,0,0.725912871987969,0.673440312243337,0.847919082124557,0.450484527643957,0.556440337307841,0.708221289667717,0.61945453767744,0.753717634620927,1.18205537846874,1.18125163465354,0.950157505071702,1.35449857958329,0.962450608036999,0.482613757141985,0.771740354482002,0.601931884519278,0.764908710775837,0.631595502965783,1.0267190057622,0.972740538957251,0.835882025073443,0.768055576900247,0.695109296063147,1.05268511498488,1.337232449462,1.57158254973934,0.562092910587561,0.714168243304383,1.10346863698876,0.852355786248669,1.50394637181356,1.98467413650319,5.96673582922777,2.56876637131643,0.763127240727603,2.04227382233858,1.29643271761551,1.17634033540114,1.74785982225732,2.18609886262633,1.11588930713312,0.678004686610746,1.26853198606315,0.874059084430119,1.13116515882241,0.859381594597967,2.05473737542893,1.30697724896982,1.16791543730522,1.3374632153429,1.7170939390426,1.2667012674427,0.909350013477647,1.39822913484411,0.66309941373975,2.13193629479356,1.10753691934846,2.54306949608156,4.17058016364607,1.17914833852908,1.67985674130675,1.36525968283176,3.74140868517391,2.1362144771832,2.24843993377867,1.0066747987329,0.813409595029217,1.94012539112683,1.53748343392071,1.24747805744676,0.979688405461543,0.769125955698661,0.981607557750391,0.826268461663326,0.998345586552145,2.26142618297498,1.40564815871124,2.87117250556155,1.93788503094525,5.57902605250432,1.18237694549089,1.49795957497793,1.29075836059638,2.53247045027785,0.486340993778393,2.29771344156203,1.84439730717127,1.73238673844124,1.11857113180185,0.630503658785105,3.45091039690817,4.74065138417875,4.36110118755047,1.08811912568734,2.25042082426743,2.1436594075306,0.470972432503331,0.796981584635646,3.57626612867892,3.06824524405418,3.33260707629474,3.57916054912621,1.45251676896619,6.66425797741294,1.68682913949682,1.90830112890201,4.20891275161551,2.98439435495807,3.38296110938322,3.00356529236273,3.96050950860442
"culi:10",1.20180507974862,1.42111128997139,2.2219342064002,2.11534008030392,1.97050126985266,0.748279069883896,0.725912871987969,0,1.01404469137819,0.651842177655426,0.753140570647837,0.551010818885356,0.928669248482513,0.818821721238261,0.786790917593035,0.773122864708192,1.31820823924949,1.17014489749683,1.125611994734,0.965736830133203,0.612837117427337,0.854557177395596,0.953908539771823,1.31913145429265,0.994313252137144,1.1795004252594,1.03414992740316,1.34756728356622,0.821004476482407,0.514700938952219,1.10536162160018,0.908492186897596,1.80882484083521,0.842601677558313,1.1307601279952,1.18775453449529,1.18506708286588,1.55498197312475,1.93766620609077,6.07861628848607,2.641685241547,0.929153645499283,2.07818803357976,1.36674617261274,0.770500171214333,1.1367069167664,2.27887005250346,0.896992727619092,0.607351903894172,1.2320066164754,0.961054525935501,0.870890106953881,1.1126953025852,1.98175245733531,1.67427178112774,1.46121133749439,1.37769403356045,2.20304980406837,1.4242649328459,0.650885822755823,1.41030898937285,0.789154329720555,2.07369560833963,1.49158152004342,2.43485483488061,4.0652378015231,1.44242197354369,1.77137675160866,1.36085189276772,3.65490825318425,2.00820991549975,2.33978379156447,1.31779801062577,0.99246283317915,1.81409761329176,1.6199858906096,1.36983575728201,0.956234390925257,0.95822833662233,1.22035073541364,0.876058630622028,1.24014220282483,2.40906944062973,1.55243908087075,2.91178485091015,2.06256520245133,5.3894158373217,1.24261056890757,1.48422902729909,1.19681587417421,2.20472265740184,0.850842405803321,2.18796916138769,2.20692344366981,1.95847338712971,1.25522835733175,0.568237989098663,3.28730323187778,4.60946872652139,4.23040345883518,1.26182016149172,2.38282340681999,2.17796362550244,0.311034476305136,1.24673845833604,3.4329525404117,3.03054282905157,3.21486272062376,3.45862482620825,1.23497410421383,6.59063593784286,1.8673886697735,1.68529388016599,4.03868455940533,2.79838807666698,3.14633332987138,2.88850905428231,3.8730975998596
"culi:11",0.78241050859362,0.886203133763,2.51858407047504,1.81524925722305,1.11632946368954,0.991954638481171,0.673440312243337,1.01404469137819,0,0.637609478671793,0.902985339573972,0.697663009933285,0.399503479106412,0.889942146816888,0.728222615066895,1.14271337177425,1.24971794796159,0.875524526056813,1.09344753458627,0.71758324610538,0.609372097494832,0.485734388448628,0.42594652374492,0.476507870375959,0.360474512302054,0.626499684058679,1.0866954220816,0.452512411335233,0.627760020630546,0.750194436494915,0.541465668399896,1.34269422471557,1.11172544580821,0.439908364715163,0.371793807285832,0.625217464741497,0.430927688229189,0.89049009107515,1.4448936077497,5.79906058903166,2.43244747056846,0.614278202674437,1.55175125306491,0.703834721777127,1.25953503330043,1.91344960266787,1.54254718979957,1.33915885198048,1.0920744757965,1.39877096835155,0.724401003806518,1.40448955902508,0.505768136085052,2.33073032471386,1.27905806712097,0.64509834011371,0.862740220823159,1.44584510432311,0.641996980476373,1.03282267247725,1.10543250082668,0.95504176005564,2.27800972397856,0.614047480022177,2.7997049174352,4.42806793119353,0.594630091232659,1.69548457110658,0.949322714319315,4.0256128346168,2.21983080665448,2.30560433361442,0.594760276624355,0.645527462748612,1.46091355814952,0.911510721179325,0.659763931055122,0.610352204496576,0.491307186791854,0.88222664882906,1.09785220011749,0.578504036260899,1.75673531979808,0.764776358128491,2.29308406237984,1.34218570784493,5.71168096526243,0.605317776132757,1.55674048762009,1.64496972080074,2.97280124300895,0.376402401584614,2.3400508070631,1.4625890786853,1.16019793920032,1.02716893853065,0.724542532176987,3.54456268918405,4.9581013747678,4.54456170795515,0.545842743032758,1.86599620856697,1.59577844609802,0.781202898363144,0.75778744784864,3.09710745602271,2.46484374718419,2.77173961217448,2.99527963110483,1.04304651466515,6.85958944326477,2.20916800303217,2.04976608839192,4.38915323455671,2.45473830471006,3.45363635512374,2.99993665792796,4.10065042629072
"culi:12",0.865834119169843,0.905365509344295,2.28054780916477,1.66965190128531,1.45260935316498,0.819088829782387,0.847919082124557,0.651842177655426,0.637609478671793,0,0.898758433437249,0.568397285283485,0.635225326576399,1.02254791562369,0.703496338736792,0.623453591806185,1.34899539589378,1.06314179129277,0.675422468555626,0.668879178048588,0.598933305958791,0.481774978098495,0.723289587024785,1.0445265282938,0.758751522600858,0.742197965832074,1.06900804671528,1.03835876398914,0.62331059941451,0.508213122167856,0.496200322093208,0.847099669433641,1.38003628948095,0.649132900806289,0.781403138758122,0.673179418655793,0.811916813648536,0.922232210191858,1.36216646920583,5.86700778250225,2.49057384413165,0.801013726426628,1.58917595411115,0.735505113784728,0.849868280525689,1.36793232602018,1.65025754612313,1.11772191205577,0.895280160115266,1.3102607804401,0.657289567533689,1.17742071751667,0.742324930723762,2.17730646990458,1.58781234417389,1.00105228075949,0.860734864239614,1.99500299937164,0.836976752649799,0.738163147883565,1.0567218396802,0.92522006229069,2.14563891378822,1.07531027135797,2.64997273773438,4.27999796028073,0.913689716586496,1.72752380318614,0.897717308396086,3.8682459638553,2.03781040935814,2.32867006917102,0.96627679056821,0.761750598336394,1.26421540745852,0.986448158856727,0.77585959570421,0.408828288386808,0.619597706946605,1.06810957545272,1.09898969491595,0.893399715203491,1.92597110681476,0.939332627933385,2.33547225439414,1.51448154159027,5.5738363339796,0.648793532734973,1.55382042821764,1.5286605180899,2.77387528686707,0.603489122041569,2.20968477012152,1.88640571771388,1.47122619617848,1.08824352970583,0.49651551710955,3.41869350861212,4.80957847435676,4.41532709337635,0.756177394351521,1.96857480308684,1.63322071267981,0.605041796328617,1.20148337870863,2.96692088737201,2.4273085217814,2.64892341404512,2.88274943133514,0.715207469838137,6.77243923260142,2.29126364176308,1.8415276633314,4.20226239936798,2.26230247680445,3.16580381253242,2.83488084213228,3.98602621986659
