"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae"	0.15460667717438	0.402486069438491	0.0583440583440583	0.201888682214909	0.367247785081452	0.305615087869696	0.260757684060043
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae"	0.145866169938387	0.125446492356051	0.029029029029029	0.203033338102733	0.3132323521006	0.113016145163595	0.192280200142959
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae"	0.218512680899842	0.212173167595371	0.036036036036036	0.208041207611962	0.0833095170048585	0.112873267609659	0.15939957112223
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae"	0.134259922625018	0.0771538791255894	0.100958100958101	0.0264701674059236	0.0544441268933981	0.244320617231033	0.0583273766976412
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae"	0.158762000286574	0.0581511644520646	0.0148720148720149	0.168550579482043	0.0931694769934267	0.0411487355336477	0.102930664760543
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae"	0.000143287003868749	0.000142877553936277	0.372086372086372	0.0877092574044928	0.000571591883395256	0.00114302043149021	0.000142959256611866
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae"	0.0160481444332999	0.0274324903557651	0.167596167596168	0.0257547574760338	0.0155758788225207	0.0907272467495357	0.0221586847748392
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae"	0.0726465109614558	0.0411487355336477	0.00328900328900329	0.000143081985977965	0.0051443269505573	0.0425775110730104	0.0194424588992137
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae"	0	0.000142877553936277	0.127556127556128	0	0	0	0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae"	0.000286574007737498	0	0.000143000143000143	0.0153097724996423	0.000428693912546442	0	0.111365260900643
