"Taxa"	"ivy24"	"ivy29"	"ivy36"	"ivy44"	"ivy46"	"ivy47"	"ivy70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas"	0.15460667717438	0.402486069438491	0.0583440583440583	0.201888682214909	0.367247785081452	0.305615087869696	0.260757684060043
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera"	0.144863160911305	0.125160737248178	0.0283140283140283	0.179567892402347	0.301086024578451	0.110158594084869	0.186275911365261
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium"	0.218512680899842	0.212173167595371	0.036036036036036	0.208041207611962	0.0833095170048585	0.112873267609659	0.15939957112223
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola"	0.0939962745378994	0.0627232461780254	0.0643500643500644	0.0208899699527829	0.0457273506716205	0.212744677811116	0.0410293066476054
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella"	0	0	0.371800371800372	0.0877092574044928	0	0	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella"	0.0131824043559249	0.0238605515073582	0.10953810953811	0.0211761339247389	0.0137182052014861	0.0881554507786827	0.0177269478198713
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium"	0.0487175813153747	0.0168595513644806	0.00986700986700987	0.10902847331521	0.0372963703915404	0.0161451635947993	0.0381701215153681
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium"	0.0726465109614558	0.0411487355336477	0.00328900328900329	0.000143081985977965	0.0051443269505573	0.0425775110730104	0.0194424588992137
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides"	0.0401203610832497	0.0144306329475639	0.0361790361790362	0.00543711546716268	0.00871677622177765	0.0315759394199171	0.0172980700500357
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium"	0	0.000142877553936277	0.127556127556128	0	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia"	0.032526149878206	0.0151450207172453	0.00157300157300157	0.0160251824295321	0.00628751071734781	0.00742963280468638	0.0185847033595425
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides"	0.00945694225533744	0.00271467352478926	0.0434720434720435	0.0110173129203033	0.00400114318376679	0.0181454493499071	0.00557541100786276
