"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.27946370229282,0.50627068826364,0.44894268505774,0.539808617434053,0.542597115896002,0.476971049891793,0.519919642624437,0.582161541919437,0.693373991472268
"lambchop18",0.27946370229282,0,0.352669461463499,0.358922089388898,0.438800652680213,0.46017201563782,0.255263250779697,0.373161160125784,0.568592152532109,0.698027028210545
"lambchop25",0.50627068826364,0.352669461463499,0,0.273865467901592,0.136906356834271,0.193558589318027,0.20107245793579,0.0913962198492754,0.317700331385742,0.481642900612864
"lambchop37",0.44894268505774,0.358922089388898,0.273865467901592,0,0.26985512592454,0.319580474218971,0.203456235147002,0.259550640716715,0.406725127381768,0.545428270414223
"lambchop44",0.539808617434053,0.438800652680213,0.136906356834271,0.26985512592454,0,0.118255149897628,0.245401477940862,0.0789407000738024,0.242916977478463,0.413683684090581
"lambchop46",0.542597115896002,0.46017201563782,0.193558589318027,0.319580474218971,0.118255149897628,0,0.317456181530824,0.127904134973687,0.168042004788714,0.326209786609271
"lambchop48",0.476971049891793,0.255263250779697,0.20107245793579,0.203456235147002,0.245401477940862,0.317456181530824,0,0.211599012019458,0.435410034390567,0.593260155271254
"lambchop50",0.519919642624437,0.373161160125784,0.0913962198492754,0.259550640716715,0.0789407000738024,0.127904134973687,0.211599012019458,0,0.2678384913419,0.438454941681969
"lambchop55",0.582161541919437,0.568592152532109,0.317700331385742,0.406725127381768,0.242916977478463,0.168042004788714,0.435410034390567,0.2678384913419,0,0.179574751096475
"lambchop70",0.693373991472268,0.698027028210545,0.481642900612864,0.545428270414223,0.413683684090581,0.326209786609271,0.593260155271254,0.438454941681969,0.179574751096475,0
