task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
17	64/96bd25	206165	fastcat (13)	COMPLETED	0	2025-01-12 18:57:45.820	877ms	402ms	192.7%	89.8 MB	511.4 MB	44.1 MB	31.1 MB
15	45/7699de	206201	fastcat (11)	COMPLETED	0	2025-01-12 18:57:45.847	855ms	405ms	229.5%	84.8 MB	382.4 MB	56.3 MB	39.5 MB
27	7c/31cf6c	206175	fastcat (23)	COMPLETED	0	2025-01-12 18:57:45.835	888ms	421ms	251.2%	85.3 MB	382.5 MB	59.4 MB	42.2 MB
25	29/62253f	206291	fastcat (21)	COMPLETED	0	2025-01-12 18:57:45.902	896ms	435ms	236.7%	85.2 MB	382.5 MB	63.1 MB	44.2 MB
14	8e/95c708	206272	fastcat (10)	COMPLETED	0	2025-01-12 18:57:45.891	907ms	504ms	278.3%	84.9 MB	382.5 MB	83.2 MB	58.5 MB
24	f5/08afb2	206213	fastcat (20)	COMPLETED	0	2025-01-12 18:57:45.858	939ms	434ms	291.6%	87.8 MB	512.3 MB	73.4 MB	51.8 MB
5	f8/fac388	206251	fastcat (1)	COMPLETED	0	2025-01-12 18:57:45.880	928ms	510ms	246.5%	86.3 MB	510.5 MB	75.4 MB	53.1 MB
22	5c/01310e	206232	fastcat (18)	COMPLETED	0	2025-01-12 18:57:45.869	976ms	540ms	258.9%	76.7 MB	382 MB	76.9 MB	54.7 MB
12	33/566baa	207990	fastcat (8)	COMPLETED	0	2025-01-12 18:57:46.717	406ms	93ms	56.2%	81.8 MB	166.2 MB	237.8 KB	73.9 KB
4	7f/19efa0	208353	minimap_pipeline:run_common:getParams	COMPLETED	0	2025-01-12 18:57:46.841	461ms	7ms	16.5%	0	0	75.9 KB	3.4 KB
10	c5/f41527	207970	fastcat (6)	COMPLETED	0	2025-01-12 18:57:46.707	605ms	312ms	252.9%	86.7 MB	510.9 MB	43.6 MB	31 MB
19	6d/05c765	208045	fastcat (15)	COMPLETED	0	2025-01-12 18:57:46.731	636ms	342ms	310.3%	86.6 MB	510.9 MB	63.4 MB	44.5 MB
23	80/8645e9	208245	fastcat (19)	COMPLETED	0	2025-01-12 18:57:46.805	661ms	375ms	318.2%	78.1 MB	510.9 MB	73.7 MB	51.4 MB
26	05/67ec84	208293	fastcat (22)	COMPLETED	0	2025-01-12 18:57:46.823	662ms	376ms	331.4%	87.9 MB	510.9 MB	72.6 MB	51.1 MB
11	cf/5cfd97	208316	fastcat (7)	COMPLETED	0	2025-01-12 18:57:46.832	663ms	372ms	330.7%	89.6 MB	512.3 MB	69.3 MB	49 MB
20	c2/2b63b5	208417	fastcat (16)	COMPLETED	0	2025-01-12 18:57:46.854	741ms	324ms	328.6%	89.7 MB	511.8 MB	60 MB	42.5 MB
38	ad/855b2f	210001	minimap_pipeline:output_results (1)	COMPLETED	0	2025-01-12 18:57:47.329	324ms	4ms	109.6%	0	0	72.7 KB	260 B
6	89/56c138	209641	fastcat (2)	COMPLETED	0	2025-01-12 18:57:47.134	768ms	429ms	327.4%	86.8 MB	510.9 MB	82.7 MB	58.2 MB
9	d4/6cadb9	209990	fastcat (5)	COMPLETED	0	2025-01-12 18:57:47.319	742ms	436ms	211.2%	84.7 MB	382.4 MB	52.1 MB	36.8 MB
28	f7/0e430e	210121	fastcat (24)	COMPLETED	0	2025-01-12 18:57:47.378	747ms	468ms	279.9%	86.3 MB	510 MB	73.1 MB	51.8 MB
16	67/044a18	210454	fastcat (12)	COMPLETED	0	2025-01-12 18:57:47.493	660ms	375ms	269.3%	78.4 MB	382 MB	61.4 MB	43.1 MB
18	fb/04e3de	210485	fastcat (14)	COMPLETED	0	2025-01-12 18:57:47.501	668ms	362ms	243.6%	81.3 MB	382 MB	50.7 MB	35.8 MB
7	cb/df7c53	210416	fastcat (3)	COMPLETED	0	2025-01-12 18:57:47.478	717ms	421ms	298.4%	78.4 MB	510 MB	71.3 MB	50.6 MB
13	44/9fb3b7	210879	fastcat (9)	COMPLETED	0	2025-01-12 18:57:47.604	736ms	433ms	311.2%	82.7 MB	510.9 MB	80.1 MB	56.2 MB
21	3c/a0c3bc	211693	fastcat (17)	COMPLETED	0	2025-01-12 18:57:47.913	580ms	300ms	322.7%	86.8 MB	510.9 MB	56.7 MB	40.1 MB
8	14/53b260	211836	fastcat (4)	COMPLETED	0	2025-01-12 18:57:48.071	583ms	331ms	351.2%	75.8 MB	510 MB	68.8 MB	48.8 MB
3	8e/ed44a9	208265	minimap_pipeline:run_common:getVersions	COMPLETED	0	2025-01-12 18:57:46.813	3.3s	2.9s	113.8%	70.9 MB	4.1 GB	12.3 MB	3.1 KB
30	9e/359344	212492	minimap_pipeline:minimap (hdz-194-s87)	COMPLETED	0	2025-01-12 18:57:50.129	19.5s	19.2s	2239.8%	945 MB	6.9 GB	582.6 MB	129.2 MB
31	57/0edf1f	213903	minimap_pipeline:minimap (hdz-198-s88)	COMPLETED	0	2025-01-12 18:58:09.633	18.8s	18.6s	2484.7%	944 MB	6.8 GB	591 MB	136.4 MB
29	ac/678f9e	215054	minimap_pipeline:minimap (hdz-071-s79)	COMPLETED	0	2025-01-12 18:58:28.500	14.8s	14.5s	2320.4%	813.3 MB	6.7 GB	552.3 MB	101.2 MB
34	d3/873966	216205	minimap_pipeline:minimap (hdz-163-s82)	COMPLETED	0	2025-01-12 18:58:43.315	21.6s	21.3s	2567.9%	951.5 MB	6.9 GB	625 MB	167.8 MB
32	e0/9b6af1	217464	minimap_pipeline:minimap (hdz-097-s91)	COMPLETED	0	2025-01-12 18:59:04.908	24.3s	24.1s	2591.7%	848.2 MB	6.7 GB	647.6 MB	188.5 MB
33	87/ea730c	218642	minimap_pipeline:minimap (hdz-199-s86)	COMPLETED	0	2025-01-12 18:59:29.255	19.3s	19.1s	2523.4%	947.8 MB	6.9 GB	597.3 MB	142.5 MB
35	92/da5309	219734	minimap_pipeline:minimap (hdz-085-s92)	COMPLETED	0	2025-01-12 18:59:48.619	22.5s	22.3s	2567.9%	943.3 MB	6.8 GB	628.5 MB	170.9 MB
36	dc/374b7e	221018	minimap_pipeline:minimap (hdz-219-s81)	COMPLETED	0	2025-01-12 19:00:11.151	24.7s	24.4s	2624.0%	957.7 MB	6.9 GB	635.2 MB	176.8 MB
37	66/576461	222199	minimap_pipeline:minimap (pl-ntc-004-ctrl)	COMPLETED	0	2025-01-12 19:00:35.868	4.2s	4s	269.3%	565 MB	6.4 GB	446.3 MB	4.4 MB
39	4b/1ce3dd	223022	minimap_pipeline:minimap (hdz-217-s89)	COMPLETED	0	2025-01-12 19:00:40.140	15.1s	14.8s	2334.4%	942.5 MB	6.9 GB	553 MB	101.8 MB
40	4c/3e75b8	224221	minimap_pipeline:minimap (hdz-183-s84)	COMPLETED	0	2025-01-12 19:00:55.243	20.5s	20.2s	2501.5%	952.1 MB	6.9 GB	599.7 MB	144.8 MB
41	39/1dc6b9	225411	minimap_pipeline:minimap (hdz-099-s72)	COMPLETED	0	2025-01-12 19:01:15.744	22.2s	21.9s	2561.3%	947.6 MB	6.8 GB	623.5 MB	166.7 MB
