"ID"	"W1"	"C1"	"W2"	"C2"	"C3"	"W4"	"C4"	"W6"	"C6"	"W7"	"C7"	"C8"	"W9"	"W10"	"C10"	"C29"	"C30"	"W33"	"C38"	"C39"	"W42"	"C42"	"W43"	"C43"	"C46"	"C48"	"C51"	"W52"	"C52"	"W54"	"C55"	"W57"	"C59"	"W60"	"C61"	"W63"	"C65"	"W68"	"C68"	"W73"	"C74"	"C75"	"C77"	"C82"	"W83"	"W84"	"W85"	"C86"	"W87"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"W93"	"W94"	"W95"	"C95"	"W96"	"W97"	"C99"	"W100"	"W101"	"C103"	"W104"	"C105"	"C106"	"W107"	"C107"	"W108"	"C108"	"W109"	"W111"	"C111"	"W112"	"C113"	"W114"	"C114"	"C116"	"C117"	"C118"	"C119"	"W120"	"C120"	"W121"	"C121"	"W122"	"W123"	"C123"	"C125"	"W126"	"W127"	"C128"	"C129"	"C137"	"W139"	"W140"	"C141"	"C142"	"C143"	"W144"	"C144"	"W150"	"C151"	"W152"	"C152"	"W153"	"W154"	"C154"	"C156"	"C157"	"C159"	"W164"	"W170"	"C174"	"C177"	"C178"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"C200"	"C201"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"	"C416"
"fpt16"	0.19	0.36	0.73	0.11	0.2	0.2	0.06	0.03	0	0.53	0.01	0.01	0.13	0.36	0	0	0	0	0.07	0	0.37	0.09	0.01	0.01	0.03	0	0.16	0.13	0.01	0.03	0.09	0.03	0.11	0.13	0.03	0.06	0.03	0	0	0.01	0.04	0	0.03	0.01	0.04	0.17	0.56	0.06	0.25	0	0.38	0.03	0.17	0	0	0.13	0.17	0	2.02	0.14	0.19	0.19	0.13	0.39	0.03	0.06	0	0.01	0	0.03	0	0.03	0	0.03	0.1	0	0.52	0	2.57	0.17	0.03	0.36	0.3	0.01	0.01	0.13	0.07	0.03	0	0.01	0	0	1.26	0.01	0.13	0	0	0.01	0	0.01	0.73	0.1	0	0	0.61	0.1	0.09	0	0.38	0	0	0.62	0	0	1.89	0.01	0.03	0	0.16	0.15	0.04	0.18	0	0.28	0	0.65	0	0	0.03	0.02	1.32	0.03	0.16	0.03	0.03	0.01	0.07	0.61
"fpt17"	0.37	0.53	2.44	0.22	3.62	0.27	1.51	0.39	0.04	0.61	0.16	0.09	0.14	0.51	0	0.16	0.93	0.47	0.81	0.11	0.46	0.19	0.47	0.03	0.07	0.04	0.43	0.2	0.03	0.36	0.39	0.11	0.21	1.52	0.27	0.36	0.37	0.16	0.01	0.6	0.09	0	7.14	0.09	0.33	0.19	0.88	0.22	0.4	0.23	1.4	0.17	1.45	0.32	1.02	1.77	0.77	0.01	2.69	0.37	0.34	0.24	0.39	0.56	0.15	0.17	0.13	0.69	0.03	0.96	0.03	0.65	0.22	1.73	0.29	0.01	1.59	0.14	15.36	2.86	0.8	11.37	3.61	0.04	3.32	13.4	0.22	0.09	0.62	0.82	0.07	1.44	11.27	0.27	0.69	0.01	0.17	1.38	0.62	0.82	0.98	0.13	0.04	0.06	10.96	0.23	28.33	0.27	2.75	0.04	0.5	0.99	0	0.03	1.96	0.1	0.06	0	0.19	0.23	0.06	3.86	0.07	0.7	0.48	9.22	0	0.49	0.62	6.29	6.81	0.09	4.1	0.14	0.04	0.42	0.41	14.68
"fpt18"	6.25	1.96	9.19	1.3	5.51	7.62	1.38	0.57	0.46	3.62	3.17	2.55	8.5	6.53	3.56	2.99	2.31	1.96	1.99	2.38	2.52	2.11	4.12	1.89	1.28	1.76	3.26	2.38	1.16	1.45	2.73	1.29	3.38	9.55	0.68	2.11	1.55	7.99	1.28	2.31	0.99	0.83	1.8	1.9	2.56	1.56	2.37	6.17	2.78	0.33	4.68	3.62	3.72	2.06	4.79	18.69	3.5	1.17	5.86	4.16	4.57	0.93	3.31	3.96	0.57	3.33	0.96	3.32	3.48	1.87	4.83	3.05	3.99	1.59	1.08	2.89	7.17	1.91	19.13	2.66	1.55	12.92	4.15	2.35	3.91	11.03	1.37	2.2	4.28	1.25	0.83	3.13	20.33	1.74	2.03	0.11	1.31	4.45	3.19	4.42	10.75	2.79	1.83	2.53	8.23	8.06	18.84	4.49	2.44	1.16	0.5	0.49	2.99	3.09	9.25	0.09	0.29	0.1	5.04	6.76	4.04	3.75	2.4	3.49	0.62	8.35	3.13	5.78	4.32	62.48	37.46	4.62	6.26	1.61	2.2	4.06	5	10.55
"fpt19"	6.48	2.33	9.32	1.45	7.4	7.65	2.17	0.79	0.46	3.68	3.21	2.57	8.5	6.56	3.56	3.15	2.87	2.36	2.52	2.44	2.93	2.27	4.31	1.92	1.34	1.78	3.64	2.52	1.18	1.6	3.09	1.38	3.6	10.42	0.95	2.44	1.88	8.14	1.29	2.9	1.03	0.83	8.94	1.93	2.76	1.75	3.02	6.23	3.16	0.49	5.71	3.69	4.36	2.26	5.23	20.08	4.04	1.19	8.25	4.48	4.84	1.16	3.6	4.45	0.66	3.46	1.01	3.68	3.51	2.37	4.86	3.52	4.17	2.34	1.25	2.89	8.28	2.04	29.35	4.07	2.02	18.93	6.11	2.39	5.8	19.06	1.5	2.27	4.88	1.64	0.89	4.51	28.02	1.91	2.23	0.11	1.34	5.82	3.35	5.16	10.99	2.9	1.86	2.56	13.67	8.13	33.99	4.68	4.76	1.2	0.95	1.39	2.99	3.12	9.25	0.19	0.32	0.1	5.06	6.83	4.09	7.15	2.45	3.99	0.79	12.96	3.13	6.24	4.56	68.32	42.35	4.68	8.74	1.66	2.23	4.08	5.13	17.94
"fpt20"	6.25	1.96	9.19	1.3	5.51	7.62	1.38	0.57	0.46	3.62	3.17	2.55	8.5	6.53	3.56	2.99	2.31	1.96	1.99	2.38	2.52	2.11	4.12	1.89	1.28	1.76	3.26	2.38	1.16	1.45	2.73	1.29	3.38	9.55	0.68	2.11	1.55	7.99	1.28	2.31	0.99	0.83	1.8	1.9	2.56	1.56	2.37	6.17	2.78	0.33	4.68	3.62	3.72	2.06	4.79	18.69	3.5	1.17	5.86	4.16	4.57	0.93	3.31	3.96	0.57	3.33	0.96	3.32	3.48	1.87	4.83	3.05	3.99	1.59	1.08	2.89	7.17	1.91	19.13	2.66	1.55	12.92	4.15	2.35	3.91	11.03	1.37	2.2	4.28	1.25	0.83	3.13	20.33	1.74	2.03	0.11	1.31	4.45	3.19	4.42	10.75	2.79	1.83	2.53	8.23	8.06	18.84	4.49	2.44	1.16	0.5	0.49	2.99	3.09	9.25	0.09	0.29	0.1	5.04	6.76	4.04	3.75	2.4	3.49	0.62	8.35	3.13	5.78	4.32	62.48	37.46	4.62	6.26	1.61	2.2	4.06	5	10.55
"fpt21"	21.2	30.56	27.11	21.71	35.26	26.4	27.88	9.09	18.19	15.87	24.52	27.38	24.02	17.62	31.64	22.76	13.68	20.67	31.69	22.75	34.23	41.68	17.89	36.09	30.11	37.17	32.5	22.15	24.21	15.07	27.21	14.02	21.85	31.52	13.88	15.33	29.27	28.99	20.89	18.99	40.17	22.99	33.62	24.1	31.38	18.24	41.76	25.49	28.09	41.61	35.87	26.06	29.15	26.36	35.21	38.32	23.99	13.79	31.95	25.38	25.55	22.25	21.56	28.2	20.19	12.84	30.12	39.41	22.92	26.29	21.42	31.12	27.53	30.94	24.45	28.27	45	35.55	47.42	29.49	32.07	43.36	38.95	25.16	27.97	39.72	20.77	19.7	28.65	47.87	37.4	19.31	35.97	22.96	22.17	16.42	20.83	28.89	19.91	18.34	22.97	17.45	26.16	14.27	33.95	18.85	49.55	12.68	29.15	22.93	8.62	36.01	31.15	29.47	13.04	30.16	23.99	32.31	14.27	16.02	15.3	27.21	14.41	17.32	32.73	57.24	14.05	25.72	20.94	71.07	43.44	14.33	16.73	7.33	13.6	24.87	23.04	42.32
"fpt22"	0.22	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0.04	0	0.1	0	0	0.01	0.01	0.01	0.01	0	0	0	0.04	0.06	0	0	0.09	0	0	0.03	0.09	0	0.01	0	0.01	0.01	0	0	0	0.09	0	0.01	0.04	0	0.01	0	0.01	0.03	0	0.01	0.19	0.01	0.03	0	0	0	0	0	0.03	0.01	0.01	0.03	0.01	0	0.04	0	0	0.01	0	0.01	0.16	0.01	0	0	0.03	0	0.01	0.01	0	0.01	0.01	0	0.13	0.01	0.04	0.06	0.2	0.07	19.58	6.76	0	0.01	0	0	0.07	0	0.06	0.06	0.04	0	0.04	0	0.06	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0.01	0.06	0.04	2.31	0.07	0.03	0.01	0.06	0	0.43	0.14	11.13	1.18	0.16	0.31	0.01	0.04	0.03	0	0
"fpt23"	0.03	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0	0.01	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.04	0.03	1.3	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0.03	0	0.33	0.06	3.8	0.11	0	0.06	0	0	0	0	0
"fpt24"	0.03	0	0	0	0	0.01	0	0.03	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0.01	0	0.01	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0.04	0.03	1.3	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0.03	0	0.33	0.06	3.8	0.11	0	0.06	0	0	0	0	0
"fpt25"	0.09	0.4	0.73	0.07	0.33	0.72	0.26	0.07	0.09	0.03	0.34	0.01	0.39	0.01	0	0.07	0.09	0	0.07	0	0.24	0.19	0.43	0.1	0.07	0.13	0.77	0.03	0.13	0.13	0.1	0.03	0.03	0.03	0.01	0.07	0.2	0.03	0.01	0.01	0.01	0	13.12	0.07	0.12	0	0.95	0.22	0.33	0.06	0.51	0.03	0.33	0.13	0.27	0.41	0.04	0.04	0.26	0.07	0.2	0	0.14	0.09	0.22	0.06	0.03	0.01	0	0.22	0.06	0.03	0.07	0.23	0.14	0.1	0.49	0.1	2.08	0.06	0.1	0.62	0.06	0.07	1.18	1.63	0.16	0.13	0.01	0.11	0.04	3.92	9.21	0.04	0.03	0.06	0.04	0.03	0.23	0.06	0.01	0.01	0.01	0.1	1	0.23	1.46	0.07	1.39	0	0	0	0	0.06	0	0	0.07	0	0.12	0.07	0.03	0.11	0	0.95	0	0.42	0.04	0.17	0.94	5.69	42.01	0.07	2.92	0.03	0.14	0.03	0.06	2.16
