"ID"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"ko00010"	0.0116198013835374	0.0118655714803679	0.0119173410672329	0.00975407014079667	0.0117958598648061	0.0115772602529983	0.011792884029175	0.0113246766294091
"ko00020"	0.00624173329649482	0.00605209982647729	0.00667414282230984	0.00626185588199686	0.00639331192325399	0.00633856276798663	0.00596889255718507	0.00614221320941398
"ko00030"	0.00618720889438848	0.00630720242535913	0.0060380869945816	0.00557387548105423	0.00627401170763317	0.00617894679817893	0.00638444697447722	0.00640225481413876
"ko00040"	0.00407528776282997	0.0041293001432896	0.00351093476960497	0.00185797447870618	0.00380342061275645	0.00395014757762181	0.00410309163438834	0.00433764819721314
"ko00051"	0.00949866934970527	0.00972608908424245	0.010487335425793	0.00539492355435714	0.0095455472603049	0.00927872158430225	0.00882084105480349	0.00844234171811993
"ko00052"	0.00817944236804436	0.00726074430398556	0.00698585491549508	0.00462542451565279	0.00716329185376296	0.00709529912602359	0.00647096531872067	0.00763653327464443
"ko00053"	0.001289407825175	0.00142158708060561	0.00118431297915089	0.000998100419208843	0.00131127174500841	0.00142641910218324	0.00147201434614599	0.00140638731676892
"ko00061"	0.0053107511527626	0.00500027609525814	0.00495838294648956	0.00569175239577802	0.00522749042983693	0.00525424320943801	0.00511164413721082	0.00565908061404014
"ko00071"	0.00323535755545722	0.00382315668794254	0.00354688414153014	0.00332384440227071	0.00349592285840402	0.0036832861541509	0.00408016164812689	0.00369476254845289
"ko00072"	0.000465861296660624	0.00054968735953325	0.000582219124178151	0.000595549609609234	0.000556169741277764	0.000551476908258227	0.000608772410015599	0.000530668834801545
"ko00100"	1.90427118660875e-05	8.93763818667474e-06	6.38580621491686e-06	0.000169803731573797	2.57055778191709e-05	2.36266677081431e-05	3.20910796542741e-05	2.47996219178067e-05
"ko00120"	0.000201986986513487	0.000156429948357729	0.000108007338589197	8.90413771177053e-05	0.000170563639518779	0.00018203011775684	0.000171885502720558	0.000237015902812451
"ko00121"	0.000205204637149938	0.000152183277503255	0.000104389348579932	9.37896665152706e-05	0.000173522009993692	0.000192459259155792	0.000165386390365828	0.000237373154029656
"ko00130"	0.00158941114500387	0.00134117327843637	0.00171452688447809	0.00274446600235124	0.00167142760224774	0.00169118049014606	0.00141942423309367	0.00146246143498656
"ko00140"	0.000875629550860216	0.000567861373094789	0.00040780482100539	0.000261874251951947	0.000624571130464786	0.000773084763932112	0.000496729441522449	0.00104794664788671
