tax	hdz-362-s208	hdz-363-s209	hdz-364-s210	hdz-365-s211	hdz-367-s213	hdz-369-s215	hdz-370-s216	hdz-371-s217	hdz-372-s218	hdz-373-s219	hdz-416-s220	hdz-417-s221	hdz-421-s222	hdz-423-s223	hdz-424-s224	hdz-425-s225	hdz-426-s226	hdz-431-s227	hdz-432-s228	hdz-433-s229	hdz-434-s230	pl-ntc-010-ctrl	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	3	1	45	0	2	7	0	92	6	0	7	0	0	3	0	1	62	11	1	0	0	241
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	10	3	4	0	12	4	39	2	38	28	10	9	0	6	23	35	0	12	5	0	0	0	240
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	11	0	60	1	18	4	11	9	6	0	14	33	2	10	10	20	0	12	17	0	0	0	238
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii	0	0	1	0	0	0	0	0	0	3	1	0	200	0	0	0	3	0	1	6	18	0	233
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	1	2	1	0	3	1	1	0	19	22	2	1	0	2	5	3	70	3	3	47	41	0	227
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia;Leclercia adecarboxylata	0	0	0	0	1	0	0	0	0	217	1	0	0	0	0	1	0	0	0	0	0	0	220
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	0	0	19	0	27	4	6	1	8	3	3	5	0	2	5	46	0	28	63	0	0	0	220
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	4	1	16	0	12	5	11	9	33	15	20	9	0	5	7	23	0	15	30	0	0	0	215
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus;Secundilactobacillus odoratitofui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	199	2	0	212
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter cronae	0	0	0	0	0	1	2	0	0	1	0	0	102	0	0	2	14	0	0	38	39	0	199
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter amalonaticus	1	0	0	0	0	9	1	0	0	7	0	2	115	0	0	0	0	0	5	26	27	0	193
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	1	1	75	0	11	8	3	15	3	0	12	5	1	5	6	3	0	10	20	0	0	0	179
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	1	1	18	0	1	5	0	55	1	0	1	0	0	3	1	0	70	14	5	0	0	176
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	0	0	33	0	30	1	4	8	0	0	2	6	0	2	17	23	0	17	26	0	0	0	169
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	4	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	50	0	0	51	59	0	169
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	4	2	38	1	10	10	7	5	5	2	5	5	2	1	21	11	0	8	19	0	0	0	156
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	2	0	5	0	4	2	3	5	22	3	19	11	0	16	12	20	0	20	10	0	0	0	154
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	17	4	0	5	3	7	6	1	29	12	7	1	0	6	9	11	0	14	20	0	0	0	152
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	0	0	47	0	11	7	4	10	1	0	12	3	1	5	7	6	0	10	16	0	0	0	140
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	0	2	47	0	8	7	1	12	1	1	12	6	1	4	8	5	0	8	14	0	0	0	137
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	21	0	1	0	1	2	17	3	20	16	10	4	0	4	3	7	0	10	15	0	0	0	134
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera cryocrescens	0	0	0	1	0	0	0	0	41	88	0	0	0	0	0	0	1	0	1	0	2	0	134
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	0	1	11	0	9	1	5	2	7	4	10	10	0	3	5	29	0	23	12	0	0	0	132
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter kilianii	27	1	2	26	0	0	12	0	1	61	0	0	0	0	0	0	1	0	0	0	0	0	131
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella inusitata	0	0	1	22	0	3	0	0	72	3	1	1	0	0	2	0	0	12	0	0	0	0	117
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	2	7	18	5	0	1	7	2	0	53	4	0	0	0	1	1	0	2	5	0	0	0	108
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;Solibacillus isronensis	0	0	0	0	0	0	0	0	0	0	1	0	103	0	0	0	0	0	0	0	0	0	104
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans	0	0	30	0	8	2	0	5	0	0	12	9	1	1	2	2	0	17	14	0	0	0	103
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera georgiana	0	0	0	3	0	3	1	0	0	8	0	0	3	0	0	0	2	0	24	17	41	0	102
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	5	2	13	0	4	5	6	5	6	4	12	3	1	2	8	14	0	3	5	0	0	0	98
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	4	0	4	0	0	1	0	0	0	0	2	2	2	0	9	1	14	27	0	11	20	0	97
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	0	0	22	0	4	6	1	3	0	0	2	1	3	3	3	4	0	14	29	0	0	0	95
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	14	6	0	7	1	3	7	1	7	10	9	3	0	11	2	3	2	4	3	1	0	0	94
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter cloacae	0	0	0	5	1	0	0	0	0	85	0	0	1	0	0	0	0	0	0	0	2	0	94
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus	0	0	3	0	12	1	2	0	0	0	22	2	0	21	1	0	0	2	28	0	0	0	94
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	5	1	25	0	8	4	2	7	0	0	7	8	0	5	3	4	0	7	6	0	0	0	92
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	2	0	11	2	0	1	8	0	1	25	1	0	17	0	0	0	1	0	11	4	8	0	92
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	4	1	10	0	6	1	7	7	3	4	8	5	0	2	6	10	0	10	7	0	0	0	91
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1	0	19	39	0	90
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;Butyricimonas vaginalis	0	0	14	0	25	0	0	2	0	0	2	2	0	0	0	1	0	9	31	0	0	0	86
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens	0	0	0	0	0	0	0	0	0	0	1	0	85	0	0	0	0	0	0	0	0	0	86
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	12	7	1	3	0	9	4	1	5	8	2	0	1	0	8	7	0	6	10	0	0	0	84
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum aminivorans	0	0	4	0	18	1	0	0	0	0	4	6	0	3	0	20	0	12	16	0	0	0	84
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	2	4	31	6	7	3	1	4	1	7	2	0	3	1	1	0	0	0	9	0	0	0	82
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	11	0	5	1	1	2	0	0	19	2	1	1	1	10	0	12	16	0	0	0	82
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus;Secundilactobacillus angelensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	36	37	0	82
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	11	7	7	2	4	7	4	0	4	1	11	4	1	3	1	3	0	1	10	0	0	0	81
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	4	1	0	1	0	0	4	1	4	6	2	0	0	1	0	2	19	1	1	10	24	0	81
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	16	0	12	0	0	5	0	0	0	0	0	0	10	16	0	7	11	0	0	0	77
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	2	26	0	4	1	1	9	0	12	0	0	1	0	2	11	0	1	5	0	0	0	75
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	1	3	0	6	1	3	1	2	8	0	2	0	4	4	21	0	11	6	0	0	0	73
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum faecicola	0	0	3	0	7	0	0	0	0	0	17	12	0	5	4	6	0	9	9	0	0	0	72
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus pittmaniae	15	1	0	18	0	0	4	0	0	32	0	0	0	0	1	0	0	0	0	0	0	0	71
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Bullifex;Bullifex porci	0	0	12	0	9	2	0	2	0	0	2	0	0	0	7	9	0	10	18	0	0	0	71
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	0	0	32	0	1	2	0	14	1	0	2	1	1	1	1	3	0	6	3	0	0	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	4	2	4	0	4	1	7	3	4	0	4	1	2	4	5	4	0	10	5	0	0	0	64
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	3	0	1	5	0	5	0	0	12	10	0	7	2	0	0	3	12	0	1	0	61
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	30	0	4	2	0	1	1	1	3	2	1	0	4	1	0	0	8	0	0	0	58
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella phocaeensis	0	0	2	0	0	1	0	0	0	2	2	2	0	0	0	3	12	0	2	12	18	0	56
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus avium	2	1	6	0	1	2	1	1	2	0	2	1	7	0	0	0	10	0	4	10	3	0	53
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter murliniae	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	5	6	0	53
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Paucilactobacillus;Paucilactobacillus vaccinostercus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	49	2	0	53
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia rettgeri	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	25	3	0	1	0	6	0	49
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter massiliensis	0	0	30	0	2	0	0	6	0	0	1	3	0	3	2	0	0	0	1	0	0	0	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella porci	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	3	0	4	10	0	0	0	46
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	1	0	0	0	0	0	1	0	0	5	0	0	13	0	0	0	3	0	21	0	1	0	45
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;Erwinia aphidicola	0	2	0	1	0	0	0	0	9	2	0	0	0	0	0	0	0	31	0	0	0	0	45
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	1	0	3	1	0	2	1	0	6	3	0	2	2	9	0	8	7	0	0	0	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Evtepia;Evtepia gabavorous	0	0	11	0	8	0	0	1	0	0	1	2	0	1	3	1	0	2	11	0	0	0	41
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella boydii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	24	0	40
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	3	2	6	1	0	4	2	6	3	1	1	1	0	0	2	3	0	2	2	0	0	0	39
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	0	0	23	0	0	0	0	4	0	0	1	1	1	2	2	0	0	3	2	0	0	0	39
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parafannyhessea;Parafannyhessea umbonata	1	0	16	0	5	1	0	7	0	3	2	0	0	1	0	1	0	0	2	0	0	0	39
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus innesii	0	0	0	0	0	0	0	0	0	0	2	0	8	4	0	0	9	0	0	14	2	0	39
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	4	6	0	0	1	0	3	0	2	4	2	1	0	0	4	5	0	1	5	0	0	0	38
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	1	3	1	0	3	9	2	0	1	0	3	0	0	2	6	2	0	0	4	0	0	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	5	2	2	0	0	1	0	1	5	1	6	2	0	0	1	3	0	3	5	0	0	0	37
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus asini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17	7	0	37
