tax	hdz-362-s208	hdz-363-s209	hdz-364-s210	hdz-365-s211	hdz-367-s213	hdz-369-s215	hdz-370-s216	hdz-371-s217	hdz-372-s218	hdz-373-s219	hdz-416-s220	hdz-417-s221	hdz-421-s222	hdz-423-s223	hdz-424-s224	hdz-425-s225	hdz-426-s226	hdz-431-s227	hdz-432-s228	hdz-433-s229	hdz-434-s230	pl-ntc-010-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1030	1262	161	236	834	1100	788	266	330	160	1516	1334	19	1018	1491	602	13	254	836	89	641	0	13980
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	558	787	23	453	256	1006	829	40	391	1214	268	237	9	142	1005	991	98	598	761	71	284	0	10021
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	1250	519	32	205	148	658	435	161	617	446	333	184	4	113	500	704	0	527	935	0	67	0	7838
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	562	349	269	116	369	143	80	222	129	111	386	307	37	284	495	490	253	176	612	205	246	0	5841
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	0	0	0	0	0	2	0	3	0	0	0	1	193	0	0	0	453	0	1	518	1680	0	2851
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus;Prolinoborus fasciculus	0	0	0	0	0	0	0	0	0	0	0	0	2649	0	0	0	0	0	0	0	0	0	2649
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	0	0	0	0	1	0	2	0	5	0	0	190	0	1	0	329	0	0	401	1479	0	2408
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	137	29	323	8	133	110	77	156	87	89	229	153	23	87	181	195	0	185	167	0	0	0	2369
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	150	91	147	365	34	156	162	71	165	84	85	196	4	79	95	120	41	32	66	52	99	0	2294
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	16	40	136	8	217	1	182	12	113	227	0	0	5	2	46	232	0	207	87	0	0	0	1531
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	144	57	17	12	55	45	91	20	189	107	83	36	0	52	74	142	0	108	193	0	1	0	1426
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	68	3	94	0	68	51	26	34	82	30	175	161	3	68	107	107	0	86	142	0	0	0	1305
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	5	3	63	0	126	38	36	40	34	9	50	41	1	18	81	93	0	157	396	0	0	0	1191
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	85	24	98	7	72	80	53	68	42	45	89	66	16	54	104	118	0	57	106	0	0	0	1184
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	73	32	2	25	10	160	22	4	10	26	36	27	0	9	160	184	18	68	121	8	71	0	1066
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	35	6	28	86	12	71	26	34	15	17	35	51	1	20	42	92	140	10	30	114	188	0	1053
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	89	29	15	252	14	65	53	27	73	10	56	103	1	48	33	67	0	7	29	3	2	0	976
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella sonnei	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	180	0	0	159	515	0	855
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	42	23	27	21	47	52	29	28	41	49	44	30	40	20	42	69	21	66	70	18	51	0	830
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	34	83	1	39	16	59	70	3	42	116	22	19	0	12	55	66	5	28	65	5	14	0	754
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	47	73	7	12	41	60	42	9	15	10	89	71	3	44	87	24	0	14	42	2	40	0	732
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter telavivensis	0	0	0	0	2	0	1	0	0	13	1	0	627	0	0	0	3	0	6	11	20	0	684
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	43	37	40	95	6	44	43	23	33	19	26	59	0	18	17	47	12	4	24	16	30	0	636
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	53	17	1	1	0	0	88	0	217	218	0	0	0	0	0	10	0	0	0	0	1	0	606
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	54	15	18	33	8	15	54	6	130	69	45	13	0	15	18	26	0	26	48	0	11	0	604
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	3	8	187	4	11	10	10	40	5	91	8	8	1	8	39	32	0	22	25	0	0	0	512
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	78	15	71	24	38	11	21	29	3	13	18	8	16	2	27	17	0	22	35	0	0	0	448
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	0	0	82	0	18	0	0	7	0	0	0	1	0	0	1	9	0	113	209	0	0	0	440
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	55	20	1	19	7	37	26	4	47	25	19	14	0	7	28	36	0	20	43	0	2	0	410
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	49	19	35	26	12	23	26	16	10	6	22	17	2	9	35	30	0	12	24	0	0	0	373
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	0	0	0	0	0	8	1	0	0	0	0	0	11	0	0	5	89	0	4	3	251	0	372
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	0	0	8	0	10	20	13	15	20	7	20	14	2	10	21	27	0	63	88	0	0	0	338
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	22	31	1	7	18	24	12	10	9	5	34	33	0	29	26	11	1	6	20	1	14	0	314
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	49	6	2	8	22	13	24	2	22	7	7	7	0	9	26	33	0	36	19	0	0	0	292
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasihormaechei	0	0	0	0	0	0	0	0	0	282	0	0	0	1	0	0	0	0	0	0	0	0	283
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	10	3	79	0	16	2	6	16	13	7	13	6	1	1	13	24	0	33	19	0	0	0	262
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	11	14	19	5	9	15	13	2	23	21	21	18	0	7	12	10	0	22	34	0	0	0	256
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	0	0	1	10	0	1	1	1	0	21	0	0	0	0	0	2	24	1	5	29	158	0	254
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	20	20	3	4	14	24	12	5	5	4	28	29	1	15	27	11	0	5	14	2	7	0	250
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter lwoffii	0	1	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	1	0	248
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus;Secundilactobacillus similis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	228	1	0	248
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	1	2	1	1	1	3	1	0	0	2	0	0	2	0	0	1	69	0	2	103	53	0	242
