tax	hdz-004-s3	hdz-005-s11	hdz-010-s23	hdz-011-s10	hdz-013-s8	hdz-014-s18	hdz-015-s28	hdz-016-s21	hdz-018-s30	hdz-019-s13	hdz-020-s12	hdz-021-s7	hdz-022-s31	hdz-023-s20	hdz-024-s19	hdz-025-s17	hdz-026-s15	hdz-027-s32	hdz-028-s16	hdz-028-s36	hdz-029-s14	hdz-030-s37	hdz-030-s6	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-041-s53	hdz-045-s49	hdz-046-s48	hdz-051-s54	hdz-052-s50	hdz-055-s22	hdz-058-s63	hdz-060-s80	hdz-063-s1	hdz-064-s2	hdz-065-s4	hdz-066-s5	hdz-067-s9	hdz-068-s26	hdz-070-s29	hdz-071-s79	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	hdz-085-s92	hdz-087-s78	hdz-089-s64	hdz-093-s65	hdz-094-s66	hdz-097-s91	hdz-099-s72	hdz-101-s57	hdz-104-s69	hdz-106-s83	hdz-107-s55	hdz-108-s60	hdz-155-s67	hdz-156-s68	hdz-161-s77	hdz-163-s82	hdz-168-s58	hdz-175-s61	hdz-176-s51	hdz-177-s47	hdz-181-s74	hdz-182-s52	hdz-183-s84	hdz-186-s73	hdz-187-s71	hdz-188-s62	hdz-190-s59	hdz-191-s56	hdz-192-s75	hdz-193-s70	hdz-194-s87	hdz-196-s76	hdz-198-s88	hdz-199-s86	hdz-217-s89	hdz-219-s81	hdz-220-s85	hdz-221-s90	pl-ntc-001-ctrl	pl-ntc-003-ctrl	pl-ntc-004-ctrl	total
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	182	272	365	184	777	594	11	186	3	217	221	583	29	147	182	66	713	4	221	28	111	10	50	1	0	35	20	76	20	166	0	12	209	419	80	57	96	258	239	145	490	16	73	175	6	44	1	18	29	1	0	30	89	79	10	82	43	65	174	695	73	869	164	26	87	36	219	119	40	13	21	231	79	168	186	407	133	164	14	78	297	143	85	42	245	243	22	65	233	376	1	0	0	13988
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	66	502	277	59	71	173	5	185	1	633	168	91	17	176	70	482	99	11	42	18	313	21	82	3	0	84	31	40	12	48	0	47	49	263	70	219	349	376	246	81	531	7	58	185	29	42	8	37	30	4	0	6	116	127	3	42	80	317	575	293	41	295	124	23	13	38	526	176	8	44	33	72	118	31	365	168	109	95	9	64	56	606	435	40	10	635	38	73	33	18	2	0	1	12269
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	78	157	328	174	782	742	15	232	3	187	231	757	23	46	185	139	485	6	130	14	43	8	55	0	0	32	26	80	27	150	0	42	134	126	86	67	97	107	225	38	230	10	37	126	6	19	0	11	22	1	0	16	185	151	29	56	59	162	150	358	55	334	118	42	48	31	133	152	44	32	36	133	159	130	170	253	185	49	38	54	303	205	74	196	388	95	37	120	103	184	1	0	1	11588
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	67	335	131	91	166	263	5	137	0	148	217	28	14	104	27	248	115	8	83	30	163	37	127	3	0	111	33	25	56	29	0	45	41	293	48	196	140	275	124	73	162	28	23	102	46	19	2	20	17	1	0	26	254	203	3	47	6	347	388	332	58	190	83	42	27	36	228	176	27	29	4	63	78	48	295	127	128	38	18	23	261	311	246	86	70	252	25	159	205	116	0	0	1	9512
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	61	275	141	65	206	266	8	161	8	184	158	111	10	82	66	148	156	6	72	27	138	20	83	2	0	69	23	66	19	34	379	31	39	134	55	154	351	235	154	52	458	30	15	106	26	60	2	43	26	3	0	174	138	197	34	21	33	238	148	184	31	145	74	32	30	18	83	211	83	25	17	37	107	23	118	138	107	9	27	50	120	491	156	97	119	124	122	211	111	99	3	0	0	9203
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	53	68	130	133	909	473	3	146	1	202	75	431	14	83	131	57	419	1	96	15	77	6	69	0	0	29	23	82	19	272	0	29	218	148	47	30	84	128	134	48	167	5	16	98	3	16	1	9	9	1	0	7	146	103	8	53	21	51	45	318	12	252	57	32	48	49	135	120	26	26	18	169	70	86	66	231	89	33	17	32	147	91	83	67	305	91	78	170	28	109	2	1	0	8700
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	20	144	247	70	146	269	3	169	1	162	178	90	10	49	91	530	103	4	48	8	69	8	26	2	0	30	26	51	4	12	0	77	9	77	34	192	267	123	173	26	268	5	15	132	6	24	3	32	9	7	0	11	362	326	6	14	61	447	205	41	14	102	35	51	20	20	156	265	26	25	34	14	199	7	121	168	93	14	36	16	201	192	139	308	96	186	16	44	192	287	0	0	0	8599
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	19	224	123	85	464	419	2	259	1	96	1147	231	27	24	219	115	201	5	109	70	34	8	30	1	0	12	24	21	5	6	0	50	16	38	51	114	94	69	120	13	222	2	5	68	12	14	1	9	4	4	0	39	49	102	7	15	21	48	27	124	13	40	25	23	25	20	37	173	27	20	11	16	52	12	32	112	56	7	77	5	129	33	19	70	136	20	34	68	124	83	1	0	0	6819
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	33	208	92	56	187	159	3	114	0	123	243	105	3	41	62	69	90	3	63	32	49	6	25	1	0	27	22	17	12	9	0	57	11	57	39	139	46	151	74	39	102	8	17	79	9	12	4	7	24	2	0	27	104	168	8	22	41	99	66	182	27	94	47	20	25	19	120	140	8	23	3	23	93	9	68	120	160	18	39	24	244	138	98	59	123	46	23	96	119	47	1	0	0	5522
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	9	10	20	11	225	991	0	100	3	23	41	20	14	16	96	101	167	0	29	7	9	2	7	1	0	6	16	46	5	33	0	14	7	20	45	55	205	10	492	6	284	2	2	39	0	19	0	16	0	2	0	15	23	152	15	25	6	570	17	72	2	13	6	59	32	26	34	85	27	22	47	16	166	13	7	184	92	6	56	4	66	3	8	60	195	21	48	33	15	13	2	0	0	5482
