tax	hdz-206-s139	hdz-240-s140	hdz-241-s141	hdz-242-s142	hdz-243-s143	hdz-244-s144	hdz-245-s145	hdz-246-s146	hdz-247-s147	hdz-248-s148	hdz-249-s149	hdz-250-s150	hdz-251-s151	hdz-252-s152	hdz-253-s153	hdz-254-s154	hdz-317-s155	hdz-318-s156	hdz-319-s157	hdz-328-s158	hdz-336-s159	hdz-337-s160	hdz-338-s161	pl-ntc-007-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1666	1860	2113	573	1371	1416	1250	813	2251	1656	2095	792	1395	2226	1268	1922	1844	1154	1770	720	355	146	319	12	30987
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	1527	822	1632	607	925	800	1271	1032	1294	1165	2269	2186	1201	996	671	823	1374	676	986	577	307	13	14	8	23176
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	752	2384	1050	681	519	689	908	2114	1489	577	1216	1396	1400	682	1224	1130	1159	1160	1024	1096	286	73	105	8	23122
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	244	130	472	659	1	387	123	658	0	5	0	578	462	10	201	227	437	429	276	325	211	8	0	2	5845
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	412	291	352	360	154	167	241	161	133	92	101	353	424	122	429	204	171	260	171	187	25	435	355	3	5603
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	147	155	234	343	82	115	109	287	171	182	188	140	230	273	125	125	290	206	192	185	154	555	523	1	5012
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	74	91	76	16	204	78	113	51	406	391	722	89	77	566	74	17	70	50	110	27	21	497	928	0	4748
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	227	224	196	237	43	81	125	340	180	80	292	743	269	86	133	122	215	120	84	147	37	41	18	2	4042
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium sinus	66	85	120	159	31	94	57	157	117	121	100	97	112	119	80	64	145	104	93	101	57	271	281	1	2632
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas hypermegale	217	103	189	66	61	83	166	116	106	95	182	277	139	65	66	103	182	89	123	82	41	2	0	2	2555
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	173	134	131	83	60	62	72	94	125	114	141	152	121	109	104	78	138	97	80	58	44	111	157	1	2439
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae	104	12	70	148	78	23	9	125	190	72	496	258	126	206	47	52	34	68	33	55	33	62	55	0	2356
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	106	135	84	74	105	62	101	93	90	18	31	48	137	65	148	42	76	74	71	105	1	220	79	0	1965
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas rupellensis	21	35	21	4	200	16	36	13	285	254	514	44	24	235	25	22	24	15	32	10	11	0	2	0	1843
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera stantonii	87	113	128	25	74	78	73	39	109	82	108	40	57	118	65	118	101	87	93	47	14	9	17	0	1682
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	149	87	90	99	48	49	89	46	45	17	22	97	141	29	132	62	48	93	55	54	5	120	103	0	1680
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium porci	113	74	89	126	8	47	65	85	14	8	26	67	152	13	44	65	96	104	127	92	35	58	64	0	1572
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter novaezeelandiae	86	73	57	121	36	52	53	30	20	20	17	49	121	37	111	49	20	159	39	107	2	197	70	2	1528
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	81	65	44	118	10	53	89	84	26	12	52	236	132	22	45	34	69	67	51	46	18	12	13	1	1380
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	54	124	60	44	31	43	49	122	83	28	114	126	68	43	52	51	67	56	54	72	12	4	9	1	1367
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	93	37	18	234	0	112	42	21	0	0	0	51	27	0	5	7	48	164	93	95	95	0	0	0	1142
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	6	79	94	122	1	22	114	142	5	7	1	17	64	6	67	33	20	47	44	12	123	60	19	2	1107
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	56	31	58	156	5	33	21	79	5	1	28	231	132	10	25	34	46	39	31	56	15	2	3	0	1097
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	79	24	38	62	21	35	15	18	40	19	9	9	42	26	25	8	49	25	26	27	26	209	170	1	1003
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	21	13	4	86	9	2	4	6	133	21	52	12	3	36	2	3	27	40	22	30	11	146	98	0	781
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	29	37	16	43	16	27	28	44	33	32	47	62	47	28	13	21	18	47	24	37	7	96	22	1	775
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	68	10	54	89	10	16	16	52	8	10	21	48	86	10	35	57	37	26	47	31	8	0	1	0	740
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	43	41	60	9	40	37	25	7	48	43	40	16	31	51	25	48	49	28	46	15	5	4	10	0	721
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	3	11	3	453	1	5	32	0	0	0	0	3	10	0	0	0	2	119	2	11	39	0	0	1	695
