tax	hdz-223-s122	hdz-224-s123	hdz-226-s124	hdz-227-s128	hdz-228-s129	hdz-229-s130	hdz-307-s116	hdz-308-s117	hdz-309-s118	hdz-310-s119	hdz-311-s120	hdz-312-s121	hdz-313-s125	hdz-314-s126	hdz-315-s127	hdz-320-s131	hdz-321-s132	hdz-322-s133	hdz-323-s134	hdz-324-s135	hdz-325-s136	hdz-326-s137	hdz-327-s138	pl-ntc-006-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera massiliensis	1293	857	5374	4070	3825	1881	3101	674	2087	852	603	3187	1175	514	6627	1564	7147	3	5774	1828	3194	4143	1516	15	61304
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis	316	1535	2552	1961	2100	1831	3468	1626	1856	1402	909	2116	1374	928	4294	1330	4729	3	3351	1571	3038	2150	1547	7	45994
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella rara	364	938	4972	454	2524	294	1368	2488	517	1737	1124	2480	1926	643	2311	2231	1804	3	1778	1788	1994	2711	4316	20	40785
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter didelphidarum	291	826	415	152	442	245	1134	491	438	824	589	683	576	818	559	709	775	0	588	384	528	733	2024	7	14231
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium wakonense	28	1336	423	101	334	252	0	1367	1	1315	664	2	753	1561	0	579	165	0	0	741	0	582	491	1	10696
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister propionicifaciens	824	106	333	391	545	226	840	36	566	31	57	1048	53	39	834	34	789	0	784	37	517	628	103	6	8827
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium parvum	334	415	277	120	171	219	424	588	335	621	424	480	407	809	492	268	218	1	378	524	215	519	147	4	8390
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter helveticus	87	189	192	63	216	203	572	146	328	134	211	421	303	109	219	144	643	0	467	151	308	244	1168	3	6521
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	1	2138	0	0	1	4	0	81	369	745	607	0	3	828	1	174	0	0	0	113	1	72	52	1	5191
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccae	73	123	462	77	258	69	342	318	72	339	102	215	323	446	351	330	188	0	130	166	160	258	301	0	5103
