tax	hdz-049-e1-s346	hdz-201-e1-s347	hdz-202-e1-s348	hdz-410-e1-s349	hdz-411-e1-s350	hdz-418-e1-s351	hdz-419-e1-s352	hdz-427-e1-s353	hdz-428-e1-s354	hdz-429-e1-s355	hdz-435-e1-s356	hdz-436-e1-s357	hdz-454-e1-s358	hdz-455-e1-s359	hdz-456-e1-s360	hdz-457-e1-s361	hdz-458-e1-s362	hdz-459-e1-s363	hdz-460-e1-s364	hdz-467-e1-s365	hdz-468-e1-s366	hdz-469-e1-s367	hdz-470-e1-s368	pl-ntc-016-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	4	12	16	26	1	2	7	1	0	1	3	5	5	1	4	2	1	1	3	0	0	3	4	0	102
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	4	6	6	0	0	2	0	6	1	2	7	16	26	2	1	1	0	3	4	6	1	2	3	0	99
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	4	2	2	0	1	2	2	5	2	19	2	1	2	7	7	3	3	1	9	2	0	11	11	0	98
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tarantellae	5	0	0	0	1	0	0	2	0	29	0	29	4	0	0	2	0	0	8	0	0	0	13	0	93
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	2	1	1	0	2	4	2	4	1	9	3	4	4	5	7	3	4	3	8	2	4	5	15	0	93
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	3	0	1	0	0	0	4	3	1	9	1	3	2	7	3	2	4	2	8	3	4	15	10	0	85
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	3	4	2	1	2	6	1	2	4	2	3	6	5	4	6	2	1	2	12	6	1	3	5	0	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	1	5	0	2	1	2	3	7	7	3	0	12	6	1	1	4	4	2	2	5	0	9	4	0	81
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	7	10	0	5	0	0	0	5	4	2	3	4	6	4	1	9	4	7	1	2	2	1	0	0	77
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	1	3	7	5	1	0	2	5	4	2	3	5	2	6	8	4	3	4	0	1	1	2	5	0	74
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	6	2	6	1	2	0	0	4	2	4	2	3	11	3	4	5	0	3	2	5	1	4	4	0	74
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	1	2	2	0	0	0	1	3	0	1	5	12	27	4	2	0	0	0	3	1	7	3	0	0	74
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	6	0	2	0	0	1	0	3	0	14	0	10	9	6	3	1	3	3	1	1	1	3	0	0	67
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	0	1	7	2	0	4	1	5	2	4	0	11	1	6	1	1	6	1	6	2	2	1	2	0	66
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	4	0	0	0	0	0	0	26	2	0	0	0	0	20	1	1	0	0	0	1	2	4	1	0	62
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	1	0	0	0	2	1	0	7	1	2	2	2	2	2	0	10	1	1	4	2	9	8	3	0	60
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	4	1	2	3	2	0	2	2	4	2	3	5	3	4	3	2	3	3	0	2	0	3	6	0	59
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus saprophyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	59
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter schindleri	0	0	3	1	0	0	27	0	4	5	0	0	0	0	0	8	3	0	0	0	0	0	0	0	51
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus	0	0	2	0	0	0	3	6	0	4	0	8	6	1	4	0	1	4	1	2	0	4	3	0	49
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus pseudoxylosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	2	2	3	2	0	1	0	0	0	2	4	4	5	2	3	0	2	3	0	0	6	1	6	0	48
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	1	0	0	0	3	1	0	1	0	1	0	2	5	4	0	2	0	0	0	3	1	4	15	0	43
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	0	2	4	1	1	0	0	1	1	1	0	6	4	2	2	2	2	3	1	2	1	0	7	0	43
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	0	0	2	0	2	0	0	1	1	9	0	3	3	5	1	1	3	2	0	0	3	3	4	0	43
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	3	2	1	1	0	1	1	1	0	1	2	4	1	2	1	4	3	3	0	5	3	1	2	0	42
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	0	1	0	0	0	0	3	0	0	3	0	3	2	1	2	4	6	0	3	1	8	1	3	0	41
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus;Jeotgalicoccus halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	40
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter kanungonis	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	40
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	2	0	0	0	0	2	0	4	0	4	2	5	1	3	3	4	1	0	2	4	3	0	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	1	2	3	2	3	1	1	1	1	1	3	4	3	0	2	1	1	4	1	1	2	1	1	0	40
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	2	0	0	1	0	3	0	6	0	1	0	2	5	10	1	1	0	0	3	0	2	0	1	0	38
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	2	3	0	2	2	0	2	5	1	1	2	0	0	2	1	4	0	4	0	0	2	2	2	0	37
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;Solibacillus silvestris	0	0	0	0	0	0	28	0	5	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	0	0	0	0	0	0	0	0	0	1	0	1	18	8	2	2	0	1	0	0	1	2	1	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	6	6	22	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	0	0	2	0	0	1	1	1	0	2	0	2	6	3	3	5	0	0	4	0	2	1	2	1	36
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parafannyhessea;Parafannyhessea umbonata	1	0	0	2	1	2	1	4	0	1	0	5	0	3	6	1	0	0	1	0	0	3	2	0	33
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	0	0	2	4	0	1	4	0	1	0	2	2	0	0	1	0	3	1	1	0	4	5	2	0	33
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax antarcticus	0	0	0	0	0	0	2	0	28	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter cronae	0	0	1	0	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	31
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum faecicola	1	0	0	0	1	4	2	1	0	1	0	1	2	3	1	1	3	2	1	2	3	0	1	0	30
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;Dialister pneumosintes	3	0	0	0	1	1	0	0	0	1	0	1	2	1	2	1	5	1	0	6	2	2	1	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter amalonaticus	0	0	1	0	0	0	1	0	0	1	0	0	4	1	0	8	4	0	3	0	5	1	1	0	30
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	1	0	0	0	0	2	0	5	0	0	0	0	0	11	0	1	0	0	0	1	3	4	1	0	29
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella lascolaii	2	7	0	0	2	0	0	1	2	1	3	0	2	0	0	2	3	3	1	0	0	0	0	0	29
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Porcincola;Porcincola intestinalis	2	1	2	0	0	3	1	0	1	1	1	3	3	1	0	1	2	0	2	2	1	0	1	0	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus ureilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	28
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia;Kurthia populi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	13	0	0	0	7	0	0	0	28
