tax	hdz-001-s231	hdz-050-s232	hdz-057-s233	hdz-088-s234	hdz-090-s235	hdz-091-s236	hdz-092-s237	hdz-098-s238	hdz-103-s239	hdz-109-s240	hdz-157-s241	hdz-160-s242	hdz-162-s243	hdz-169-s244	hdz-170-s245	hdz-173-s246	hdz-174-s247	hdz-184-s248	hdz-204-s249	hdz-212-s250	hdz-214-s251	hdz-339-s252	hdz-437-s253	pl-ntc-011-ctrl	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	9	5	42	71	5	36	8	56	16	8	11	130	23	51	11	15	50	71	43	0	18	17	28	0	724
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	28	35	22	16	18	20	27	27	35	23	36	27	44	26	63	28	37	22	42	4	53	55	16	0	704
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	14	14	30	72	23	74	18	66	16	20	12	22	23	41	29	28	46	63	26	0	16	19	10	1	683
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	51	9	10	12	6	26	6	9	39	1	8	10	18	23	22	41	49	47	20	27	15	7	128	0	584
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	27	24	18	18	14	24	19	25	9	20	38	48	30	27	30	18	28	60	5	1	19	21	19	0	542
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	18	14	21	17	17	14	2	18	30	6	13	52	11	23	11	13	24	68	18	0	21	2	12	0	425
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	33	11	28	9	4	9	5	11	15	1	22	31	16	17	9	12	30	29	14	2	11	15	25	1	360
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	15	22	18	9	5	12	5	11	5	6	12	20	22	23	12	42	33	44	4	0	14	1	7	0	342
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	41	3	28	29	8	21	8	13	17	5	3	14	19	11	14	16	15	18	16	4	7	9	22	0	341
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	56	0	10	10	13	13	8	11	5	1	6	11	5	16	8	14	13	30	16	11	1	3	48	0	309
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	9	15	11	15	5	12	2	17	12	11	10	24	16	18	11	6	25	30	2	0	15	11	4	0	281
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	37	3	12	3	5	4	1	3	11	1	7	21	4	15	6	8	5	17	11	32	10	2	62	0	280
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	10	2	15	27	5	17	5	31	6	6	5	10	4	9	4	5	16	20	24	0	6	20	11	0	258
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	19	6	0	17	2	22	2	15	2	6	2	5	11	20	13	0	27	3	24	4	1	1	53	0	255
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	11	1	0	9	0	2	11	0	5	0	3	46	6	0	1	79	5	7	2	53	0	0	13	0	254
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	19	5	13	9	5	15	2	7	3	2	4	14	6	6	10	16	35	21	14	10	4	3	30	0	253
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	13	9	11	6	4	17	7	4	13	2	5	19	11	3	22	14	23	19	6	9	11	3	21	1	253
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tarantellae	5	1	0	0	0	0	37	0	6	0	3	105	4	0	0	28	0	0	0	28	1	0	10	0	228
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	64	5	7	10	5	9	3	4	9	3	5	7	4	5	5	9	6	9	6	5	5	5	33	0	223
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	12	3	10	29	1	12	2	18	4	6	3	23	3	13	4	0	9	12	9	0	5	4	23	1	206
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	78	7	1	4	5	10	4	4	6	1	6	1	6	3	5	6	9	9	5	4	5	2	25	0	206
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	66	9	4	3	4	8	1	1	9	2	3	6	2	8	9	5	10	13	3	5	7	3	22	0	203
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	12	0	29	56	0	0	0	20	0	4	0	4	1	7	0	0	9	3	12	2	3	12	12	0	186
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	33	25	0	0	7	0	0	0	2	0	6	20	0	0	0	3	0	1	5	6	19	8	36	0	171
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	10	11	8	7	1	5	5	5	9	6	10	6	10	4	13	5	7	8	7	2	10	16	3	0	168
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	14	2	19	14	5	10	1	6	2	4	1	6	2	7	3	3	5	17	12	2	1	10	18	0	164
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	3	7	3	12	8	12	3	15	3	5	7	6	5	10	7	4	13	21	2	0	4	8	0	0	158
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	3	2	5	7	7	5	1	10	0	10	1	2	1	16	1	0	34	19	3	6	0	2	18	0	153
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	6	1	16	9	0	2	1	5	3	3	4	11	2	15	2	1	19	16	4	0	7	7	18	0	152
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	8	3	11	5	2	5	5	5	1	1	1	13	2	8	0	1	15	19	7	2	13	6	11	0	144
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	1	2	11	10	0	5	2	3	1	1	2	3	3	9	0	1	5	3	6	35	2	10	23	0	138
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	4	14	4	7	3	2	5	2	4	6	6	8	7	8	3	3	4	13	6	0	10	5	9	0	133
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	18	2	0	0	2	0	2	0	0	0	10	81	0	0	3	9	0	0	0	1	1	0	3	0	132
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	11	0	3	2	2	4	1	2	13	0	1	8	3	0	1	17	1	5	2	21	0	0	27	0	124
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	5	1	20	8	1	3	1	3	3	3	6	12	3	6	7	3	4	12	1	0	2	4	10	0	118
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus	0	0	1	2	6	0	6	1	6	0	6	30	17	3	14	3	2	12	0	1	5	0	3	0	118
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	8	3	3	2	4	1	1	1	11	1	2	1	19	2	3	1	1	6	3	8	0	0	33	0	114
