SequenceID,Pipeline,LibraryTube,LibraryBarcode,Final Library Concentration,Volume Added to Pool (uL),Run ID,Pooled Library Code,ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit, ExtractConcentration,ExtractBox,ExtractNotes,SampleID,SampleSubject,SampleDate,SampleCollectedBy,SampleNotes,SampleBox,Pooled Library ID,Pooled Library Code,Flow Cell Loaded By,Flow Cell ID,Flow Cell Type,Sequencer,MinION Position,Flongle Adapter,Kit,Run Date,Pipeline,Run Notes
HDZ-063-S1,16S,1,16S1,4.08,1,MIN_16_2024-5-16,hdz1,HDZ-063-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,66,HDZ Loris DNA Extracts Box 1,,HDZ-063,Culi,11/24/2023,HDZ Keepers,,2,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-064-S2,16S,2,16S2,2.91,1.4,MIN_16_2024-5-16,hdz1,HDZ-064-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,90,HDZ Loris DNA Extracts Box 1,,HDZ-064,Culi,11/23/2023,HDZ Keepers,,2,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-004-S3,16S,3,16S3,8.5,0.5,MIN_16_2024-5-16,hdz1,HDZ-004-E1,11/3/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,55,HDZ Loris DNA Extracts Box 1,,HDZ-004,Warble,10/28/2023,HDZ Keepers,Vaginal closure began,1,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-065-S4,16S,4,16S4,3.39,1.2,MIN_16_2024-5-16,hdz1,HDZ-065-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,27,HDZ Loris DNA Extracts Box 1,,HDZ-065,Culi,12/3/2023,HDZ Keepers,,2,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-066-S5,16S,5,16S5,4.11,1,MIN_16_2024-5-16,hdz1,HDZ-066-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,63,HDZ Loris DNA Extracts Box 1,,HDZ-066,Culi,11/30/2023,HDZ Keepers,,2,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-030-S6,16S,6,16S6,6.6,0.6,MIN_16_2024-5-16,hdz1,HDZ-030-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,21,HDZ Loris DNA Extracts Box 1,,HDZ-030,Warble,11/6/2023,HDZ Keepers,,1,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-021-S7,16S,7,16S7,2.93,1.4,MIN_16_2024-5-16,hdz1,HDZ-021-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,19,HDZ Loris DNA Extracts Box 1,,HDZ-021,Culi,10/28/2023,HDZ Keepers,,1,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-013-S8,16S,8,16S8,2.13,1.9,MIN_16_2024-5-16,hdz1,HDZ-013-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,42,HDZ Loris DNA Extracts Box 1,,HDZ-013,Culi,10/26/2023,HDZ Keepers,,1,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-067-S9,16S,9,16S9,2.97,1.4,MIN_16_2024-5-16,hdz1,HDZ-067-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,62,HDZ Loris DNA Extracts Box 1,,HDZ-067,Warble?,11/27/2023,HDZ Keepers,,2,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-011-S10,16S,10,16S10,6.3,0.6,MIN_16_2024-5-16,hdz1,HDZ-011-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,45,HDZ Loris DNA Extracts Box 1,,HDZ-011,Culi,10/29/2023,HDZ Keepers,,1,16S_HDZ-PL-001,hdz1,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
