"","lambchop17","lambchop18","lambchop25","lambchop37","lambchop44","lambchop46","lambchop48","lambchop50","lambchop55","lambchop70"
"lambchop17",0,0.759654090709274,0.712662515711994,0.939329239737831,0.875648050419947,0.853660877787509,0.943673563317188,0.872052608026996,0.833451489177109,0.91433082036453
"lambchop18",0.759654090709274,0,0.82706676915361,0.917968338848083,0.856127697175474,0.840519192701697,0.866558185765873,0.829144078301092,0.889960512401776,0.933538437924601
"lambchop25",0.712662515711994,0.82706676915361,0,0.898407105462634,0.817197131432691,0.823786318968445,0.890243550609584,0.793921752176146,0.793716812731334,0.871136658077225
"lambchop37",0.939329239737831,0.917968338848083,0.898407105462634,0,0.770866540807626,0.828532994680684,0.538911142091219,0.820059842424468,0.847587134436898,0.805208271181794
"lambchop44",0.875648050419947,0.856127697175474,0.817197131432691,0.770866540807626,0,0.540397015202996,0.786937761283892,0.608197523211735,0.671454515193966,0.767803710753091
"lambchop46",0.853660877787509,0.840519192701697,0.823786318968445,0.828532994680684,0.540397015202996,0,0.802227971037741,0.534023362087675,0.61992547287748,0.75770798582778
"lambchop48",0.943673563317188,0.866558185765873,0.890243550609584,0.538911142091219,0.786937761283892,0.802227971037741,0,0.801634274239079,0.845198509878249,0.845356532865916
"lambchop50",0.872052608026996,0.829144078301092,0.793921752176146,0.820059842424468,0.608197523211735,0.534023362087675,0.801634274239079,0,0.677298068868287,0.807685809291448
"lambchop55",0.833451489177109,0.889960512401776,0.793716812731334,0.847587134436898,0.671454515193966,0.61992547287748,0.845198509878249,0.677298068868287,0,0.725868844810007
"lambchop70",0.91433082036453,0.933538437924601,0.871136658077225,0.805208271181794,0.767803710753091,0.75770798582778,0.845356532865916,0.807685809291448,0.725868844810007,0
