"","jarjarbinks14","jarjarbinks15","jarjarbinks21","jarjarbinks29","jarjarbinks32","jarjarbinks44","jarjarbinks49","jarjarbinks68"
"jarjarbinks14",0,0.368846668031075,0.594877330861198,0.67291016054066,0.611798144382392,0.574762681640348,0.516114857722709,0.665062095632201
"jarjarbinks15",0.368846668031075,0,0.554031699456794,0.544172682181304,0.667289088892546,0.675734774423107,0.652857935175533,0.677334474037851
"jarjarbinks21",0.594877330861198,0.554031699456794,0,0.357454031337916,0.678913644066028,0.781714597770571,0.5731921805453,0.715632023068586
"jarjarbinks29",0.67291016054066,0.544172682181304,0.357454031337916,0,0.721127074031478,0.823990391391588,0.643321747255389,0.729058599983278
"jarjarbinks32",0.611798144382392,0.667289088892546,0.678913644066028,0.721127074031478,0,0.562867752779192,0.515277916965502,0.350840126901552
"jarjarbinks44",0.574762681640348,0.675734774423107,0.781714597770571,0.823990391391588,0.562867752779192,0,0.70911000668639,0.557935729578665
"jarjarbinks49",0.516114857722709,0.652857935175533,0.5731921805453,0.643321747255389,0.515277916965502,0.70911000668639,0,0.557072436300904
"jarjarbinks68",0.665062095632201,0.677334474037851,0.715632023068586,0.729058599983278,0.350840126901552,0.557935729578665,0.557072436300904,0
