"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.00958375053640395	0.00828689812830404	0.00657236748106872	0.00787288863441168	0.0124392336288247	0.00471428571428571	0.00342857142857143	0.01730796738664	0.00646087580760948
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae|g__Succinatimonas|s__Succinatimonas hippei"	0.00572164211128594	0.00600085726532362	0.00800114302043149	0.00629831090752934	0.0110094366599943	0.0137142857142857	0.006	0.00872550421971106	0.00689160086145011
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Wansuia|s__Wansuia hejianensis"	0.00786725790301817	0.00442920417202458	0.0142877553936277	0.0041511594617807	0.00529024878467258	0.0112857142857143	0.009	0.00486339579459305	0.00703517587939699
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides stercoris"	0.0517808611071377	0.000714387769681383	0.000714387769681383	0.00214715144574864	0.00142979696883043	0.000571428571428571	0.000571428571428571	0.00157345158060363	0.0050251256281407
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium porci"	0.0127306536976112	0.0102871838834119	0.0085726532361766	0.00386487260234755	0.0057191878753217	0.00485714285714286	0.00885714285714286	0.00257473895007867	0.00603015075376884
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola dorei"	0.00214561579173223	0.0042863266180883	0.00528646949564223	0.0135986258230747	0.0110094366599943	0.00642857142857143	0.00414285714285714	0.00643684737519668	0.00689160086145011
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides uniformis"	0.0128736947503934	0.00171453064723532	0.00514359194170596	0.00572573718866304	0.00271661424077781	0.00171428571428571	0.00228571428571429	0.00128736947503934	0.0248384781048098
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella seckii"	0.00328994421398942	0.00214316330904415	0.00200028575510787	0.00286286859433152	0.0174435230197312	0.00385714285714286	0.00185714285714286	0.0214561579173223	0.0031586503948313
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster bolteae"	0.0207409526534115	0.00742963280468638	0.00528646949564223	0.00271972516461494	0.00657706605661996	0.003	0.00514285714285714	0.00271778000286082	0.0031586503948313
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella sonnei"	0	0	0	0.0065845977669625	0.00543322848155562	0.0245714285714286	0.0118571428571429	0.00271778000286082	0.000143575017946877
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella flexneri"	0	0	0	0.00687088462639565	0.00514726908778953	0.0257142857142857	0.00985714285714286	0.00185953368616793	0.000143575017946877
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas rupellensis"	0.0120154484337005	0.00414344906415202	0.00171453064723532	0.00458058975093043	0.00843580211609951	0.001	0.00128571428571429	0.0107280789586611	0.00330222541277818
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella oris"	0.00157345158060363	0	0.00214316330904415	0.0156026338391068	0.00328853302830998	0.00128571428571429	0.000714285714285714	0.00286082105564297	0.0137832017229002
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor plautii"	0.00743813474467172	0.00142877553936277	0.00657236748106872	0.00286286859433152	0.00843580211609951	0.00385714285714286	0.00414285714285714	0.00100128736947504	0.00531227566403446
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera stantonii"	0.00328994421398942	0.00457208172596085	0.00271467352478926	0.00601202404809619	0.00414641120960824	0.00185714285714286	0.00228571428571429	0.0050064368473752	0.00402010050251256
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella herbatica"	0.00328994421398942	0	0.00171453064723532	0.0077297452046951	0.00543322848155562	0.000571428571428571	0.000428571428571429	0.00429123158346445	0.00789662598707825
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum"	0	0	0	0.0118809046664758	0	0	0	0	0.0153625269203159
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora celerecrescens"	0.0111572021170076	0.00142877553936277	0.00271467352478926	0.00100200400801603	0.00142979696883043	0.00228571428571429	0.00328571428571429	0.000429123158346445	0.0018664752333094
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides caccae"	0.00715205263910742	0	0.00128589798542649	0.00200400801603206	0.00171575636259651	0.000714285714285714	0.000428571428571429	0.000143041052782148	0.0106245513280689
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium callitrichos"	0	0	0	0.00730031491554538	0	0	0	0	0.0149318018664752
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium asaccharolyticum"	0.00357602631955371	0.00157165309329904	0.0018574082011716	0.00157457772688234	0.006720045753503	0.00114285714285714	0.00171428571428571	0.00214561579173223	0.0018664752333094
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella tanakaei"	0.00128736947503934	0.000142877553936277	0.00257179597085298	0.00443744632121386	0.00128681727194738	0.000142857142857143	0.000428571428571429	0.00457731368902875	0.00717875089734386
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium aesculapii"	0	0	0	0.00801603206412826	0	0	0	0	0.0133524766690596
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella faecalis"	0.000429123158346445	0.000714387769681383	0.000571510215745106	0.00472373318064701	0.00300257363454389	0.00185714285714286	0.00128571428571429	0.00314690316120727	0.00459440057430007
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bilifractor|s__Bilifractor porci"	0.0044342726362466	0.00142877553936277	0.00271467352478926	0.00157457772688234	0.00371747211895911	0.00128571428571429	0.00171428571428571	0.00171649263338578	0.00172290021536253
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena absiana"	0.0131597768559577	0.00114302043149021	0.00128589798542649	0.000572573718866304	0.000285959393766085	0.000571428571428571	0.001	0.000286082105564297	0.0018664752333094
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides humanifaecis"	0.000858246316692891	0.000285755107872553	0.00114302043149021	0.0030060120240481	0.00214469545324564	0.00328571428571429	0.00271428571428571	0.00185953368616793	0.00387652548456569
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris"	0.000429123158346445	0.000142877553936277	0.00585797971138734	0.00271972516461494	0.0010008578781813	0.000857142857142857	0.001	0.00371906737233586	0.00330222541277818
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium reuteri"	0	0	0	0.0118809046664758	0	0	0	0	0.0063173007896626
