"ID"	"warble_1"	"warble_2"	"warble_3"	"warble_4"	"warble_6"	"warble_7"	"warble_9"	"warble_10"	"warble_12"	"warble_14"	"warble_15"	"warble_20"	"warble_33"	"warble_42"	"warble_43"	"warble_45"	"warble_49"	"warble_50"	"warble_52"	"warble_53"	"warble_54"	"warble_57"	"warble_58"	"warble_60"	"warble_63"	"warble_68"	"warble_69"	"warble_73"	"warble_80"	"warble_83"	"warble_84"	"warble_85"	"warble_87"	"warble_88"	"warble_89"	"warble_90"	"warble_93"	"warble_94"	"warble_95"	"warble_96"	"warble_97"	"warble_100"	"warble_101"	"warble_103"	"warble_104"	"warble_106"	"warble_107"	"warble_108"	"warble_109"	"warble_110"	"warble_111"	"warble_112"	"warble_114"	"warble_117"	"warble_118"	"warble_119"	"warble_120"	"warble_121"	"warble_122"	"warble_123"	"warble_125"	"warble_126"	"warble_127"	"warble_135"	"warble_136"	"warble_137"	"warble_139"	"warble_140"	"warble_141"	"warble_144"	"warble_145"	"warble_147"	"warble_148"	"warble_149"	"warble_150"	"warble_151"	"warble_152"	"warble_153"	"warble_154"	"warble_157"	"warble_158"	"warble_159"	"warble_161"	"warble_162"	"warble_164"	"warble_170"	"warble_173"	"warble_178"	"warble_180"	"warble_181"	"warble_185"	"warble_187"	"warble_188"	"warble_189"	"warble_191"	"warble_192"	"warble_197"	"warble_200"	"warble_202"	"warble_221"	"warble_222"	"warble_224"	"warble_225"	"warble_227"	"warble_228"	"warble_229"	"warble_230"	"warble_232"	"warble_234"	"warble_236"	"warble_240"	"warble_243"	"warble_245"	"warble_247"	"warble_250"	"warble_251"	"warble_257"	"warble_262"	"warble_263"	"warble_265"	"warble_269"	"warble_272"	"warble_280"	"warble_282"	"warble_283"	"warble_286"	"warble_292"	"warble_293"	"warble_296"	"warble_307"	"warble_308"	"warble_310"	"warble_315"	"warble_318"	"warble_319"	"warble_324"	"warble_325"	"warble_326"
"fpt15"	0.47	0.96	1.16	1.02	0	0.71	0.53	0.96	0.29	0.04	0.02	0.02	0.02	0.02	0.11	0.16	1.07	0.38	0.07	0.07	0.11	0	0.24	0.64	0.13	0.36	0.24	0.04	0.33	0.02	0.02	0.07	0	0.02	0.2	0.02	2.54	0.09	0.04	0.11	0.11	0.13	0.13	0.04	0.22	0.09	0.02	0.04	0.02	0.13	0.02	0.33	0.11	0.11	0.13	0.11	0	0.38	0.16	0.09	0.02	0.07	0.18	7.55	5	3.56	0.02	0.42	0.6	0.11	0.42	5.46	0	1.78	0.24	0.71	1.09	5.28	0	1.67	0.49	0.36	0.09	0	0.04	26.15	3.81	2.65	0.27	2.36	1.31	1.38	2.57	0.09	0.6	0.02	0.27	0.51	0.62	0.04	0.2	0.11	0.11	0.09	0.09	1.49	0.89	2.14	0.07	0.49	0.02	0.47	1.38	0	0.11	0.05	0.07	0.29	0.27	0.04	0	0.11	0.04	0.27	0.22	0.76	0.76	0.49	0	0.29	0.56	0.07	0.38	0.13	0.02	0	0.09	0.53
"fpt16"	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.25	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.45	0	0.32	0.02	0	0	0	0	0.02	0	0	0	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0	0
"fpt17"	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.25	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.45	0	0.32	0.02	0	0	0	0	0.02	0	0	0	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0	0
"fpt18"	0.02	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.02	0	0	0	0	0	0	0	1.18	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.04	0	0	0	1.31	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.02	0	0	0	0	0	0.02	10.38	0.31	0.04	0.02	0	0	0.04	0	5.06	0	0	4.11	0	0.18	0	0	0	0.04	0	0.02	0	0	0	0	0	0.02	0	0.09	0	0.07	0	0	0	0	0	0
"fpt19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.45	0	0.41	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0
"fpt20"	15.21	19.38	17.09	16.87	5.81	23.93	17.67	19.91	20.64	9.27	7.32	15.58	14.54	17	12.43	18.39	17.13	16.01	11.02	14.79	11.56	7.98	16.83	18.83	9.6	18.71	10.07	9.07	14.01	18.42	6.73	23	11.13	9.74	12.67	15.13	36.65	10.64	5.2	11.16	10.92	10.66	10.56	10.87	11.16	12.87	9.42	10.4	13.51	8.62	12.62	9.87	20.03	10.34	9	10.52	6.53	41.52	9.25	11.69	16.76	15.9	39.58	36.57	38.38	30.49	17.91	16.82	21.24	18.54	22.05	35.12	6.18	22.18	16.37	17.61	20.69	37.05	11.62	26.19	19.79	14.75	10.85	34.88	16.05	50.76	21.44	35.7	21.08	21.97	27.19	23.47	19.42	14.77	26.44	71.26	17.61	19.86	27.84	15.22	20.45	11.7	22.62	14.56	17.87	31.35	21.09	26.81	19.15	18.85	33.77	31.88	36.23	64.57	16.83	88.17	37.68	18.83	16.72	23.13	10.63	12.79	11.24	17	18.31	21.69	11.19	8.13	6.39	24.05	14.88	16.95	17.83	16.71	7.49	7.18	20.88	13.64
"fpt21"	0.73	1.69	0.16	0.4	0.09	0.31	0.31	0.85	0.31	0.33	0.44	0.13	1.13	0.6	1.2	0.16	0.38	0.34	0.24	0.4	0.2	0.24	0.2	1	0.13	0.53	0.64	1.64	0.62	0.56	0.16	1.25	0.56	0.33	0.51	0.56	6.94	0.73	0.18	0.76	2.62	0.65	0.31	5.08	0.44	0.58	0.53	0.71	0.49	0.44	0.51	0.47	0.6	0.33	0.47	0.58	0.6	2.34	0.33	0.33	0.56	21.13	25.15	0.31	0.74	0.56	0.78	0.82	0.96	0.42	1.45	0.6	0.89	0.8	0.51	0.2	0.56	0.78	0.22	2.48	0.67	1.27	0.29	4.23	2.59	1.12	1.87	0.58	1.16	0.56	1.2	0.56	15.29	1.05	1.29	6.04	1.25	1.03	1.62	0.42	0.47	0.49	27.4	1.4	0.36	0.73	1.45	1.09	2.97	0.33	31.33	4.11	1.4	75.16	0.27	48.89	1.89	0.42	0.56	5.38	0.36	0.72	1.11	1.65	1.09	2.23	0.67	1.14	0.51	10.31	0.33	5.52	1.76	2.45	0.96	0.89	3.01	0.42
"fpt22"	0.13	0.62	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0.13	0	0.13	0	0.04	0.02	0.02	0	0	0	0	0	0	0	0.04	0.09	0	0.51	0.04	0	0	0	0.24	0.11	0	0	0.04	0.09	0.02	0.07	0.04	0	0	0	0	0.04	0.02	0	0	0.02	0.02	0	0	0.25	0	0	0.07	0.07	0.98	0	0	0	0.09	0	0	0.02	0.07	0	0	0.18	0	0	0.02	0.02	0	0	0	0.04	0	0.58	0	0	0	0	0	0	0	0	0.07	0	0	3.52	0	0.2	0	0	0.04	0.02	0	0	0.07	0.02	0.02	0.02	0.02	0.04	0	1.79	0.42	0	0	1.58	0.04	0	0.11	0.13	0.02	0	0	0.33	0.02	0	0	0	0	0.36	0	0.02	0.03	0.02	0	0.16	0.11	0
"fpt23"	0.16	0.62	0	0.02	0.02	0.07	0	0	0	0	0.02	0	0	0.07	0.13	0	0.13	0	0.04	0.02	0.07	0.02	0	0	0.02	0.16	0	0.58	0.11	0.11	0.02	0.51	0.04	0	0	0.09	0.38	0.2	0	0.2	0.11	0.24	0.04	1.27	0.11	0	0.04	0.02	0.18	0.09	0.07	0	0	0.04	0.07	0.07	0.02	0.29	0.04	0.11	0.07	1.42	1.36	0	0	0	0.09	0.04	0.09	0.02	0.07	0.09	0	0.18	0	0	0.02	0.2	0	0.02	0.04	0.04	0	0.58	0	0	0	0.02	0.04	0.02	0.07	0	0.13	0.02	0.09	3.54	0.02	0.27	0.16	0	0.04	0.04	10.38	0.31	0.11	0.04	0.02	0.04	0.07	0.04	5.06	1.79	0.42	3.66	0	1.67	0.04	0	0.11	0.18	0.02	0.02	0	0.33	0.02	0.02	0.02	0.02	0	0.45	0	0.09	0.03	0.02	0	0.16	0.11	0
"fpt24"	0.04	0.58	0	0.02	0.02	0	0	0	0	0	0.02	0	0	0	0.13	0	0.13	0	0.04	0.02	0.07	0	0	0	0	0	0	0	0.04	0.09	0	0.18	0.02	0	0	0.02	0.18	0.11	0	0	0.02	0.09	0.02	1.25	0.04	0	0	0	0	0.04	0.07	0	0	0.02	0.02	0	0	0.29	0	0	0.07	1.4	1.3	0	0	0	0.09	0	0.04	0.02	0.07	0	0	0.18	0	0	0.04	0.02	0	0	0	0.04	0	0.78	0.02	0	0	0	0	0	0	0	2.17	0	0	2.6	0	0.02	0	0	0.04	0.04	15.63	0.42	0.13	0.07	0.04	0.02	0.11	0.04	6.76	0.47	0.02	5.26	0.02	1.96	0.04	0	0.13	0.2	0.04	0.04	0	0.38	0.2	0.07	0.02	0.07	0	0.69	0.02	0.09	0.03	0.02	0	0.16	0.33	0
