"ID"	"Function"
"fpt98"	"Lipoic acid (Lipoate) -- Consumption"
"fpt99"	"Lithocholic acid -- Production"
"fpt100"	"Maltose -- Consumption"
"fpt101"	"Mannan -- Macromolecule"
"fpt102"	"Melibiose -- Consumption"
"fpt103"	"Menaquinone (Vitamin K2) -- Production"
"fpt104"	"Methanol -- Production"
"fpt105"	"Mucin (Mucus Glycoprotein) -- Macromolecule"
"fpt106"	"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"
"fpt107"	"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"
"fpt108"	"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"
"fpt109"	"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"
"fpt110"	"NH3 (Ammonia, NH4+, Ammonium) -- Production"
"fpt111"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"
"fpt112"	"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Production"
"fpt113"	"Nitrate (NO3-) -- Consumption"
"fpt114"	"Nitrite (NO2-) -- Consumption"
"fpt115"	"Pantothenic acid (Vitamin B5, Pantothenate) -- Consumption"
"fpt116"	"Pectin -- Macromolecule"
"fpt117"	"Pentanol -- Production"
"fpt118"	"Phenylacetate -- Production"
"fpt119"	"Phenylethylamine -- Production"
"fpt120"	"Polypeptide -- Macromolecule"
"fpt121"	"Propanoate (Propionate) -- Consumption"
"fpt122"	"Propanoate (Propionate) -- Production"
"fpt123"	"Propanol (n-propanol, 1-Propanol) -- Production"
"fpt124"	"Putrescine -- Production"
"fpt125"	"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"
"fpt126"	"Pyruvate -- Consumption"
"fpt127"	"Pyruvate -- Production"
"fpt128"	"Raffinose -- Consumption"
"fpt129"	"Riboflavin (Vitamin B2) -- Consumption"
"fpt130"	"Riboflavin (Vitamin B2) -- Production"
"fpt131"	"Spermidine -- Production"
"fpt132"	"Stachyose -- Consumption"
"fpt133"	"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"
"fpt134"	"Stearic acid (Stearate, Octadecanoate) -- Production"
"fpt135"	"Succinate -- Production"
"fpt136"	"Sucrose -- Consumption"
"fpt137"	"Sulfate (Sulfuric acid, Sulfite) -- Consumption"
"fpt138"	"Tauro-b-muricholic acid -- Consumption"
"fpt139"	"Taurocholate -- Consumption"
"fpt140"	"Thiamine (Vitamin B1, Thiamin) -- Consumption"
"fpt141"	"Thiamine (Vitamin B1, Thiamin) -- Production"
"fpt142"	"Thiosulfate -- Consumption"
"fpt143"	"Trehalose -- Consumption"
"fpt144"	"Triglyceride -- Macromolecule"
"fpt145"	"Trimethylamine -- Production"
"fpt146"	"Tyramine -- Production"
"fpt147"	"Urea -- Consumption"
"fpt148"	"Urea -- Production"
"fpt149"	"Valerate (Pentanoic acid, Pentanoate) -- Consumption"
"fpt150"	"Valerate (Pentanoic acid, Pentanoate) -- Production"
"fpt151"	"XOS (Xylooligosaccharide) -- Consumption"
"fpt152"	"Xylan -- Macromolecule"
