"ID"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"fpt104"	0	0	0	0	0.03	0.03	0	0.01
"fpt105"	7.95	5.03	2.56	2.16	2.53	6.56	3.49	2.79
"fpt106"	0.2	0.19	0.06	0.06	0.21	0.26	0.26	0.24
"fpt107"	0.01	0	0	0	0.06	0.04	0.01	0.14
"fpt108"	2.14	1.86	0	0	0	0.16	0	0.01
"fpt109"	4.32	2.44	0.01	0	0.17	4.25	0.04	0.17
"fpt110"	0.3	0.26	0	0	0.17	0.24	0.16	0.26
"fpt111"	1.26	2.06	0.24	0.67	2.3	1.5	0.29	0.73
"fpt112"	0	0	0	0	0.03	0.01	0	0.01
"fpt113"	14.48	26.24	12.61	26.24	11.54	2.86	9.44	16.63
"fpt114"	0.14	0.11	0.16	0.3	0.49	0.1	0.31	0.49
"fpt115"	0.21	0.24	0	0	0.03	0.04	0	0.01
"fpt116"	0.03	0.03	0.01	0	0.19	0.44	0.4	0.31
"fpt117"	0	0	0	0	0.03	0.01	0	0.01
"fpt118"	0	0	0	0	0	0.01	0	0
"fpt119"	0.01	0	0	0	0.06	0.04	0.01	0.14
"fpt120"	0.1	0.03	0.03	0.06	0.33	0.1	0.34	0.29
"fpt121"	0.01	0.03	0.01	0	0.13	0.03	0.39	0.17
"fpt122"	18.82	28.7	12.86	26.29	11.67	7.09	9.57	16.99
"fpt123"	0	0	0	0	0	0	0.01	0.01
"fpt124"	0.01	0	0	0	0.09	0.1	0.01	0.16
"fpt125"	0.01	0	0	0	0.09	1.27	0.14	0.11
"fpt126"	0	0	0	0	0	0.03	0	0.01
"fpt127"	0.03	0	0	0	0	0.01	0	0
"fpt128"	20.37	29.38	21.51	31.57	19.53	10.57	19.86	26.43
"fpt129"	0	0	0	0	0	0	0	0.01
"fpt130"	0	0	0	0	0.03	0.01	0	0.01
"fpt131"	0	0	0	0	0	0.01	0	0
"fpt132"	0.1	0.1	0.04	0.06	0.13	0.03	0.23	0.09
"fpt133"	7.92	6.63	6.07	7.6	7.61	5.94	8.21	10.11
"fpt134"	0	0	0	0	0.01	0	0.1	0.03
"fpt135"	19.09	27.41	18.57	27.93	18.26	11.96	16	19.88
"fpt136"	19.73	29.12	21.51	31.57	19.41	8.76	19.75	26.35
"fpt137"	0	0	0	0	0.03	0.01	0	0.01
"fpt138"	0.01	0	0	0	0.07	0.01	0.1	0.07
"fpt139"	0.01	0	0	0	0.07	0.01	0.1	0.07
"fpt140"	0	0	0	0	0.03	1.26	0	0.03
"fpt141"	0	0	0	0	0.03	0.01	0	0.01
"fpt142"	0	0	0	0	0.03	0.01	0	0.01
"fpt143"	17.37	27.92	15.26	28.53	14.82	6.62	13.54	19.59
"fpt144"	0	0	0	0	0	0	0	0.01
"fpt145"	0.01	0.03	0	0	0.03	0.03	0	0.03
"fpt146"	0.01	0	0	0	0.06	0.04	0.01	0.16
"fpt147"	0.21	0.23	0	0	0.04	1.29	0.01	0
"fpt148"	2.63	1.49	2.54	2.16	2.4	3.28	3.46	2.6
"fpt149"	0.01	0.03	0.01	0	0.13	0.03	0.39	0.17
"fpt150"	0	0	0	0	0	0.01	0	0
"fpt151"	0	0	0	0	0	0.01	0.01	0.01
"fpt152"	0.77	0.59	0.03	0	0.26	1.25	0.44	0.36
