"","ivy24","ivy29","ivy36","ivy44","ivy46","ivy47","ivy70"
"ivy24",0,0.198591705978141,0.533333242680538,0.17052125858836,0.264738779831559,0.207572783424138,0.21173608590232
"ivy29",0.198591705978141,0,0.570466359333942,0.206310168431786,0.123360263514632,0.221355000323522,0.154263327144627
"ivy36",0.533333242680538,0.570466359333942,0,0.530601399052246,0.612906248170022,0.401747047887159,0.574014347587833
"ivy44",0.17052125858836,0.206310168431786,0.530601399052246,0,0.231530866593349,0.268112710232949,0.172820765115553
"ivy46",0.264738779831559,0.123360263514632,0.612906248170022,0.231530866593349,0,0.293161933148029,0.16427595580131
"ivy47",0.207572783424138,0.221355000323522,0.401747047887159,0.268112710232949,0.293161933148029,0,0.255415083910743
"ivy70",0.21173608590232,0.154263327144627,0.574014347587833,0.172820765115553,0.16427595580131,0.255415083910743,0
