"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales"	0.331712201401802	0.511787398199743	0.374624946420917	0.29931291153736	0.268515870746354	0.252285714285714	0.452857142857143	0.382777857245029	0.24967695620962
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales"	0.15376913174081	0.194884983569081	0.111444492070296	0.20526767821357	0.185587646554189	0.0757142857142857	0.057	0.124445715920469	0.28183776022972
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales"	0.254756115005006	0.0930132876125161	0.145592227461066	0.0734325794446035	0.125250214469545	0.0948571428571429	0.0974285714285714	0.0678014590187384	0.122900215362527
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales"	0.145758832785009	0.0781540220031433	0.206886698099729	0.0803034640709991	0.179868458678868	0.0575714285714286	0.0955714285714286	0.112144185381204	0.0580043072505384
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales"	0	0	0.00314330618659809	0.106641855138849	0.0679153560194452	0.425	0.200714285714286	0.0630811042769275	0.00890165111270639
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales"	0.0802460306107853	0.106443777682526	0.0862980425775111	0.0770111651875179	0.0992279096368316	0.0612857142857143	0.0714285714285714	0.134601630668002	0.0746590093323762
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales"	0.00457731368902875	0.00685812258894128	0.00900128589798543	0.0533924992842829	0.0428939090649128	0.009	0.00685714285714286	0.0503504505793163	0.0548456568557071
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales"	0.00729509369188957	0.00285755107872553	0.0311473067581083	0.0251932436301174	0.00986559908492994	0.00285714285714286	0.00585714285714286	0.0281790873980832	0.0403445800430725
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales"	0	0	0	0.0629831090752934	0	0	0	0	0.0828427853553482
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales"	0.0141610642254327	0	0.022717531075868	0.00916117950186086	0.00943665999428081	0.00728571428571429	0.00457142857142857	0.0195966242311543	0.0139267767408471
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales"	0.00572164211128594	0.00600085726532362	0.00800114302043149	0.00629831090752934	0.0110094366599943	0.0138571428571429	0.00628571428571429	0.00872550421971106	0.00717875089734386
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales"	0.000286082105564297	0	0.00085726532361766	0	0.000142979696883043	0.000142857142857143	0.001	0.00529251895293949	0.000143575017946877
"k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales"	0.000858246316692891	0	0.000142877553936277	0.000858860578299456	0.000142979696883043	0	0.000142857142857143	0.000572164211128594	0.00459440057430007
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales"	0.000286082105564297	0	0	0	0.000142979696883043	0	0	0.000858246316692891	0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales"	0.000143041052782148	0	0	0	0	0.000142857142857143	0.000285714285714286	0.000572164211128594	0
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales"	0	0	0	0	0	0	0	0.00100128736947504	0
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales"	0.000429123158346445	0	0	0	0	0	0	0	0.000143575017946877
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales"	0	0	0.000142877553936277	0.000143143429716576	0	0	0	0	0
