"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"ko00010"	0.00804235999772808	0.00794271366668415	0.00795982237296149	0.00833061867605535	0.00800374602669606	0.00896508028212683	0.00811411816944052	0.0088804849446972	0.00964977466725345	0.0106493989363817	0.0091291781096661	0.00899250543538177	0.00967910323584703	0.00877493218768019	0.00957929452034333	0.00933691567574478	0.0106192739449879	0.00962413686135503	0.0100405898959657	0.00841308920949391	0.0106389632027261	0.0103253746281398	0.0102657440099399	0.00886547295726895	0.00985516514088602	0.0113678010209288	0.00906441572281807	0.0107723804841638	0.00896743702314627	0.0100370410901194	0.0104402305448771	0.0108981400047068	0.00961007552036203	0.0102711211477895	0.0099271328185113	0.00886253132635259	0.00966068779860247	0.0087859594764265	0.00894171684442778	0.00977841813470596	0.00971652899843134	0.0103096383659088	0.0101102908209192	0.0110403698981264	0.0101134340437847	0.00817185337433077	0.0105780490362511	0.0093696200744523	0.00976883856125364	0.0097498341104602	0.00759396472598866	0.00859867964346704	0.00929732408535479	0.00951884382882186	0.00877905328024939	0.00941304216789074	0.0112299610523134	0.00951265800453383	0.0102283240430589	0.0107025635431644	0.0114124057968044	0.00831533231377314	0.0104918289321905	0.00938849324835783	0.00939801198682599	0.00809927721227594	0.00814008526175129	0.0072419880468385	0.00848067692244801	0.0108184586518623	0.010758780470678
"ko00020"	0.00801211701056087	0.00815729523967557	0.00805855019508542	0.00793504453336922	0.00821174865950322	0.00757776995818295	0.00797468397995117	0.0075221248791323	0.00721067449298626	0.00679202943992921	0.00755641010716233	0.00763112546528655	0.0074667632620086	0.00778386400837014	0.00759454179011836	0.00750163525810462	0.00686855854413337	0.00735699250215778	0.00723282206059032	0.00801365478197095	0.00704121928083695	0.00716189589418622	0.00716150865393235	0.00789578603618164	0.00737366315645248	0.00575819381874684	0.00722854968397126	0.00692661359178458	0.00764812161500567	0.006966130431922	0.00684079102330029	0.00661785119356419	0.00745083291511652	0.0069496639960978	0.00682350245272211	0.00748014776063645	0.00700709186814909	0.00768575420758075	0.00773604994937939	0.0071845622990274	0.00704873018916659	0.00690475576291827	0.00684298246434813	0.00609844193603739	0.00686289375538372	0.00795893680495029	0.00663102082931849	0.00733411014686993	0.00711999127299543	0.00724346157453137	0.00808898545544303	0.00779556905566957	0.00729894967810691	0.00721583462297692	0.00775176249743695	0.00734232093741432	0.00606003474046514	0.00618047390754255	0.00694951632469568	0.00635564438804716	0.00608598618273574	0.00772144896590759	0.00697945130354752	0.00719182958375613	0.00712740685591813	0.00807456367351759	0.00796247900619393	0.0082273697965815	0.00754804602188452	0.00661310286964195	0.00645322327532183
"ko00030"	0.00444370621685162	0.00430890090527513	0.00442528208378165	0.00450079911896943	0.00429653759007284	0.00485964031030622	0.00447476109231072	0.00489254592621584	0.00506526620637299	0.00560838997522878	0.00489048539172795	0.00485046170961553	0.00512508872984612	0.00466055875675183	0.00495705168358662	0.00489076017396231	0.00541475092863338	0.00505329947302966	0.00534556042300999	0.00444227274195778	0.00558839744764122	0.00544253026255825	0.00554330083721672	0.00465082731543395	0.00501240185846869	0.00583633668596286	0.00506901492595022	0.00542867981407145	0.00482877706481627	0.0054030988893242	0.0056178309660303	0.00579961184190588	0.00510971793468217	0.0055426060515838	0.00531700463792715	0.0047969539762495	0.00539235325859455	0.00474082063854033	0.00485723858872972	0.00533660109610642	0.00526366527311088	0.00551155118503825	0.00555196219148053	0.00613430006172298	0.00566603766913136	0.00452053063624727	0.0057729537152787	0.00510240996956865	0.00532592793240124	0.00517875650302949	0.0043482526635632	0.00466059758373279	0.00499012901819919	0.00506549217336628	0.0046741254876623	0.00501749403374127	0.00608277899937635	0.00549347739257727	0.00551213293951725	0.00596215727224858	0.0063065604711351	0.00469217491841413	0.00533459711201838	0.00494520182711973	0.00520511865193216	0.00434953878161855	0.00434086170285746	0.00405510354487937	0.00457972639228935	0.00574256467374702	0.00586171623344369
"ko00040"	0.0018689122967118	0.00169522911253753	0.00184565074588093	0.0020947693449106	0.00165606486612619	0.0024472623977877	0.00191805711549254	0.00258225151412796	0.0031088210236795	0.00341394765932008	0.00264377216433946	0.00255035706978566	0.00300789522877709	0.00221211568120845	0.00259042563444845	0.00248152426327858	0.00334155187890071	0.00280385524894746	0.0033278605920795	0.0020790846884946	0.00383491846994046	0.00333936877331528	0.00376756224556204	0.00238984898459021	0.00294093047441262	0.00309812372075924	0.00283329034224689	0.00320077355130814	0.00270348178142344	0.00292521107677064	0.00335378779154021	0.00358043175947562	0.00262836705424985	0.00343063867140072	0.00308201146979806	0.00250005093107974	0.0031676908366535	0.00250938480232254	0.00258209361268071	0.00323440104740567	0.00316910215258256	0.00348978047509119	0.00246785336387579	0.00456170832848145	0.00388104481088462	0.00206790541608504	0.00407669122373087	0.00301888029827197	0.0032071859977333	0.00298604193304928	0.00185898643271359	0.00237069969338382	0.00290364868889099	0.00297875130992452	0.00239740338084672	0.00266974301139202	0.0046200442371099	0.00336230651876791	0.00374748638578712	0.00410100903155138	0.00500712613512779	0.00241676985682633	0.00331305504317841	0.00287568681065227	0.00284638952178332	0.00183490294516622	0.00199925365541424	0.00152061567105026	0.00211871857926983	0.00399406521067034	0.00407228079203154
"ko00051"	0.00495940827039551	0.00491710203858282	0.00539714932333075	0.00576713747670175	0.00525771252436099	0.0063887408964789	0.00494291816083349	0.00626370487847234	0.00666603332804065	0.00880972791845146	0.00674121458431909	0.00590004531500627	0.00665528256826857	0.00555626614156675	0.00692617249454718	0.00643412802320543	0.00714429233565326	0.0067149508117754	0.00748457139466523	0.00532143009653689	0.0082129040470657	0.00814048004938092	0.0077035752944677	0.00614645346439173	0.00729623262055789	0.00628789676757663	0.00651368365920047	0.00841621349915888	0.00639892337009261	0.0081639193742833	0.00864227623029752	0.00929152002634582	0.00763054135553905	0.00836223459042667	0.0070221868964188	0.00616363968884326	0.0076542344688302	0.00568487048869851	0.00586931897192923	0.00735749408858225	0.00665813990027272	0.00816110612715544	0.00736866554520376	0.0102405028035752	0.00824161130433285	0.00539504370866815	0.00974663082388702	0.0072253559293769	0.00739093456203059	0.00717147572785172	0.00486599037184482	0.00527888559058093	0.0063653746063622	0.00642722689314483	0.00639716547128884	0.00660923901092868	0.0073861999142866	0.00654093271924653	0.00710822059435474	0.0102638209004186	0.0119403098100061	0.00600582552113728	0.00851266219432858	0.00672614992981273	0.00722742172763302	0.00556459010591561	0.00523135460158652	0.00460452514585499	0.00541341437226749	0.0092531144023905	0.00976356383977154
"ko00052"	0.00320329356601582	0.00311578541311035	0.00326887320967094	0.00340513240215188	0.00329932575370706	0.00395364580219231	0.00334917376283335	0.00407474223916375	0.00431952375058194	0.0054297348555617	0.00425548249112515	0.00413949819747965	0.00428115998339896	0.0038073977741636	0.00443912300796281	0.00411747597746439	0.00498603836677376	0.00448493401720957	0.00476505391793126	0.00333948887162583	0.00495948913590042	0.00476248613308168	0.00484001574708191	0.00367016957369411	0.0043958376569699	0.00387348600506367	0.0041414722801931	0.00497054193428423	0.00392808471399328	0.00485788114273285	0.00530390053139581	0.00560079256227369	0.00454042253252717	0.0051193889073472	0.00462138315058984	0.00403902049269587	0.00487396741749228	0.00368772442928062	0.00378031593210043	0.00453003409039924	0.00465645975935541	0.00517168299119427	0.00456235993200111	0.0058918307970592	0.0051623246367542	0.00331460859040884	0.00545371713132423	0.00433504942318261	0.00463829475267583	0.00436445892332813	0.00323082643825005	0.00340082555154676	0.00411864314082316	0.00440092395761916	0.00393439694980283	0.00408466404240547	0.00559406630666046	0.00518614993993162	0.00509734400175155	0.00567128421894737	0.00644652314850679	0.0039572656491995	0.00475960687521107	0.00399823084098142	0.00448392712435176	0.00345665782995969	0.00322613493747786	0.00293229783476651	0.00307001924875402	0.00547231529039343	0.00557343205973135
"ko00053"	0.000574028377247713	0.000498366415521645	0.000808761756504348	0.000781481703830689	0.000484501345697979	0.000837628403555057	0.000525909394157306	0.000772053941093671	0.000810464993646115	0.00128423630573089	0.000800173475090577	0.000683102618099237	0.000792969174348473	0.000627732088105113	0.000755516838527847	0.000866855392075804	0.000991494037748006	0.000774961608540824	0.00089324596268855	0.000541902853152947	0.000981905829289023	0.000999783121082285	0.000934545809714751	0.000595471067548686	0.000736386886580677	0.00175996147998079	0.00089703063460471	0.00112572176060067	0.00070496735833301	0.00133807434289249	0.00111206116972406	0.00154168665396936	0.00085741790220854	0.00129492648034857	0.00114180851779183	0.000694444552449958	0.00112862872173969	0.000645962752991331	0.000717252222593263	0.00107546426507029	0.000948944359134319	0.00105161536317313	0.0015596900599021	0.00247900768691372	0.00139574936171794	0.000643862277016514	0.00215143410340251	0.00122192305120014	0.00126439485932911	0.000917543368191984	0.000512378152279443	0.000596139969405931	0.000815380288326613	0.000901290918074746	0.000605659438570142	0.000945895046998958	0.00135942567703567	0.00148911279201633	0.00091200853075427	0.00234337721955635	0.00291922738459423	0.000575614575930863	0.00107737144567388	0.000949659500825499	0.00093326967200067	0.000481817814409051	0.000458990450821973	0.00034083292439525	0.000637028538790904	0.00204442355801926	0.00221391655496707
"ko00061"	0.00646111707905777	0.00649257791644552	0.00651797241360215	0.00622111932492414	0.00640915122956335	0.00611241900464517	0.00635102543989522	0.00591295682612452	0.00546763858729736	0.00553242108900907	0.00590540779715504	0.00599416503703769	0.0059447832704112	0.0062437383966358	0.00605356057845113	0.00620966180105035	0.00546489795705887	0.00574591038594013	0.0056680237523663	0.00625767736019557	0.00531130127665534	0.00560946342883918	0.00553964864033211	0.00613158030556178	0.00533884124509332	0.00550093890531616	0.00575824367174215	0.00507600069067959	0.00579169405955487	0.00575800677321779	0.00541836117902446	0.00533404448856195	0.00583900372503247	0.00553136382560157	0.00552821213306202	0.00572928729114183	0.00590306723451241	0.00600123897534544	0.00626738766294798	0.00562369214778981	0.0056007197041027	0.00525540852868038	0.00575964967465539	0.00510257437481638	0.0053321351398102	0.00634788338639184	0.0051922271289101	0.00580732330423002	0.00569064301529185	0.00564345911960447	0.00633933567608276	0.00616721490428242	0.00566464763918424	0.00575351666135791	0.00575378738330185	0.00581064688789582	0.00520167373694191	0.00595651686759119	0.00528164360135172	0.00514050405056786	0.00465773081861726	0.00579409466943577	0.00524727416890417	0.00550873011936992	0.00567056225284263	0.00618456870188962	0.00587329980430483	0.00610816459550033	0.00607967688328188	0.00499765072995473	0.00503681175345254
"ko00071"	0.00184788395105424	0.00180966099123936	0.00168680159435661	0.00213316255564394	0.00174257151497611	0.00241145863020618	0.00192590734981031	0.00264958369646828	0.00339762035582069	0.00312693436782009	0.00267398626769834	0.00243689950793221	0.00302189769733381	0.0023146347465764	0.0026142221013878	0.00255747786665003	0.00380566611754966	0.00285841659437994	0.00318210733825294	0.00237678524943858	0.0038651224974959	0.0032510862044643	0.0032231359456244	0.0026149753410243	0.00331887650193417	0.00480596761290917	0.00299233868932211	0.00374366831694605	0.00261123611887801	0.00282562845828492	0.00308326002025647	0.00330872007904146	0.00245582576321544	0.00320386629696143	0.0031319226113443	0.00260723290033515	0.00298196575305872	0.00262193097663747	0.00246780540529488	0.00280287352810649	0.00304849562680034	0.00316220044566553	0.00201862653486741	0.00350259752449041	0.00285086139220986	0.00198581363202963	0.0032317245620066	0.00259934914707314	0.0029187056367999	0.00313200584180226	0.00147791949426035	0.00240597376831955	0.00296248474136598	0.00289655907575844	0.0025688292691004	0.00315110719672495	0.00467592473167652	0.00491965687062054	0.00362627583198554	0.0032974088724951	0.00379831791908603	0.00203735379634745	0.0037840570718074	0.00337318186383049	0.00306719920651888	0.00198813700328604	0.00246417269973075	0.00176878725357753	0.00237318802157866	0.00360118499924466	0.00334772633222788
"ko00072"	0.000341787669065977	0.000283569625938204	0.000282830094546008	0.000367960606158834	0.000299870308614467	0.000427779531520746	0.000420568572391289	0.000450500734859373	0.000654114918757143	0.000587875042414952	0.000533434755092674	0.000479308652722579	0.000596775550900505	0.000404882419444542	0.000469181861644953	0.000429075944123539	0.000679123226301928	0.000477189121258449	0.000616931755445623	0.000408647172986087	0.000717190964323012	0.000595050416557513	0.000619684422659036	0.000475710329051735	0.000591166713305945	0.000691343210430252	0.000662490748274695	0.00065975725386353	0.000485633247961511	0.000529566987289341	0.000546588368046532	0.000681409439354684	0.000392646852296016	0.00063951422810328	0.000732123548282302	0.000500581570202799	0.000526683227813062	0.000559339280717364	0.000527028749938558	0.000575004632435316	0.000687287650151252	0.000567216490043929	0.000280663955555419	0.000680345750425644	0.000632217941823762	0.000361454025878025	0.000620126699364737	0.000502416679933195	0.000623494968420907	0.000596072697543792	0.000375560275689203	0.000408086486865802	0.000507804793719627	0.000571877186200564	0.000561271136951063	0.000789516234746253	0.00106970545189489	0.00100694634706134	0.000832646716838533	0.000668627689315833	0.000773674201103578	0.000577098629824338	0.000619407038398452	0.000623551107210641	0.000588434889532118	0.000413635126277516	0.000592589548590082	0.000556750489924682	0.000324989216374462	0.000684653948523415	0.000657916908747954
