"ID"	"Function"
"fpt1"	"1,2-Ethanediol (Ethylene glycol) -- Production"
"fpt2"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Consumption"
"fpt3"	"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol) -- Production"
"fpt4"	"4-Aminobutyrate (GABA) -- Production"
"fpt5"	"7-Oxodeoxycholic acid -- Production"
"fpt6"	"7-Oxolithocholic acid -- Production"
"fpt7"	"Acetate -- Consumption"
"fpt8"	"Acetate -- Production"
"fpt9"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"
"fpt10"	"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Production"
"fpt11"	"alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid) -- Consumption"
"fpt12"	"Arabinan -- Macromolecule"
"fpt13"	"Arabinogalactan -- Macromolecule"
"fpt14"	"beta-Muricholic acid -- Production"
"fpt15"	"Biotin (Vitamin B7) -- Production"
"fpt16"	"Butylamine -- Production"
"fpt17"	"Butyrate -- Production"
"fpt18"	"Cadaverine -- Production"
"fpt19"	"Cellobiose -- Consumption"
"fpt20"	"Cellulose (Beta-D-glucan) -- Macromolecule"
"fpt21"	"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"
"fpt22"	"Cholic acid (Cholate) -- Consumption"
"fpt23"	"Cholic acid (Cholate) -- Production"
"fpt24"	"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"
"fpt25"	"CO2 -- Consumption"
"fpt26"	"CO2 -- Production"
"fpt27"	"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"
"fpt28"	"D-Fructose (Fructose) -- Consumption"
"fpt29"	"D-Fructuronate -- Consumption"
"fpt30"	"D-Galactose -- Consumption"
"fpt31"	"D-Galacturonate -- Consumption"
"fpt32"	"D-Gluconate (D-Gluconic acid, Gluconate) -- Consumption"
"fpt33"	"D-Glucosamine (Glucosamine) -- Consumption"
"fpt34"	"D-Glucose (Glucose) -- Consumption"
"fpt35"	"D-Glucuronic acid (D-Glucuronate) -- Consumption"
