"Taxa"	"henry29"	"henry36"	"henry42"	"henry48"	"henry59"	"henry66"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium wakonense"	0.157736819545649	0.290594625500286	0.125625267971988	0.196885269324189	0.192	0.122874696385198
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas funiformis"	0.219745677953993	0.114636935391652	0.145919679862798	0.131304472067438	0.138857142857143	0.0575796542363195
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella copri"	0.0682954707815402	0.0290165809033734	0.0847506074031728	0.0292898985569367	0.0707142857142857	0.136019431347335
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas hypermegale"	0.0352907558222603	0.0587478559176672	0.108475060740317	0.0405772253179026	0.102571428571429	0.0144306329475639
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera elsdenii"	0.0312901843120446	0.038021726700972	0.0698870944690582	0.102014573510501	0.0815714285714286	0.0274324903557651
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia timonensis"	0.0472924703529076	0.0294453973699257	0	0.0231461637376768	0.0491428571428571	0.0595799399914273
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia glucerasea"	0.0205743677668238	0.0128644939965695	0.0255823924539088	0.106443777682526	0.000571428571428571	0.0104300614373482
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium parvum"	0.0305757965423632	0.0427387078330475	0.0268686579962841	0.0238605515073582	0.00671428571428571	0.0404343477639663
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola plebeius"	0.0277182454636377	0.0483133218982276	0.00343004144633414	0.000571510215745106	0.0194285714285714	0.0658665523646235
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera indica"	0.0111444492070296	0.0212978845054317	0.0374446191224811	0.0392913273324761	0.045	0.0102871838834119
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera paucivorans"	0.00500071438776968	0.0212978845054317	0.0451622123767329	0.0238605515073582	0.0567142857142857	0.00457208172596085
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera massiliensis"	0.0157165309329904	0.0132933104631218	0.0222952694011719	0.055293613373339	0.0302857142857143	0.0157165309329904
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis"	0.0241463066152307	0.01357918810749	0.0404459053880234	0.015002143163309	0.00528571428571429	0.0472924703529076
