"Taxa"	"jarjarbinks14"	"jarjarbinks15"	"jarjarbinks21"	"jarjarbinks29"	"jarjarbinks32"	"jarjarbinks44"	"jarjarbinks49"	"jarjarbinks68"
"Acetate -- Production"	0.050489384444491	0.0507385697538101	0.0578476259066824	0.0535172807950595	0.0578536303153023	0.0457530259468285	0.0574815295932451	0.0559367810343103
"D-Glucose (Glucose) -- Consumption"	0.0432167333850313	0.0462368112543962	0.0560985647409846	0.0503738748035371	0.0496818050332658	0.03553047243815	0.0548834943573922	0.0545763729118736
"Raffinose -- Consumption"	0.0426927671703729	0.0459241891363814	0.0553269201090591	0.0501198621981616	0.0470783916690772	0.0375181911759486	0.0537468539417066	0.0528758627588276
"Cellobiose -- Consumption"	0.0431538574392723	0.0462211801484955	0.0554040845722517	0.0501833653495055	0.0476569279722303	0.0348205728889362	0.0538009796757868	0.0539361808542563
"Lactose -- Consumption"	0.0416029174438832	0.0454552559593591	0.0553783630845208	0.0501198621981616	0.0471507087069714	0.036098392077521	0.0540986712132283	0.053035910773232
"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose) -- Consumption"	0.0413933309580198	0.0453458382180539	0.0554555275477134	0.0502309927130134	0.0487175778613441	0.0316615198949349	0.0542881112825093	0.0531759527858357
"D-Xylose (Xylose) -- Consumption"	0.0413933309580198	0.0453458382180539	0.0554555275477134	0.0502309927130134	0.0486934721820461	0.0316615198949349	0.0542881112825093	0.0531759527858357
"Maltose -- Consumption"	0.0415400414981242	0.0454083626416569	0.0553783630845208	0.0501198621981616	0.0471748143862694	0.0312710751428673	0.0540986712132283	0.053075922776833
"Sucrose -- Consumption"	0.0413514136608472	0.0455177803829621	0.0553269201090591	0.0501198621981616	0.0467891235175007	0.0310936002555638	0.0534491624042651	0.0527158147444233
"Succinate -- Production"	0.0400100601513214	0.0428448612739351	0.0477648027161891	0.044341075425868	0.0440169703982258	0.0424519930429844	0.0433005872642148	0.0397719315794738
"D-Mannose (Mannose) -- Consumption"	0.0430071468991679	0.046189917936694	0.0393281547404702	0.0453571258473702	0.0364718927779385	0.035069037731161	0.0370490649779438	0.0400320096028809
"Indole -- Production"	0.041833462578333	0.0454396248534584	0.0385822315962755	0.0446109638190795	0.0326631954488477	0.0316260249174742	0.0341262753376093	0.0378113434030209
"Trehalose -- Consumption"	0.0364051725944711	0.043642047674873	0.0392509902772776	0.0452936226960263	0.0357246167196992	0.0234976750789763	0.0366431219723417	0.0391917575272582
"D-Fructose (Fructose) -- Consumption"	0.0437197409511035	0.0469089488081282	0.0330778332218736	0.0419755830383083	0.0296017741779963	0.040215809462961	0.027008741306054	0.0353105931779534
"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate) -- Production"	0.0374321463752017	0.0438452520515826	0.0344410720716086	0.0450713616663227	0.0385208755182721	0.0297447911120576	0.0299044680793483	0.0366109832949885
"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol) -- Consumption"	0.0337224655754197	0.0426885502149277	0.0339780852924533	0.0438330502151169	0.0466203837624144	0.0280410321939446	0.0306892912235122	0.0319295788736621
"Propanoate (Propionate) -- Production"	0.0394441766394903	0.0448612739351309	0.0330778332218736	0.0417374462207687	0.0281313277408157	0.0251659390196287	0.0258991637574085	0.0339901970591177
"Nitrate (NO3-) -- Consumption"	0.0303481231530191	0.0410160218835483	0.0324347960286023	0.0416580672815888	0.0278179539099412	0.0101515635537571	0.0255473464858867	0.0332699809942983
"D-Mannitol (Mannitol) -- Consumption"	0.0309768826106093	0.0391559202813599	0.0300941406450949	0.036561939386242	0.023189663484717	0.0208000567919639	0.0236529457930773	0.0242072621786536
"Glycerol -- Consumption"	0.0308720893676776	0.0391090269636577	0.0300941406450949	0.036561939386242	0.0230932407675248	0.0208000567919639	0.0235988200589971	0.0242072621786536
"L-Rhamnose (Rhamnose, D-Rhamnose) -- Consumption"	0.0124075199631128	0.00493942946463462	0.0231750604454962	0.00884281382463605	0.020369299006846	0.0232137152592908	0.0284701361262212	0.0206862058617585
"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen) -- Macromolecule"	0.0165992496803806	0.0103634232121923	0.0156129430526262	0.0120655987553382	0.0183444219458104	0.0210840166116495	0.0222186138399502	0.0202260678203461
"Formate -- Production"	0.0104583656445832	0.00805001953888238	0.00589022069036473	0.0107002810014447	0.0355558769646129	0.0216874312284812	0.0113393412898162	0.0107832349704911
"Melibiose -- Consumption"	0.00842537673170834	0.00573661586557249	0.0152013992489326	0.0119068408769785	0.0176212515668692	0.00752493522166613	0.0213255392276258	0.0189456837051115
"Fructan (Inulin, Levan) -- Macromolecule"	0.0163687045459309	0.00754982415005862	0.00658470085909769	0.00342917017256981	0.00636389933468325	0.0224328257551556	0.0105003924115721	0.00594178253476043
"Mucin (Mucus Glycoprotein) -- Macromolecule"	0.0166621256261396	0.00786244626807347	0.00658470085909769	0.00342917017256981	0.00609873686240478	0.0232847052142122	0.00944494059700685	0.00558167450235071
"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III]) -- Consumption"	0.00287133485632846	0.00182883939038687	0.00429548845105201	0.00741399291939863	0.0227798669366503	0.0187058531217833	0.00676571676003356	0.00858257477243173
"Mannan -- Macromolecule"	0.00806907970574057	0.003642047674873	0.00658470085909769	0.00342917017256981	0.00602641982451065	0.0160792247896923	0.00944494059700685	0.00550165049514854
"CO2 -- Production"	0.00976673024123405	0.00442360296991012	0.00195483306754463	0.00333391544555399	0.0104377591360525	0.0184573882795584	0.00441124732754188	0.0026407922376713
"Arabinogalactan -- Macromolecule"	0.0080271624085679	0.00295427901524033	0.00614743556767324	0.0032704122942101	0.00544788352135763	0.0128491818407695	0.00928256339476604	0.00480144043212964
"Urea -- Production"	0.0055121245782072	0.00232903477921063	0.00653325788363599	0.00342917017256981	0.00578536303153023	0.0116423526071061	0.00936375199588644	0.00520156046814044
"H2 (Hydrogen) -- Production"	0.015698027791168	0.00797186400937866	0.000154328926385102	6.35031513438854e-05	0.00151865779577669	0.0196642175132219	0.00165083488944819	0.00184055216564969
"Ethanol -- Production"	0.00228449269591097	0.00126611957796014	0.00182622562889038	0.00331803965771801	0.0102931250602642	0.0115003726972633	0.00305810397553517	0.00272081624487346
"CO2 -- Consumption"	0.00926372267516191	0.00398593200468933	0.000154328926385102	9.52547270158282e-05	0.000699064699643236	0.0152628403080964	0.000730697410083624	0.000480144043212964
"D-Galactose -- Consumption"	0.00465281998616729	0.00237592809691286	0.000617315705540408	0.000317515756719427	0.00183203162665124	0.0160792247896923	0.00159670915536792	0.0021406421926578
"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"	0.00905413618929852	0.00381398983978116	2.57214877308504e-05	0	0.000409796548066725	0.015085365420793	0.000108251468160537	0.000340102030609183
"Hemicellulose, not specified -- Macromolecule"	0.0074403202481504	0.00276670574443142	0.000411543803693606	0.000158757878359714	0.000626747661749108	0.015085365420793	0.000108251468160537	0.000980294088226468
"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3) -- Consumption"	0.00264078972187873	0.00322000781555295	0.000617315705540408	0.00106367778501008	0.0055443062385498	0.0053242466191034	0.000784823144163893	0.00146043813143943
"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide) -- Consumption"	0.00417077106868149	0.00203204376709652	0.000437265291424456	0.000158757878359714	0.000891910134027577	0.00926418911723991	0.00116370328272577	0.00106031809542863
"FOS (Fructooligosaccharide) -- Consumption"	0.00500911701213506	0.00170379054318093	0	0	0.000313373830874554	0.00823483477087992	0.000784823144163893	0.000580174052215665
"D-Psicose -- Consumption"	0.00448515079747658	0.0029073856975381	0	0	0	0.0049692968444965	0	8.00240072021607e-05
"L-Cysteine (Cysteine, D-Cysteine) -- Consumption"	0.00245216188460168	0.00107854630715123	0.000411543803693606	0.000158757878359714	0.000482113585960852	0.0069570155822951	8.11886011204027e-05	0.000680204061218366
"L-Methionine (D-Methionine) -- Consumption"	0.00245216188460168	0.00107854630715123	0.000411543803693606	0.000158757878359714	0.000482113585960852	0.0069570155822951	8.11886011204027e-05	0.000680204061218366
"Butyrate -- Production"	0.00119464296942133	0.00145369284876905	0.000617315705540408	6.35031513438854e-05	0.000747276058239321	0.00106484932382068	0.00194852642688966	0.00384115234570371
"Xylan -- Macromolecule"	0.00161381594114811	0.000922235248143806	7.71644631925511e-05	0	0.000626747661749108	0.00443687218258616	0.00119076614976591	0.000720216064819446
"D-Ribose (Ribose) -- Consumption"	0.00186531972418418	0.000984759671746776	0.000102885950923401	6.35031513438854e-05	0.000819593096133449	0.0043303872502041	0.000243565803361208	0.00106031809542863
"L-Fucose -- Consumption"	0.00452706809464926	0.0029073856975381	0	0	0.000144634075788256	0.000674404571753097	8.11886011204027e-05	0.000340102030609183
"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"	0.00448515079747658	0.0029073856975381	0	0	0	0.000567919639371029	0	2.00060018005402e-05
"Urea -- Consumption"	0.000440131620313122	0.000359515435717077	0	0	9.64227171921705e-05	0.00457885209242892	2.70628670401342e-05	0
"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6) -- Consumption"	2.09586485863392e-05	0	0	0	0.000216951113682384	0.00450786213750754	0.000378880138561879	0.000220066019805942
"Nitrite (NO2-) -- Consumption"	0.000293421080208748	0.000171942164908167	0.000411543803693606	0.000476273635079141	0.00118117828560409	0.000354949774606893	0.000838948878244161	0.000980294088226468
"Thiamine (Vitamin B1, Thiamin) -- Consumption"	0	0	0	0	7.23170378941279e-05	0.00447236716004685	0	6.00180054016205e-05
"Folic acid (Folate, Vitamin B9) -- Consumption"	0	0	0	0	0	0.00443687218258616	0	2.00060018005402e-05
"Pectin -- Macromolecule"	6.28759457590175e-05	4.68933177022274e-05	2.57214877308504e-05	0	0.00045800790666281	0.00156177900827033	0.00108251468160537	0.000620186055816745
"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"	0.000419172971726783	0.000296991012114107	0.000154328926385102	9.52547270158282e-05	0.000506219265258895	0.000922869413977922	0.00070363454304349	0.000480144043212964
"NH3 (Ammonia, NH4+, Ammonium) -- Production"	0.000628759457590175	0.000406408753419304	0	0	0.000409796548066725	0.000851879459056543	0.000433005872642148	0.000520156046814044
"Polypeptide -- Macromolecule"	0.000209586485863392	4.68933177022274e-05	7.71644631925511e-05	9.52547270158282e-05	0.000795487416835406	0.000354949774606893	0.000920137479364564	0.000580174052215665
"Cellulose (Beta-D-glucan) -- Macromolecule"	0.000230545134449731	0.000156311059007425	0.000102885950923401	9.52547270158282e-05	0.00045800790666281	0.000141979909842757	0.00100132608048497	0.000380114034210263
"Menaquinone (Vitamin K2) -- Production"	0.000209586485863392	4.68933177022274e-05	7.71644631925511e-05	9.52547270158282e-05	0.000747276058239321	0.000461434706988961	0.000243565803361208	0.000660198059417825
