"ID"	"W1"	"W2"	"W4"	"W6"	"W7"	"W9"	"W10"	"W33"	"W42"	"W43"	"W52"	"W54"	"W57"	"W60"	"W63"	"W68"	"W73"	"W83"	"W84"	"W85"	"W87"	"W93"	"W94"	"W95"	"W96"	"W97"	"W100"	"W101"	"W104"	"W107"	"W108"	"W109"	"W111"	"W112"	"W114"	"W120"	"W121"	"W122"	"W123"	"W126"	"W127"	"W139"	"W140"	"W144"	"W150"	"W152"	"W153"	"W154"	"W164"	"W170"	"W181"	"W185"	"W187"	"W188"	"W189"	"W197"	"W221"	"W227"	"W228"	"W247"	"W251"	"W262"	"W265"	"W269"	"W280"	"W282"	"W318"
"txid604330"	7	1	7	0	14	12	8	0	3	18	3	6	16	3	10	1	11	1	6	0	5	40	6	4	11	8	15	16	2	2	7	5	0	2	1	5	0	9	3	8	4	1	5	8	41	7	24	4	3	4	13	24	2	2	5	1	2	1	1	0	0	3	7	1	6	3	2
"txid2003188"	2	1	1	6	2	0	9	2	3	1	0	1	1	1	4	1	1	3	1	10	1	0	2	2	2	0	1	1	1	1	1	1	4	1	1	0	4	3	1	4	0	7	5	1	10	1	3	5	2	2	14	12	0	3	1	4	1	1	0	0	1	0	2	0	0	0	1
"txid147207"	0	0	4	4	5	4	12	8	34	1	1	0	1	1	5	1	2	18	1	5	0	4	0	4	1	1	3	1	2	1	4	2	11	0	8	1	18	6	0	2	5	6	8	3	14	3	2	7	11	9	16	80	3	1	5	2	3	0	1	0	0	2	1	0	0	0	3
"txid1871016"	1	0	0	0	3	0	0	0	1	3	2	0	5	1	1	0	1	2	0	0	1	2	0	6	1	1	2	0	1	0	1	0	0	0	0	2	1	1	1	1	3	0	0	1	2	2	1	2	0	0	2	8	0	0	1	0	3	3	2	0	0	0	0	0	2	0	2
"txid742742"	1	0	0	0	1	0	0	1	16	0	1	0	1	1	1	1	2	1	0	2	0	0	0	0	0	1	0	1	0	1	0	0	2	0	2	0	13	1	0	0	0	3	4	0	3	0	0	1	5	2	4	12	1	0	1	0	3	1	0	0	0	0	1	2	0	1	1
"txid1870987"	7	4	7	4	18	1	21	1	20	6	4	1	6	8	21	0	8	5	6	5	6	16	3	8	6	3	7	6	2	6	18	3	3	1	1	10	5	30	4	9	8	4	13	10	43	10	11	6	2	11	29	82	5	2	10	2	5	1	1	1	1	2	22	3	5	3	13
"txid1411144"	14	7	7	1	1	1	13	14	17	0	0	4	1	2	3	4	2	33	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	32	0	42	1	0	0	0	8	6	7	5	8	12	8	13	68	10	9	10	10	1	8	5	10	8	0	0	8	4	2	0	2	7
"txid246787"	0	3	3	0	1	3	9	0	0	0	0	0	0	1	0	3	0	0	0	0	0	39	0	0	0	5	1	0	2	0	0	1	0	0	0	0	0	1	1	2	0	0	14	2	6	19	324	9	0	1595	111	44	86	153	3	4	0	0	0	0	1	0	0	0	0	1	0
"txid1871006"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	2	0	0	0	1	0	0	0	3	2	0	9	41	9
"txid272559"	2	47	14	0	37	9	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	24	0	123	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
