"","goose20","goose22","goose37","goose42","goose44"
"goose20",0,0.464325490899126,0.471495960048449,0.389717152692307,0.427162662611841
"goose22",0.464325490899126,0,0.409045117569634,0.416299675806017,0.473771597416746
"goose37",0.471495960048449,0.409045117569634,0,0.279510216272803,0.301848334042524
"goose42",0.389717152692307,0.416299675806017,0.279510216272803,0,0.306186768986641
"goose44",0.427162662611841,0.473771597416746,0.301848334042524,0.306186768986641,0
