| GRTS Cell Id,SITE_ID,SPARCS,BAT_ID,BAT_SP,AGE,SEX,REPRO_STAT,RFA_MM,MASS_G,NET_HT,SAMPLE,WING_SCORE,BAND,BAND_COLOR,BAND_NUMBR,BAND_ID,BAND_ARM,PIT_TAG,RADIO_FREQ,CAP_TIME,COMMENTS,SITE,LAT,LONG,ACCURACY,MONTH,DAY,YEAR,DATE,START_TIME,STOP_TIME,PROJECT,SITE_NAME,STATE,COUNTY,TYPE,EFFORT,HABITAT,SURVEYOR,PERMIT_NUM,EMAIL,S_COMMENTS,EFFORT_HRS,STATUS,FILE_NAME
636,,,,Corynorhinus rafinesquii macrotis,Adult,Female,Pregnant,44,12.15,,,,,,,,,,,,,,,,,,,,5/26/2008,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,Female,Lactating,44.5,8.6,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,Female,Lactating,44,8.6,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,Female,Non-Reproductive,38,5.4,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,Male,Non-Reproductive,30,4.7,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,Female,Lactating,43.5,8.1,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,Male,Non-Reproductive,30.5,4.8,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,Female,Lactating,44,8.9,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,Female,Non-Reproductive,34,5.9,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,Male,Non-Reproductive,31.2,4.2,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,Female,Lactating,45,8.8,,,,,,,,,,,,,,,,,,,,6/13/2009,,,,,North Carolina,,,,,,,,,,,
636,,,,Myotis austroriparius,Adult,Female,Lactating,39,9.8,,,,,,,,,,,,,,,,,,,,6/9/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,7/20/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Male,,35,7,,,,,,,,,,,,,,,,,,,,7/20/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,,35,9,,,,,,,,,,,,,,,,,,,,7/20/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,,33,8.5,,,,,,,,,,,,,,,,,,,,7/20/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,,,,,,,,,,,,,,,,,,,,,,,,,6/9/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,,32,8.3,,,,,,,,,,,,,,,,,,,,6/9/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,37,8.6,,,,,,,,,,,,,,,,,,,,7/20/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,36,9,,,,,,,,,,,,,,,,,,,,7/20/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Male,NS,38,8.5,,,,,,,,,,,0:30,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,Non-Reproductive,40,10.25,,,,,,,,,,,0:30,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,N,42,12,,,,,,,,,,,0:30,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,Non-Reproductive,42,11.5,,,,,,,,,,,23:50,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Non-Reproductive,41,15.6,,,,,,,,,,,20:35,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,--,--,--,,,,,,,,,,,,,0:30,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus seminolus,Adult,Female,Post Lactating,41,13,,,,,,,,,,,1:40,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,37,11.8,,,,,,,,,,,23:45,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,37,9.5,,,,,,,,,,,1:01,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Male,Scrotal,34,8,,,,,,,,,,,20:45,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Male,Scrotal,34,7.8,,,,,,,,,,,23:14,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,--,--,--,,,,,,,,,,,,,22:20,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,37,8,,,,,,,,,,,21:55,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,Scrotal,35,10.6,,,,,,,,,,,21:30,,,,,,,,,8/3/2006,,,,,North Carolina,,,,,,,,,,,
