tax	hdz-095-s300	hdz-158-s301	hdz-159-s302	hdz-171-s303	hdz-172-s304	hdz-237-s305	hdz-238-s306	hdz-239-s307	hdz-268-s308	hdz-269-s309	hdz-270-s310	hdz-271-s311	hdz-272-s312	hdz-273-s313	hdz-274-s314	hdz-329-s315	hdz-344-s316	hdz-346-s317	hdz-347-s318	hdz-412-s319	hdz-413-s320	hdz-414-s321	hdz-450-s322	pl-ntc-014-ctrl	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	0	162	655	156	0	0	0	3	1	26	2	20	15	21	1	0	0	0	1	0	0	0	2	0	1065
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellamassilia;Prevotellamassilia timonensis	35	13	6	15	7	23	15	17	17	46	92	200	133	93	67	2	20	44	36	44	0	13	3	0	941
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter enhydrae	90	34	9	11	16	22	42	26	28	86	51	71	63	37	103	18	26	19	59	75	0	33	0	0	919
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ndongoniae	16	9	1	0	0	19	9	16	28	43	155	203	201	90	58	1	10	7	22	4	0	6	0	1	899
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	38	104	1	4	6	14	18	17	40	16	33	31	31	28	41	34	166	46	54	17	0	108	2	0	849
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	32	55	3	6	0	42	5	27	43	7	4	27	4	9	4	13	191	205	11	82	0	53	3	0	826
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	49	21	4	12	26	67	13	55	35	32	69	68	83	68	65	5	7	58	34	22	0	5	22	1	821
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	148	58	12	1	2	14	9	7	14	29	23	21	19	27	49	6	213	37	13	56	0	47	2	0	807
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	3	0	31	0	1	3	0	0	10	9	50	14	66	45	19	1	52	0	0	0	0	483	7	2	796
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia glucerasea	7	35	2	1	3	18	10	7	40	68	119	110	18	36	39	4	115	63	50	4	0	9	7	0	765
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	2	111	85	33	0	0	1	1	17	0	2	41	19	44	0	0	0	0	0	1	0	1	347	1	706
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	30	39	2	5	0	24	19	21	13	22	49	69	89	62	47	1	12	77	19	34	0	58	1	0	693
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	2	108	73	32	0	0	1	1	12	0	3	31	20	30	0	0	0	0	0	0	0	0	352	0	665
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus;Prolinoborus fasciculus	5	1	10	319	0	1	0	218	0	0	0	0	0	0	0	50	0	0	0	0	0	1	0	0	605
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	63	70	0	19	24	37	18	38	14	27	36	25	9	15	58	9	8	45	34	25	0	16	5	0	595
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Marseilla;Marseilla massiliensis	38	14	1	9	7	46	14	20	32	26	29	48	42	22	34	3	37	58	13	31	0	9	12	0	545
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter kanungonis	13	0	0	0	0	0	0	113	0	0	0	1	0	0	0	374	0	0	0	0	0	0	0	0	501
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	64	51	4	11	24	24	12	23	17	17	25	27	10	16	38	10	5	22	23	23	0	17	5	0	468
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	1	6	44	1	0	0	0	17	0	85	1	0	16	11	1	1	0	1	0	1	0	3	250	0	439
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	12	14	1	1	1	12	4	15	23	45	18	30	74	40	30	0	16	37	5	46	0	8	4	0	436
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter lwoffii	3	4	9	326	0	0	0	71	1	0	0	0	1	1	0	14	0	0	0	0	0	0	0	0	430
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	51	34	6	2	1	16	8	6	23	24	18	27	11	17	53	3	46	27	7	13	0	19	0	0	412
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	376	14	1	2	0	2	0	0	397
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	53	11	1	2	0	2	7	2	15	10	6	11	5	5	9	11	99	12	3	43	0	83	1	0	391
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	65	27	3	1	0	7	5	5	7	21	17	18	38	22	26	0	13	41	2	57	0	11	0	0	386
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter schindleri	2	7	16	320	0	1	0	16	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	367
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	10	15	4	8	0	25	6	14	20	0	0	12	1	3	0	1	97	62	7	42	0	16	0	1	344
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia rettgeri	1	50	121	0	0	0	1	0	0	2	0	5	0	2	2	0	0	89	3	0	0	2	55	0	333
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	21	5	0	0	0	6	1	0	15	15	49	49	76	39	16	0	9	6	7	5	0	4	0	0	323
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	17	9	0	0	6	19	12	14	9	11	26	55	38	20	25	2	5	20	13	14	0	2	1	0	318
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	31	12	2	6	0	7	6	12	20	10	26	32	31	14	9	0	35	23	8	25	0	7	0	0	316
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii	3	0	288	0	0	0	0	7	0	3	0	1	0	0	0	0	0	0	0	0	0	10	3	0	315
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;Solibacillus isronensis	3	44	15	245	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	313
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri	0	0	0	0	0	8	49	0	15	22	41	55	40	32	24	0	0	0	0	0	0	0	1	0	287
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	22	14	0	0	0	4	2	0	9	25	18	13	4	6	26	1	63	65	0	0	0	2	0	0	274
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	24	15	0	6	5	5	5	5	13	15	10	17	14	17	15	4	55	7	8	19	0	10	0	0	269
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	34	9	2	4	0	6	6	9	3	8	17	34	21	12	10	0	58	14	0	7	0	9	0	0	263
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	18	11	7	4	0	6	6	7	12	9	20	12	18	15	29	3	7	21	11	29	0	14	0	0	259
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	19	19	0	2	0	11	0	11	12	12	8	8	6	10	6	4	80	15	1	11	0	20	0	0	255
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Kurthia;Kurthia populi	0	216	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	8	3	3	2	0	3	2	2	2	9	13	15	17	12	18	0	9	11	6	4	0	9	89	0	237
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	22	12	0	2	0	13	3	5	16	10	3	5	3	4	13	2	75	19	3	11	0	7	0	0	228
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera georgiana	4	7	150	0	0	0	0	1	0	3	1	4	14	20	3	0	0	0	1	0	0	7	12	0	227
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	148	64	0	0	0	4	1	0	0	0	0	0	1	0	1	0	3	0	0	0	4	0	226
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens	0	7	69	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	221
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	26	7	0	2	0	13	4	6	12	8	8	9	3	11	10	4	59	16	0	10	0	6	0	0	214
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter murliniae	4	2	174	3	1	0	0	2	0	7	0	1	0	1	0	0	0	0	0	0	0	9	1	0	205
