"Taxa"	"grogu22"	"grogu36"	"grogu37"	"grogu41"	"grogu45"	"grogu50"	"grogu56"	"grogu70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria"	0.803428571428571	0.752428571428571	0.894714285714286	0.738316421323424	0.205945405173646	0.667285714285714	0.786285714285714	0.746820974424918
"k__Bacteria|p__Firmicutes|c__Negativicutes"	0.128285714285714	0.0675714285714286	0.0512857142857143	0.0723167071602115	0.605831070458768	0.254142857142857	0.116142857142857	0.13201885983712
"k__Bacteria|p__Bacteroidota|c__Bacteroidia"	0.0435714285714286	0.141857142857143	0.0237142857142857	0.124767757610404	0.0778905245105045	0.0237142857142857	0.0567142857142857	0.0757251035862266
"k__Bacteria|p__Firmicutes|c__Clostridia"	0.0234285714285714	0.0178571428571429	0.0277142857142857	0.0218665142203802	0.0645991139059597	0.0528571428571429	0.036	0.0245749392770396
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria"	0.00114285714285714	0.0102857142857143	0.00228571428571429	0.0224381877947692	0.00800343004144633	0.00157142857142857	0.00157142857142857	0.017573939134162
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia"	0.000142857142857143	0.002	0.000285714285714286	0.00242961269115335	0.035729598399314	0.000285714285714286	0.00328571428571429	0.000714387769681383
"k__Bacteria|p__Actinobacteria|c__Actinomycetia"	0	0.008	0	0.017864799199657	0.000285836787194512	0.000142857142857143	0	0.00228604086298043
"k__Bacteria|p__Firmicutes|c__Bacilli"	0	0	0	0	0.00171502072316707	0	0	0.000285755107872553
